"","XML_FileName","rwlfilename","errorThrown"
"1","noaa-tree-2660.xml","./data_files/treering/measurements/europe/turk033.rwl","missing values in 'row.names' are not allowed"
"2","noaa-tree-2665.xml","./data_files/treering/measurements/australia/newz052.rwl","missing value where TRUE/FALSE needed"
"3","noaa-tree-2666.xml","./data_files/treering/measurements/europe/swed312.rwl","missing values in 'row.names' are not allowed"
"4","noaa-tree-2673.xml","./data_files/treering/measurements/europe/brit008.rwl","missing value where TRUE/FALSE needed"
"5","noaa-tree-2676.xml","./data_files/treering/measurements/northamerica/usa/nc5.rwl","missing value where TRUE/FALSE needed"
"6","noaa-tree-2734.xml","./data_files/treering/measurements/europe/fran10.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"7","noaa-tree-2758.xml","./data_files/treering/measurements/northamerica/mexico/mexi021.rwl","missing values in 'row.names' are not allowed"
"8","noaa-tree-2759.xml","./data_files/treering/measurements/europe/ital002.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"9","noaa-tree-2926.xml","./data_files/treering/measurements/northamerica/canada/cana7rw.rwl","missing value where TRUE/FALSE needed"
"10","noaa-tree-2927.xml","./data_files/treering/measurements/northamerica/canada/cana8rw.rwl","missing value where TRUE/FALSE needed"
"11","noaa-tree-2928.xml","./data_files/treering/measurements/northamerica/usa/or081.rwl","missing values in 'row.names' are not allowed"
"12","noaa-tree-2944.xml","./data_files/treering/measurements/northamerica/usa/nm503.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"13","noaa-tree-2946.xml","./data_files/treering/measurements/northamerica/usa/nm545.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"14","noaa-tree-2961.xml","./data_files/treering/measurements/northamerica/usa/ct001.rwl","missing value where TRUE/FALSE needed"
"15","noaa-tree-2974.xml","./data_files/treering/measurements/northamerica/usa/wy026.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"16","noaa-tree-3022.xml","./data_files/treering/measurements/northamerica/usa/ny010.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"17","noaa-tree-3056.xml","./data_files/treering/measurements/northamerica/canada/cana160.rwl","missing values in 'row.names' are not allowed"
"18","noaa-tree-3122.xml","./data_files/treering/measurements/northamerica/usa/va024.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"19","noaa-tree-3224.xml","./data_files/treering/measurements/northamerica/usa/ca513.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"20","noaa-tree-3261.xml","./data_files/treering/measurements/northamerica/canada/cana100.rwl","missing value where TRUE/FALSE needed"
"21","noaa-tree-3269.xml","./data_files/treering/measurements/northamerica/canada/cana015.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"22","noaa-tree-3300.xml","./data_files/treering/measurements/northamerica/usa/wa059.rwl","missing value where TRUE/FALSE needed"
"23","noaa-tree-3302.xml","./data_files/treering/measurements/northamerica/usa/wa053.rwl","missing value where TRUE/FALSE needed"
"24","noaa-tree-3304.xml","./data_files/treering/measurements/northamerica/usa/wa063.rwl","missing value where TRUE/FALSE needed"
"25","noaa-tree-3306.xml","./data_files/treering/measurements/northamerica/usa/mn023.rwl",".SDcols is numeric but out of bounds [1, 1] at: [1]"
"26","noaa-tree-3307.xml","./data_files/treering/measurements/northamerica/usa/wa049.rwl","missing value where TRUE/FALSE needed"
"27","noaa-tree-3311.xml","./data_files/treering/measurements/northamerica/usa/wa065.rwl","missing value where TRUE/FALSE needed"
"28","noaa-tree-3312.xml","./data_files/treering/measurements/northamerica/usa/wa048.rwl","missing value where TRUE/FALSE needed"
"29","noaa-tree-3313.xml","./data_files/treering/measurements/northamerica/usa/wa056.rwl","missing value where TRUE/FALSE needed"
"30","noaa-tree-3318.xml","./data_files/treering/measurements/northamerica/usa/wa052.rwl","missing value where TRUE/FALSE needed"
"31","noaa-tree-3323.xml","./data_files/treering/measurements/northamerica/usa/wa050.rwl","missing value where TRUE/FALSE needed"
