# Hughes - Khillanmarg - ABPI - ITRDB INDI003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3569
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3569.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; indi003n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/indi003n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hughes - Khillanmarg - ABPI - ITRDB INDI003
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Khillanmarg
#   Location: Jammu and Kashmir
#   Northernmost_Latitude: 35.08
#   Southernmost_Latitude: 35.08
#   Easternmost_Longitude: 74.33
#   Westernmost_Longitude: 74.33
#   Elevation_m: 3125
#--------------------
# Data_Collection
#   Collection_Name: INDI003
#   First_Year: 1608
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies pindrow (Royle ex D. Don) Royle
#   Common_Name: Himalayan silver fir
#   Tree_Species_Code: ABPI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## K2080_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2079_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2079; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2077_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2077; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2074_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2074; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2073_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2073; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2075_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2075; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2076_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2076; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K2081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: K2081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	K2080_raw	K2079_raw	K2077_raw	K2074_raw	K2072_raw	K2071_raw	K2070_raw	K2073_raw	K2075_raw	K2076_raw	K2081_raw
1668	NA	3.81	NA	NA	NA	NA	NA	NA	NA	NA	NA
1669	NA	3.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
1670	NA	4.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
1671	NA	3.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1672	NA	3.67	NA	NA	NA	4.05	NA	NA	NA	NA	NA
1673	NA	3.81	NA	NA	NA	3.97	NA	NA	NA	NA	NA
1674	NA	4	NA	NA	NA	4.54	NA	NA	NA	NA	NA
1675	NA	3.67	NA	NA	NA	3.65	NA	NA	NA	NA	NA
1676	NA	3.76	NA	NA	NA	3.88	NA	NA	NA	NA	NA
1677	NA	4.38	NA	NA	NA	3.79	NA	NA	NA	NA	NA
1678	NA	3.67	NA	NA	NA	3.21	NA	NA	NA	NA	NA
1679	NA	4.28	NA	NA	NA	3.79	NA	NA	NA	NA	NA
1680	NA	4.19	NA	NA	NA	3.48	2.84	NA	NA	NA	NA
1681	NA	4.9	NA	NA	NA	3.39	2.6	NA	NA	NA	NA
1682	3.55	4.38	NA	NA	NA	2.81	2.94	NA	NA	NA	NA
1683	3.5	4.9	NA	NA	NA	3.57	2.65	NA	NA	NA	NA
1684	3.36	4.23	NA	NA	NA	3.74	2.84	NA	NA	NA	NA
1685	3.5	4.19	NA	NA	NA	4.23	2.94	NA	NA	NA	NA
1686	3.46	4.14	NA	NA	NA	3.61	2.7	NA	NA	NA	NA
1687	7.02	3.81	NA	NA	NA	3.43	2.79	NA	NA	NA	NA
1688	3.22	4.04	NA	NA	NA	3.48	2.94	NA	NA	NA	NA
1689	3.5	4.04	NA	NA	NA	4.05	3.04	NA	NA	NA	NA
1690	3.36	3.71	NA	NA	NA	3.65	2.6	NA	NA	NA	NA
1691	3.36	4.66	NA	NA	NA	3.61	2.65	NA	NA	NA	NA
1692	3.18	4.09	NA	NA	NA	3.25	2.79	NA	NA	NA	NA
1693	3.36	3.76	NA	NA	NA	3.17	2.89	NA	NA	NA	NA
1694	3.32	3.29	NA	NA	NA	3.52	3.04	NA	NA	NA	NA
1695	3.32	1.82	NA	NA	NA	3.43	2.79	NA	NA	NA	NA
1696	3.03	2.95	NA	NA	NA	3.3	2.4	NA	NA	NA	NA
1697	3.13	2.95	NA	NA	NA	3.34	2.6	NA	NA	NA	NA
1698	3.13	3.48	NA	NA	NA	3.34	2.26	NA	NA	NA	NA
1699	3.27	3.48	NA	NA	NA	3.43	2.79	NA	NA	NA	NA
1700	2.99	3.52	NA	NA	NA	3.43	2.84	NA	NA	NA	NA
1701	3.13	2.95	NA	NA	NA	3.97	3.09	NA	NA	NA	NA
1702	3.32	3.14	NA	NA	NA	3.83	3.14	NA	NA	NA	NA
1703	3.32	3.24	NA	NA	NA	3.88	3.23	NA	NA	NA	NA
1704	2.85	3.33	NA	NA	NA	3.83	2.99	NA	NA	NA	NA
1705	3.27	3.67	NA	NA	NA	3.79	3.14	NA	NA	NA	NA
1706	3.27	3.29	NA	NA	NA	3.48	2.84	NA	NA	NA	NA
1707	3.13	3.38	NA	NA	NA	3.43	2.84	NA	NA	NA	NA
1708	3.08	3.33	NA	NA	NA	3.39	2.74	NA	NA	NA	NA
1709	3.22	2.53	NA	NA	NA	3.3	2.79	NA	NA	NA	NA
1710	3.46	3.1	NA	NA	NA	2.94	2.99	NA	NA	NA	NA
1711	2.85	3.48	NA	NA	NA	3.25	2.65	NA	NA	NA	NA
1712	3.46	3.38	NA	NA	NA	3.61	3.04	NA	NA	NA	NA
1713	3.64	3.14	NA	NA	NA	3.48	2.84	NA	NA	NA	NA
1714	3.5	3.14	NA	NA	NA	3.39	2.84	NA	NA	NA	NA
1715	3.55	3.1	NA	NA	NA	3.48	2.94	NA	NA	NA	NA
1716	3.27	3.14	NA	NA	NA	3.34	2.99	NA	NA	NA	NA
1717	3.6	1.44	NA	NA	NA	3.25	3.23	NA	NA	NA	NA
1718	3.5	3.05	NA	NA	NA	3.83	3.04	NA	NA	NA	NA
1719	3.6	3.05	NA	NA	NA	3.74	2.89	NA	NA	NA	NA
1720	3.32	3.1	NA	NA	NA	3.57	2.84	NA	NA	NA	NA
1721	3.64	3.38	NA	NA	NA	4.05	3.48	NA	NA	NA	NA
1722	3.55	3.31	NA	NA	NA	3.92	3.18	NA	NA	NA	NA
1723	3.55	2.95	NA	NA	NA	4.05	2.89	NA	NA	NA	NA
1724	3.41	2.81	NA	NA	NA	3.97	3.09	NA	NA	NA	NA
1725	3.41	2.91	NA	NA	NA	4.01	2.84	NA	NA	NA	NA
1726	3.36	3.29	NA	NA	NA	3.79	3.43	NA	NA	NA	NA
1727	3.55	3.29	NA	NA	NA	4.01	2.89	NA	NA	NA	NA
1728	3.36	3.14	NA	NA	NA	3.57	3.28	NA	NA	NA	NA
1729	3.46	3.14	NA	NA	NA	3.88	3.23	NA	NA	NA	NA
1730	3.18	2.86	NA	NA	NA	3.97	2.99	NA	NA	NA	NA
1731	3.18	2.86	NA	NA	NA	3.92	3.04	NA	NA	NA	NA
1732	3.22	3	NA	NA	NA	3.61	2.84	NA	NA	NA	NA
1733	3.36	3.1	NA	NA	NA	3.83	3.28	NA	NA	NA	NA
1734	2.99	3	NA	NA	NA	3.83	3.09	NA	NA	NA	NA
1735	3.08	2.86	NA	NA	NA	3.74	3.04	NA	NA	NA	NA
