# Schweingruber - Charijaga - PCOB - ITRDB RUSS056
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4376
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4376.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ056n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ056n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ056n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ056n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-04-13
#--------------------
# File_Last_Modified_Date
#   Date: 2005-04-13
#--------------------
# Title
#   Study_Name: Schweingruber - Charijaga - PCOB - ITRDB RUSS056
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-09. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Charijaga
#   Location: Russia
#   Northernmost_Latitude: 66.88
#   Southernmost_Latitude: 66.88
#   Easternmost_Longitude: 51.95
#   Westernmost_Longitude: 51.95
#   Elevation_m: 35
#--------------------
# Data_Collection
#   Collection_Name: RUSS056
#   First_Year: 1797
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea obovata Ledeb. = Picea abies (L.) H. Karst. subsp. obovata (Ledeb.) Hultén
#   Common_Name: Siberian spruce
#   Tree_Species_Code: PCOB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 915011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915431_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915431; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915432_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915432; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915551_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915551; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915552_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915552; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915571_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915571; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915572_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915572; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915581_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915581; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915582_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915582; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915601_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915601; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915602_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915602; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915611_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915611; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915612_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915612; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915741_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915741; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915742_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915742; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915751_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915751; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 915752_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 915752; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	915011_raw	915012_raw	915021_raw	915022_raw	915031_raw	915032_raw	915071_raw	915072_raw	915431_raw	915432_raw	915551_raw	915552_raw	915571_raw	915572_raw	915581_raw	915582_raw	915601_raw	915602_raw	915611_raw	915612_raw	915741_raw	915742_raw	915751_raw	915752_raw
1797	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1798	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1799	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA	NA	0.34	NA	NA
1800	NA	NA	NA	NA	NA	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	NA	0.37	NA	NA
1801	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	NA	NA	0.35	NA	NA
1802	NA	NA	NA	NA	NA	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	NA	0.36	NA	NA
1803	NA	NA	NA	NA	NA	NA	NA	NA	0.32	0.38	NA	NA	NA	NA	NA	NA	NA	0.46	0.36	NA	NA	0.37	NA	NA
1804	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0.35	NA	NA	NA	NA	NA	NA	NA	0.4	0.32	NA	NA	0.39	NA	NA
1805	NA	NA	NA	NA	NA	NA	NA	NA	0.31	0.31	NA	NA	NA	NA	NA	NA	NA	0.4	0.29	NA	NA	0.36	NA	NA
1806	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0.3	0.38	NA	NA	NA	NA	NA	NA	0.33	0.31	NA	NA	0.33	NA	NA
1807	NA	NA	NA	NA	NA	NA	NA	NA	0.29	0.26	0.36	NA	NA	NA	NA	NA	0.28	0.3	0.32	NA	NA	0.32	NA	NA
1808	NA	NA	NA	NA	NA	NA	NA	NA	0.29	0.28	0.32	NA	NA	NA	NA	NA	0.25	0.3	0.3	NA	NA	0.36	NA	NA
1809	NA	NA	NA	NA	NA	NA	NA	NA	0.28	0.26	0.37	NA	NA	NA	NA	NA	0.27	0.28	0.33	NA	0.35	0.26	NA	NA
1810	NA	NA	NA	NA	NA	NA	NA	NA	0.27	0.26	0.4	NA	NA	NA	NA	NA	0.26	0.29	0.38	NA	0.39	0.36	NA	NA
1811	NA	NA	NA	NA	NA	NA	NA	NA	0.27	0.24	0.35	NA	NA	NA	NA	NA	0.24	0.25	0.29	NA	0.34	0.41	NA	NA
1812	NA	NA	NA	NA	NA	NA	NA	NA	0.26	0.25	0.37	NA	NA	NA	NA	NA	0.22	0.28	0.26	NA	0.31	0.31	NA	NA
1813	NA	NA	NA	NA	NA	NA	NA	NA	0.28	0.33	0.34	NA	NA	0.28	NA	NA	0.23	0.28	0.27	NA	0.31	0.3	NA	NA
1814	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0.29	0.38	NA	NA	0.28	NA	NA	0.26	0.3	0.32	NA	0.36	0.3	NA	NA
1815	NA	NA	NA	NA	NA	NA	NA	NA	0.29	0.27	0.4	NA	NA	0.31	NA	NA	0.25	0.26	0.32	NA	0.37	0.28	NA	NA
1816	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0.25	0.4	NA	0.34	0.34	NA	NA	0.25	0.26	0.32	NA	0.36	0.28	NA	NA
1817	NA	NA	NA	NA	NA	NA	NA	NA	0.28	0.27	0.36	NA	0.31	0.34	NA	NA	0.26	0.24	0.29	NA	0.39	0.3	NA	NA
1818	NA	NA	NA	NA	NA	NA	NA	NA	0.26	0.26	0.33	NA	0.3	0.26	NA	NA	0.23	0.25	0.27	NA	0.31	0.43	NA	NA
1819	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.25	0.29	NA	0.27	0.24	NA	NA	0.22	0.23	0.27	NA	0.28	0.27	NA	NA
1820	NA	NA	NA	NA	NA	NA	NA	NA	0.28	0.27	0.34	NA	0.27	0.27	NA	NA	0.25	0.25	0.3	NA	0.29	0.41	NA	NA
1821	NA	NA	NA	NA	NA	NA	NA	NA	0.26	0.24	0.33	NA	0.26	0.25	NA	NA	0.23	0.23	0.3	NA	0.26	0.3	NA	NA
1822	NA	NA	NA	NA	NA	NA	NA	NA	0.26	0.24	0.29	NA	0.23	0.24	NA	NA	0.22	0.21	0.29	NA	0.27	0.28	NA	NA
1823	NA	NA	NA	NA	NA	NA	NA	NA	0.28	0.28	0.32	NA	0.25	0.24	NA	NA	0.24	0.25	0.29	NA	0.27	0.3	NA	NA
1824	NA	NA	NA	NA	NA	NA	NA	NA	0.28	0.26	0.31	NA	0.25	0.25	NA	NA	0.24	0.24	0.28	NA	0.28	0.27	NA	NA
1825	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.24	0.31	NA	0.27	0.27	NA	NA	0.25	0.24	0.26	0.26	0.26	0.27	NA	NA
1826	NA	NA	NA	NA	NA	NA	NA	NA	0.26	0.25	0.29	NA	0.25	0.24	NA	NA	0.22	0.22	0.25	0.26	0.29	0.26	NA	NA
1827	NA	NA	NA	NA	NA	NA	NA	NA	0.25	0.24	0.27	NA	0.22	0.21	NA	NA	0.21	0.23	0.24	0.23	0.22	0.23	NA	NA
1828	NA	NA	NA	NA	NA	0.32	NA	NA	0.26	0.28	0.3	NA	0.26	0.26	NA	NA	0.23	0.24	0.28	0.25	0.3	0.3	NA	NA
1829	NA	NA	NA	NA	NA	0.27	NA	0.34	0.24	0.3	0.28	NA	0.24	0.25	NA	NA	0.23	0.23	0.29	0.27	0.25	0.24	NA	NA
1830	NA	NA	NA	NA	NA	0.26	NA	0.31	0.25	0.3	0.27	NA	0.24	0.24	NA	NA	0.22	0.19	0.28	0.24	0.25	0.23	NA	NA
1831	NA	NA	NA	NA	0.24	0.24	NA	0.27	0.25	0.27	0.27	0.3	0.22	0.23	NA	NA	0.22	0.22	0.27	0.25	0.25	0.24	NA	NA
1832	NA	NA	NA	NA	0.23	0.24	NA	0.25	0.25	0.26	0.26	0.28	0.23	0.25	NA	NA	0.21	0.23	0.26	0.25	0.26	0.25	NA	NA
1833	NA	NA	NA	NA	0.23	0.24	NA	0.26	0.24	0.25	0.27	0.29	0.25	0.24	NA	NA	0.22	0.22	0.28	0.24	0.25	0.23	NA	NA
1834	NA	NA	NA	NA	0.26	0.27	NA	0.28	0.24	0.25	0.33	0.3	0.27	0.27	NA	NA	0.23	0.24	0.29	0.23	0.28	0.28	NA	NA
1835	NA	NA	NA	NA	0.28	0.28	NA	0.27	0.26	0.26	0.29	0.25	0.25	0.25	NA	NA	0.23	0.22	0.29	0.24	0.28	0.28	NA	NA
1836	NA	NA	NA	NA	0.29	0.3	NA	0.28	0.27	0.28	0.31	0.3	0.28	0.27	NA	NA	0.26	0.26	0.29	0.27	0.27	0.28	NA	NA
1837	0.36	NA	NA	NA	0.27	0.29	NA	0.27	0.25	0.25	0.3	0.28	0.27	0.26	NA	NA	0.23	0.24	0.28	0.28	0.27	0.27	NA	NA
1838	0.34	NA	NA	NA	0.28	0.31	NA	0.26	0.23	0.25	0.28	0.26	0.25	0.27	NA	NA	0.24	0.22	0.3	0.3	0.26	0.27	0.46	NA
1839	0.27	0.25	NA	0.35	0.23	0.25	NA	0.23	0.23	0.23	0.24	0.23	0.24	0.24	NA	NA	0.21	0.2	0.27	0.24	0.26	0.26	0.35	NA
1840	0.29	0.25	NA	0.34	0.22	0.28	NA	0.23	0.23	0.17	0.26	0.25	0.24	0.23	NA	NA	0.23	0.22	0.26	0.25	0.24	0.23	0.33	NA
1841	0.29	0.29	NA	0.38	0.27	0.3	NA	0.25	0.24	0.26	0.26	0.27	0.28	0.24	NA	NA	0.23	0.22	0.32	0.25	0.27	0.26	0.34	0.3
