# Lamarche - Mount Arrowsmith - PHAS - ITRDB AUSL016
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3838
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3838.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl016-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ausl016-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl016.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ausl016.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Lamarche - Mount Arrowsmith - PHAS - ITRDB AUSL016
#--------------------
# Investigators
#   Investigators: Lamarche, V.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Mount Arrowsmith
#   Location: Tasmania
#   Northernmost_Latitude: -42.2
#   Southernmost_Latitude: -42.2
#   Easternmost_Longitude: 146.1
#   Westernmost_Longitude: 146.1
#   Elevation_m: 800
#--------------------
# Data_Collection
#   Collection_Name: AUSL016
#   First_Year: 1548
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Phyllocladus aspleniifolius (Labill.) Hook. f.
#   Common_Name: celery top pine
#   Tree_Species_Code: PHAS
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ARR871_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR871; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR872_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR872; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR881_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR881; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR892_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR892; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR893_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR893; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR901_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR901; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR921_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR921; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR922_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR922; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR931_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR931; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR932_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR932; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ARR933_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ARR933; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ARR871_raw	ARR872_raw	ARR881_raw	ARR892_raw	ARR893_raw	ARR901_raw	ARR921_raw	ARR922_raw	ARR931_raw	ARR932_raw	ARR933_raw
1548	NA	NA	NA	1.39	NA	NA	NA	NA	NA	NA	NA
1549	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA
1550	NA	NA	NA	1.88	NA	NA	NA	NA	NA	NA	NA
1551	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA
1552	NA	NA	NA	2.09	NA	NA	NA	NA	NA	NA	NA
1553	NA	NA	NA	1.81	NA	NA	NA	NA	NA	NA	NA
1554	NA	NA	NA	1.84	NA	NA	NA	NA	NA	NA	NA
1555	NA	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA
1556	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA
1557	NA	NA	NA	1.39	NA	NA	NA	NA	NA	NA	NA
1558	NA	NA	NA	1.41	NA	NA	NA	NA	NA	NA	NA
1559	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA	NA
1560	NA	NA	NA	1.48	NA	NA	NA	NA	NA	NA	NA
1561	NA	NA	NA	1.32	NA	NA	NA	NA	NA	NA	NA
1562	NA	NA	NA	1.49	NA	NA	NA	NA	NA	NA	NA
1563	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA
1564	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
1565	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA	NA
1566	NA	NA	NA	1.52	NA	NA	NA	NA	NA	NA	NA
1567	NA	NA	NA	1.23	NA	NA	NA	NA	NA	NA	NA
1568	NA	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA
1569	NA	NA	NA	1.46	NA	NA	NA	NA	NA	NA	NA
1570	NA	NA	NA	0.94	NA	NA	NA	NA	NA	NA	NA
1571	NA	NA	NA	1.21	NA	NA	NA	NA	NA	NA	NA
1572	NA	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA
1573	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA
1574	NA	NA	NA	1.24	NA	NA	NA	NA	NA	NA	NA
1575	NA	NA	NA	0.78	NA	NA	NA	NA	NA	NA	NA
1576	NA	NA	NA	1.16	NA	NA	NA	NA	NA	NA	NA
1577	NA	NA	NA	0.79	NA	NA	NA	NA	NA	NA	NA
1578	NA	NA	NA	1.07	NA	NA	NA	NA	NA	NA	NA
1579	NA	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA
1580	NA	NA	NA	1.22	NA	NA	NA	NA	NA	NA	NA
1581	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA
1582	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA
1583	NA	NA	NA	0.53	NA	NA	NA	NA	NA	NA	NA
1584	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA
1585	NA	NA	NA	0.65	NA	NA	NA	NA	NA	NA	NA
1586	NA	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA
1587	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA
1588	NA	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA
1589	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA
1590	NA	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA
1591	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA
1592	NA	NA	NA	0.65	NA	NA	NA	NA	NA	NA	NA
1593	NA	NA	NA	0.39	NA	NA	NA	NA	NA	NA	NA
1594	NA	NA	NA	0.44	NA	NA	NA	NA	NA	NA	NA
1595	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA
1596	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA
1597	NA	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA
1598	NA	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA
1599	NA	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA
1600	NA	NA	NA	0.44	NA	NA	NA	NA	NA	NA	NA
1601	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA
1602	NA	NA	NA	0.4	NA	NA	NA	NA	NA	NA	NA
1603	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA
1604	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA
1605	NA	NA	NA	0.89	NA	NA	NA	NA	NA	NA	NA
1606	NA	NA	NA	0.7	NA	NA	NA	NA	NA	NA	NA
1607	NA	NA	NA	0.9	NA	NA	NA	NA	NA	NA	NA
1608	NA	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA
1609	NA	NA	NA	0.52	NA	NA	NA	NA	NA	NA	NA
1610	NA	NA	NA	0.52	NA	NA	NA	NA	NA	NA	NA
1611	NA	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA
1612	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA
1613	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA
1614	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA	NA
1615	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA
1616	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA
1617	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA
1618	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA
1619	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA
1620	NA	NA	NA	0.19	NA	NA	NA	NA	NA	NA	NA
