# Hillam - Porter Brook - FREX - ITRDB BRIT032
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3494
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3494.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit032-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit032-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit032.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit032.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hillam - Porter Brook - FREX - ITRDB BRIT032
#--------------------
# Investigators
#   Investigators: Hillam, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Porter Brook
#   Location: United Kingdom
#   Northernmost_Latitude: 53.5
#   Southernmost_Latitude: 53.5
#   Easternmost_Longitude: -1.5
#   Westernmost_Longitude: -1.5
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: BRIT032
#   First_Year: 1825
#   Last_Year: 1987
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Fraxinus excelsior L.
#   Common_Name: European ash
#   Tree_Species_Code: FREX
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PB01.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB01.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB02.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB02.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB11.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB11.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB12.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB12.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PB13.D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PB13.D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PB01.D_raw	PB02.D_raw	PB11.D_raw	PB12.D_raw	PB13.D_raw
1825	NA	NA	NA	1.38	NA
1826	NA	NA	NA	1.28	NA
1827	NA	NA	NA	2.6	NA
1828	NA	NA	NA	3.68	NA
1829	NA	NA	NA	2.24	NA
1830	NA	NA	NA	1.64	NA
1831	NA	NA	NA	0.62	3.52
1832	NA	NA	NA	1.36	4.36
1833	NA	NA	NA	1.2	3.48
1834	NA	NA	NA	0.78	3.04
1835	NA	NA	NA	1.22	2.48
1836	NA	NA	NA	1.24	2.22
1837	NA	NA	NA	1.2	2.66
1838	NA	NA	NA	1.36	2.22
1839	NA	3.44	NA	1.62	2.38
1840	NA	2.82	NA	1.08	1.54
1841	NA	2.08	NA	0.54	1.68
1842	NA	2.62	NA	0.46	1.36
1843	NA	2.04	NA	0.92	2.18
1844	NA	1.44	NA	0.7	1.4
1845	NA	1.58	NA	1.12	1.76
1846	NA	1.64	NA	0.46	1.48
1847	3.54	2.38	NA	0.98	1.84
1848	4.02	2.46	NA	1.2	1.78
1849	4.22	2.4	3.1	0.84	1.84
1850	5.7	3.2	2.5	0.94	2.02
1851	4.24	2.58	1.92	0.78	1.74
1852	2.52	1.98	2.1	1.08	1.44
1853	1.84	2.44	2.26	1	1.4
1854	1.82	1.84	1.9	0.74	1.02
1855	1.52	1.32	2	0.74	0.96
1856	2.28	1.88	2.24	0.56	1.12
1857	2.78	1.56	2.34	0.4	0.76
1858	3.42	2.36	2.2	0.54	1.12
1859	3.42	3.26	2.1	0.82	1.44
1860	2.34	2.44	1.9	0.68	1.24
1861	1.94	1.64	1.18	0.4	0.92
1862	2.52	1.68	1.4	0.48	0.8
1863	1.76	1.62	1.12	0.44	0.92
1864	1.02	1.32	0.76	0.54	0.92
1865	1.18	1.54	1.36	0.68	0.88
1866	1.4	1.6	1.7	0.6	1.14
1867	1.06	1.82	1.8	0.64	0.88
1868	1.54	1.8	1.5	0.72	0.8
1869	0.82	1.78	2.18	0.86	1.06
1870	1.24	1.52	2.48	1.04	1.38
1871	1.32	1.52	2.64	1.48	1.5
1872	1.94	1.8	2.5	1.08	0.98
1873	2.1	2.02	2.52	0.98	0.66
1874	1.56	1.9	2.08	1.24	0.78
1875	1.42	1.4	1.42	1.12	0.7
1876	1.2	1.4	1.72	0.98	0.78
1877	1.2	1.4	1.9	0.72	0.92
1878	0.78	1.4	1.54	0.62	0.7
1879	1.32	1.72	1.48	0.78	0.64
1880	0.98	1.36	1.08	0.7	0.52
1881	1.82	1.84	1.46	0.48	0.48
1882	1.5	2.24	1.06	0.6	0.38
1883	1.3	1.7	1.28	0.54	0.3
1884	1	1.66	1.06	0.6	0.34
1885	1.14	1.88	1.36	0.9	0.3
1886	0.88	1.16	1.08	0.64	0.46
1887	0.96	1.52	1.16	0.64	0.44
1888	0.78	1.52	1.24	0.86	0.3
1889	1.18	1.62	1.38	0.88	0.5
1890	0.94	1.24	0.94	0.84	0.44
1891	1.26	1.32	0.8	1.02	0.82
1892	1.02	1.04	0.62	1.12	0.34
1893	1.04	0.96	0.5	0.78	0.48
1894	0.9	1.04	0.64	0.82	0.48
1895	1.2	0.96	0.72	0.96	0.6
1896	1.56	1.1	0.8	0.86	0.82
1897	1.5	1.28	0.92	0.94	0.88
1898	1.22	1.44	1.32	0.76	0.98
1899	1.68	1.68	1.78	1	1.46
1900	1.7	1.72	1.94	1.16	1.44
1901	1.38	1.58	1.44	0.76	1.14
1902	1.14	1.38	1.22	0.8	1.04
1903	1.82	2.26	1.14	0.76	0.74
1904	2.14	2.24	1.1	0.76	0.78
1905	1.88	2.2	1.36	0.86	0.72
1906	1.92	2.22	1.12	0.72	0.62
1907	1.42	1.62	1.22	0.72	0.66
1908	1.32	1.58	1.06	0.66	0.8
1909	1.16	2	1.24	0.6	0.7
1910	1.22	1.14	0.88	0.58	0.56
1911	1.86	2.22	1.04	0.72	0.5
1912	1.52	1.62	1.2	0.76	0.48
1913	1.7	1.34	1.32	0.68	0.34
1914	1.12	1.16	0.78	0.6	0.44
1915	1.16	1.18	0.82	0.64	0.4
1916	1.28	1.48	0.88	0.54	0.32
1917	1.08	1.14	1.12	0.62	0.58
1918	1.02	1.48	0.98	0.72	0.48
1919	1.34	1.38	1.12	0.6	0.74
1920	1.28	1.06	0.74	0.72	0.66
1921	1.1	1.06	0.6	0.58	0.76
1922	1.26	0.94	0.86	0.76	0.64
1923	1.08	0.9	0.78	0.56	0.48
1924	1.64	1.04	0.74	0.7	0.62
1925	1.3	0.86	0.68	0.64	0.6
1926	1.54	1	1.04	0.66	0.68
1927	1.24	0.96	0.78	0.54	0.54
1928	1.82	1.28	0.86	0.62	0.64
1929	1.26	1.1	0.94	0.5	0.52
1930	1.24	0.98	1.1	0.7	0.7
1931	2.02	1.54	1.46	0.9	0.66
1932	1.94	1.3	1.32	0.72	0.54
1933	1.6	1.12	0.98	1.14	0.36
1934	1.1	1.16	0.72	0.74	0.46
1935	1.5	1.46	0.96	1.12	0.54
1936	2.02	2.3	1.06	1.36	1.04
1937	2.02	2.24	1.18	1.34	1.06
1938	1.1	2.14	1.16	1.76	0.98
1939	1.18	1.96	1.3	1.42	1.32
1940	1.02	1.54	1.16	1.16	1.14
1941	1.32	1.42	1.26	1.58	1.6
1942	1.18	1.48	1.26	1.5	1.34
1943	1.26	1.52	1.24	1.24	1.16
1944	2.28	1.34	1.46	1.56	1.1
1945	1.12	1.18	1.48	2.26	1.24
1946	1.18	1.1	1.32	1.08	1.28
1947	2.34	2.2	1.7	1.5	1.92
1948	2.68	2	1.66	1.6	1.44
1949	2.12	1.64	1.36	0.98	1.44
1950	2.5	1.76	2.42	1.88	1.3
1951	2.62	1.74	1.9	2.1	1.6
1952	2.5	1.2	1.96	2.26	1.4
1953	1.66	1.04	1.76	1.88	1.44
1954	1.48	1.1	1.46	1.84	1.36
1955	1.64	1.22	1.2	1.82	1.16
1956	1.46	1.4	0.9	1.26	1.12
1957	1.36	1.1	0.92	1.4	1
1958	1.22	1.12	0.92	1.96	1.12
1959	1.52	1.42	0.96	1.5	1.02
1960	1.72	0.92	0.74	1.32	0.92
1961	1.2	0.86	0.78	1.16	1.12
1962	1.44	1.34	0.98	1.02	1.12
1963	2.42	1.4	1.02	1.5	1.44
1964	2.8	1.36	1.26	1.58	1.36
1965	2.7	0.94	1.2	1.5	1.16
1966	1.94	1.02	1.12	1.2	1.1
1967	2.22	1.2	1.22	1.14	1.08
1968	1.82	0.98	1.14	1.04	1.24
1969	1.94	1.22	1.52	1.06	1.26
1970	1.68	1.04	0.96	0.94	0.98
1971	1.54	1.12	0.86	1.5	1.34
1972	1.36	0.86	1.16	1.3	1.06
1973	1.72	0.74	0.86	0.88	1.06
1974	1.56	1.02	1.1	0.94	1.12
1975	1.58	0.86	0.8	0.82	1.3
1976	1.38	0.9	1.2	0.86	1.38
1977	1.36	1.22	1.14	1.08	1.52
1978	1.12	1.78	2.04	1.3	1.82
1979	1.2	1.66	2.1	1.32	1.82
1980	1.14	1.24	1.64	1.58	1.78
1981	1.08	1.42	1.78	1.98	1.82
1982	1.24	1.3	1.62	1.54	1.74
1983	1.22	1.84	1.52	1.98	1.68
1984	1.22	2.12	1.62	3.24	1.6
1985	1.22	1.54	1.34	2.04	1.86
1986	1.5	1.92	1.58	1.88	1.58
1987	1.74	1.58	1.48	1.52	1.6
