# Baillie - Castle Coole - QUSP - ITRDB BRIT044
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2671
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2671.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit044-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit044-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit044.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit044.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Baillie - Castle Coole - QUSP - ITRDB BRIT044
#--------------------
# Investigators
#   Investigators: Baillie, M.G.L.; Pilcher, J.R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Castle Coole
#   Location: United Kingdom
#   Northernmost_Latitude: 54.33
#   Southernmost_Latitude: 54.33
#   Easternmost_Longitude: -7.6
#   Westernmost_Longitude: -7.6
#   Elevation_m: 60
#--------------------
# Data_Collection
#   Collection_Name: BRIT044
#   First_Year: 1708
#   Last_Year: 1984
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Q 5292_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5292; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5293_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5293; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5295_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5295; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5296_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5296; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5297_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5297; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5298_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5298; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5299_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5299; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5300_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5300; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5302_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5302; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5307_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5307; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5308_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5308; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 5303_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 5303; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 1130_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 1130; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q 1131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q 1131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q  68A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q  68A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Q  68B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Q  68B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Q 5292_raw	Q 5293_raw	Q 5295_raw	Q 5296_raw	Q 5297_raw	Q 5298_raw	Q 5299_raw	Q 5300_raw	Q 5302_raw	Q 5307_raw	Q 5308_raw	Q 5303_raw	Q 1130_raw	Q 1131_raw	Q  68A_raw	Q  68B_raw
1708	NA	NA	NA	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1709	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1710	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1711	NA	NA	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1712	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1713	NA	NA	NA	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1714	NA	NA	NA	1.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1715	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1716	NA	NA	NA	1.94	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1717	NA	NA	NA	1.94	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1718	NA	NA	NA	2.87	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1719	NA	NA	NA	2.81	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1720	NA	NA	NA	2.43	1.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1721	NA	NA	NA	2.25	1.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1722	NA	NA	NA	1.76	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1723	NA	NA	NA	1.97	1.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1724	NA	NA	NA	2.29	2.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1725	0.12	NA	NA	1.94	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1726	0.32	NA	NA	1.88	1.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1727	0.9	NA	NA	1.97	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1728	1.75	NA	NA	1.2	1.68	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA
1729	1.8	NA	NA	1.56	1.92	NA	NA	NA	2.55	NA	NA	NA	NA	2	NA	NA
1730	1.55	NA	NA	1.29	1.5	NA	NA	NA	2.47	NA	NA	NA	NA	2	NA	NA
1731	1.47	NA	NA	1.66	1.48	NA	NA	NA	2.42	NA	NA	NA	NA	1.13	NA	NA
1732	1.48	NA	NA	1.12	1.27	NA	NA	NA	2.43	NA	NA	NA	NA	0.9	NA	NA
1733	1.57	NA	NA	1.24	1.1	NA	NA	NA	2.71	NA	NA	NA	NA	0.7	NA	NA
1734	0.17	NA	NA	1.53	1.02	NA	NA	NA	2.3	NA	NA	NA	NA	1	0.18	NA
1735	0.08	NA	NA	0.92	0.65	NA	NA	NA	2.29	NA	NA	NA	NA	0.85	0.13	NA
1736	0.29	NA	NA	1.06	0.69	NA	NA	NA	2.57	NA	NA	NA	NA	0.65	0.33	NA
1737	0.3	NA	NA	1.04	0.52	NA	NA	NA	2.96	NA	NA	NA	NA	0.55	0.53	NA
1738	0.36	NA	NA	1.3	0.71	NA	NA	NA	2.9	NA	NA	NA	NA	0.85	1	NA
1739	0.35	NA	NA	1.42	0.52	NA	NA	NA	2.82	NA	NA	NA	NA	0.68	0.8	NA
1740	0.27	NA	1.14	1.09	0.24	NA	NA	NA	2.7	NA	NA	NA	0.6	0.55	0.5	NA
1741	0.31	NA	0.3	1.15	0.24	NA	NA	NA	3.07	NA	NA	NA	0.8	0.55	0.5	NA
1742	0.46	NA	0.35	0.73	0.27	NA	NA	NA	2.08	NA	NA	NA	1.05	0.48	0.5	NA
1743	0.9	NA	0.76	1.12	0.46	NA	NA	NA	3.87	NA	NA	NA	1.35	0.48	0.68	NA
1744	1.04	NA	0.9	1.19	0.48	NA	NA	NA	3.06	NA	NA	NA	0.83	0.43	0.65	NA
1745	0.67	NA	0.81	0.87	0.48	NA	NA	NA	2.04	NA	NA	NA	0.28	0.38	0.63	NA
1746	0.69	NA	0.72	1.2	0.38	NA	NA	NA	1.95	NA	NA	NA	0.48	0.68	0.9	NA
1747	1.17	NA	1.21	1.35	0.58	NA	NA	NA	2.76	NA	NA	NA	0.6	0.9	1.28	NA
1748	1.27	NA	1	1.02	0.66	NA	NA	NA	2.23	NA	NA	NA	0.7	0.7	1.23	NA
1749	2.07	NA	0.83	1.59	0.66	NA	NA	NA	2.29	NA	NA	NA	1.5	0.43	1.8	NA
1750	1.89	NA	0.99	1.13	0.58	NA	NA	NA	2.03	NA	NA	NA	1.23	0.4	1.4	NA
1751	1.85	NA	0.84	0.84	0.53	NA	NA	NA	1.64	NA	NA	NA	1.58	0.7	1.33	NA
1752	2.22	NA	0.77	0.99	0.59	NA	NA	NA	1.55	NA	NA	NA	1.45	0.95	1.5	NA
1753	2.21	NA	0.47	0.87	0.68	NA	NA	NA	1.42	NA	2.13	NA	0.9	0.75	1.65	NA
1754	2.57	NA	0.61	1.1	0.57	NA	NA	NA	1.51	NA	1.97	NA	0.75	0.83	1.68	NA
1755	2.76	NA	0.43	1.16	0.57	NA	NA	NA	1.76	NA	2.13	NA	1.38	0.65	1.38	NA
1756	1.99	NA	0.58	0.97	0.58	NA	NA	NA	0.89	NA	2.17	0.2	1.3	0.93	1.25	NA
1757	1	NA	0.76	1.03	0.56	NA	NA	NA	0.82	NA	2.27	0.33	0.88	0.68	1.18	NA
1758	2.42	NA	0.9	1.35	0.45	NA	NA	NA	0.72	NA	1.85	0.72	1.1	0.85	2.25	NA
1759	1.71	NA	0.92	1.85	0.53	NA	NA	NA	1.27	NA	1.86	0.51	0.75	1.1	2.25	NA
1760	1.89	NA	0.93	1.2	0.8	NA	NA	NA	0.6	NA	1.26	0.55	1.05	0.7	1.68	NA
1761	1.81	NA	0.81	1.31	0.63	NA	NA	NA	0.83	NA	1.15	0.7	1.1	0.33	1.65	NA
1762	2.09	NA	0.61	0.86	0.59	NA	NA	NA	0.26	NA	1.08	0.75	1.15	0.38	1.2	NA
1763	3.01	NA	0.79	0.99	0.94	NA	NA	NA	0.59	NA	1.06	0.81	0.43	0.73	2.18	NA
