# Grissino-Mayer - Kux/Castelbarco Viola - PCAB - ITRDB BRIT052
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3431
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3431.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit052-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; brit052-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/brit052.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/brit052.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2003-01-27
#--------------------
# File_Last_Modified_Date
#   Date: 2003-01-27
#--------------------
# Title
#   Study_Name: Grissino-Mayer - Kux/Castelbarco Viola - PCAB - ITRDB BRIT052
#--------------------
# Investigators
#   Investigators: Grissino-Mayer, H.D.; Sheppard, P.R.; Cleaveland, M.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Kux/Castelbarco Viola
#   Location: United Kingdom
#   Northernmost_Latitude: 51.52
#   Southernmost_Latitude: 51.52
#   Easternmost_Longitude: -0.17
#   Westernmost_Longitude: -0.17
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: BRIT052
#   First_Year: 1559
#   Last_Year: 1683
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## pkuxt_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pkuxt; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pkuxb_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pkuxb; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	pkuxt_raw	pkuxb_raw
1559	2.22	NA
1560	2.034	2.036
1561	1.842	1.962
1562	2.394	2.298
1563	1.86	1.958
1564	2.008	1.818
1565	1.874	1.824
1566	2.12	2
1567	1.578	1.49
1568	1.518	1.584
1569	1.592	1.596
1570	1.572	1.608
1571	1.67	1.684
1572	1.742	1.614
1573	1.332	1.354
1574	1.54	1.63
1575	1.526	1.492
1576	1.286	1.39
1577	1.296	1.246
1578	1.412	1.298
1579	0.98	1.168
1580	0.994	1.062
1581	1.116	1.19
1582	1.164	1.172
1583	1.24	1.38
1584	1.054	1.142
1585	1.024	1.044
1586	1.084	1.162
1587	0.88	0.938
1588	1.132	1.014
1589	0.956	1.058
1590	1.088	1.174
1591	1.02	1.056
1592	1.148	1.23
1593	1.498	1.608
1594	1.504	1.616
1595	1.744	1.748
1596	1.444	1.512
1597	1.388	1.406
1598	1.502	1.536
1599	1.598	1.648
1600	1.518	1.404
1601	1.496	1.51
1602	1.196	1.232
1603	1.366	1.342
1604	1.412	1.252
1605	1.17	1.182
1606	1.358	1.324
1607	1.242	1.122
1608	0.986	0.948
1609	0.966	1.036
1610	0.896	1.004
1611	0.978	1.038
1612	0.83	0.776
1613	0.688	0.758
1614	0.906	0.836
1615	0.784	0.822
1616	0.716	0.778
1617	0.572	0.588
1618	0.532	0.6
1619	0.548	0.578
1620	0.602	0.574
1621	0.58	0.67
1622	0.814	0.706
1623	0.736	0.69
1624	0.612	0.632
1625	0.408	0.478
1626	0.546	0.588
1627	0.38	0.394
1628	0.38	0.41
1629	0.58	0.548
1630	0.484	0.556
1631	0.69	0.772
1632	0.638	0.718
1633	0.658	0.692
1634	0.682	0.74
1635	0.668	0.82
1636	0.638	0.656
1637	0.712	0.672
1638	0.666	0.71
1639	0.392	0.422
1640	0.494	0.54
1641	0.418	0.398
1642	0.44	0.542
1643	0.472	0.486
1644	0.548	0.586
1645	0.556	0.626
1646	0.636	0.634
1647	0.512	0.482
1648	0.59	0.674
1649	0.456	0.568
1650	0.574	0.588
1651	0.604	0.638
1652	0.528	0.484
1653	0.688	0.732
1654	0.558	0.506
1655	0.672	0.624
1656	0.668	0.746
1657	0.702	0.768
1658	0.626	0.578
1659	0.642	0.584
1660	0.728	0.724
1661	0.558	0.536
1662	0.66	0.616
1663	0.644	0.612
1664	0.662	0.714
1665	0.838	0.698
1666	0.81	0.778
1667	0.616	0.7
1668	0.696	0.594
1669	0.616	0.706
1670	0.674	0.57
1671	0.602	0.622
1672	0.722	0.706
1673	0.636	0.572
1674	0.832	0.766
1675	0.51	0.57
1676	0.688	0.728
1677	0.532	0.502
1678	0.702	0.76
1679	0.782	0.814
1680	0.58	0.504
1681	0.498	0.714
1682	0.466	0.662
1683	0.498	NA
