# Hartl - Oberammergau, Laichwald D - FASY - ITRDB DEU381
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37580
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37580.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu381-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu381.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu381.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-02-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-02-17
#--------------------
# Title
#   Study_Name: Hartl - Oberammergau, Laichwald D - FASY - ITRDB DEU381
#--------------------
# Investigators
#   Investigators: Hartl, Claudia; Rothe, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Zang, Christian; Claudia Hartl-Meier; Christoph Dittmar; Andreas Rothe; Annette Menzel
#   Published_Date_or_Year: 2014
#   Published_Title: Patterns of drought tolerance in major European temperate forest trees: climatic drivers and levels of variability
#   Journal_Name: Glob Change Biol
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.12637
#   Full_Citation:
#   Abstract:
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Hartl-Meier C, Rothe A (2014) Zuwachsreaktionen des Bergwaldes auf Klimaänderungen. LWF aktuell 99, 42–44. 
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Bavarian State Ministry for Food, Agriculture and Forestry
#   Grant:
#--------------------
# Funding_Agency
#   Funding_Agency_Name:  EU program INTERREG 
#   Grant:   J00183
#--------------------
# Site_Information
#   Site_Name: Oberammergau, Laichwald D
#   Location: Germany
#   Northernmost_Latitude: 47.485
#   Southernmost_Latitude: 47.485
#   Easternmost_Longitude: 11.026
#   Westernmost_Longitude: 11.026
#   Elevation_m: 838
#--------------------
# Data_Collection
#   Collection_Name: DEU381
#   First_Year: 1823
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OGLD501C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD501C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD501O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD501O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD503C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD503C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD503O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD503O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD505C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD505C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD505O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD505O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD506C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD506C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD506O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD506O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD507C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD507C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD507O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD507O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD508C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD508C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD508O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD508O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD509C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD509C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD509O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD509O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD510C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD510C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD510O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD510O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD512C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD512C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD512O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD512O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD514C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD514C_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OGLD514O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OGLD514O_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OGLD501C_raw	OGLD501O_raw	OGLD503C_raw	OGLD503O_raw	OGLD505C_raw	OGLD505O_raw	OGLD506C_raw	OGLD506O_raw	OGLD507C_raw	OGLD507O_raw	OGLD508C_raw	OGLD508O_raw	OGLD509C_raw	OGLD509O_raw	OGLD510C_raw	OGLD510O_raw	OGLD512C_raw	OGLD512O_raw	OGLD514C_raw	OGLD514O_raw
1823	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	NA	NA	NA	NA	NA	NA	NA	NA	1.55	2.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	NA	NA	NA	NA	NA	NA	NA	NA	1.14	4.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	NA	NA	NA	NA	NA	NA	1.15	3.01	NA	NA	NA	NA	NA	NA	NA	0.94	NA	NA
1828	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.29	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA
1829	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1.21	NA	0.66	NA	NA	NA	NA	NA	1.07	NA	NA
1830	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.7	NA	0.26	NA	NA	NA	NA	NA	0.64	0.43	NA
1831	NA	NA	NA	NA	NA	NA	NA	NA	0.61	0.55	NA	0.46	NA	NA	NA	NA	NA	0.61	0.59	NA
1832	NA	NA	NA	NA	NA	NA	NA	NA	1.61	0.82	NA	0.58	NA	NA	NA	NA	NA	0.55	0.37	NA
1833	NA	NA	NA	NA	NA	NA	NA	NA	1.68	1.35	NA	0.48	NA	NA	NA	NA	NA	0.3	0.35	NA
1834	NA	NA	NA	NA	NA	NA	NA	NA	1.48	1.09	NA	0.47	NA	NA	NA	NA	0.46	0.26	0.44	NA
1835	NA	NA	NA	NA	NA	NA	NA	NA	1.7	1.11	NA	0.68	NA	NA	NA	NA	0.6	0.3	0.38	NA
1836	NA	NA	NA	NA	NA	NA	NA	NA	1	0.67	NA	0.78	NA	NA	NA	NA	0.54	0.34	0.41	NA
1837	NA	NA	NA	NA	NA	NA	NA	NA	1.12	0.96	NA	0.76	NA	NA	NA	NA	0.62	0.38	0.65	NA
1838	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.6	NA	0.91	NA	NA	NA	NA	0.89	0.48	0.4	NA
1839	NA	NA	NA	NA	NA	NA	NA	NA	0.7	0.57	NA	0.68	NA	NA	NA	NA	0.62	0.3	0.56	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	0.58	0.57	NA	0.76	NA	NA	NA	NA	0.78	0.36	0.4	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	0.55	0.4	NA	0.61	NA	NA	NA	NA	0.57	0.29	0.18	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	0.76	0.75	NA	0.74	NA	NA	NA	NA	0.78	0.48	0.32	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	0.58	0.55	NA	0.72	NA	NA	NA	NA	0.83	0.38	0.41	NA
1844	NA	1.24	NA	NA	NA	NA	NA	NA	0.53	0.39	NA	0.73	NA	NA	NA	NA	0.65	0.5	0.26	NA
1845	NA	1.16	NA	NA	NA	NA	NA	0.87	0.82	0.68	0.81	0.79	NA	NA	1.03	NA	0.83	0.6	0.25	NA
1846	NA	1.07	NA	NA	NA	NA	NA	0.84	0.92	0.84	0.77	0.7	NA	NA	1.42	NA	0.87	0.65	0.31	NA
1847	NA	1.38	NA	NA	NA	NA	NA	0.98	0.82	0.66	1.29	1.04	NA	NA	1	NA	1.3	0.89	0.57	NA
1848	NA	0.96	NA	NA	NA	NA	NA	0.82	0.74	0.54	0.82	0.66	NA	NA	0.83	NA	0.82	0.69	0.44	NA
1849	NA	0.95	NA	NA	NA	NA	NA	0.76	0.77	0.48	0.9	0.68	NA	NA	0.66	NA	0.69	0.62	0.37	NA
1850	NA	1.29	NA	NA	NA	NA	NA	0.73	0.85	0.54	0.85	0.76	NA	NA	0.64	NA	0.8	0.6	0.52	NA
1851	NA	1.16	NA	NA	NA	NA	NA	0.58	0.5	0.36	0.76	0.81	NA	NA	0.64	NA	0.63	0.7	0.56	NA
1852	NA	1.27	0.67	NA	NA	NA	NA	0.51	0.7	0.64	0.89	1.2	NA	NA	0.69	NA	0.76	0.85	0.59	NA
1853	NA	1.24	0.77	NA	NA	NA	NA	0.47	0.75	0.71	0.79	1.12	NA	NA	0.71	NA	0.73	0.86	0.89	NA
1854	NA	1.18	0.68	NA	NA	NA	NA	0.4	0.71	0.68	0.68	0.79	NA	NA	0.6	NA	0.8	0.62	0.68	NA
1855	NA	1.11	0.4	NA	NA	NA	NA	0.39	0.61	0.78	0.75	0.86	NA	NA	0.3	0.34	0.68	0.63	0.92	NA
1856	NA	1	0.4	NA	NA	NA	NA	0.37	0.44	0.49	0.54	0.58	NA	NA	0.36	0.23	0.45	0.45	0.81	NA
1857	NA	1.26	0.7	NA	NA	NA	NA	0.24	0.48	0.86	0.59	0.84	NA	NA	0.59	0.37	0.54	0.57	0.72	NA
1858	NA	1.26	0.65	NA	NA	NA	NA	0.29	0.48	0.9	0.61	0.89	NA	NA	0.53	0.33	0.43	0.66	0.9	NA
1859	NA	1.27	0.78	NA	NA	NA	NA	0.49	0.71	1.04	0.73	1	NA	NA	0.82	0.63	0.61	0.76	0.97	NA
1860	NA	1.28	1.14	NA	NA	0.59	NA	0.54	0.75	0.9	1.1	1.11	0.81	NA	0.96	0.99	0.92	1.08	0.9	NA
1861	NA	1.41	1.27	NA	NA	0.75	NA	0.61	0.77	1.03	1.34	1.51	0.58	NA	0.78	0.89	1.02	1.4	1.09	NA
1862	NA	1.25	0.8	NA	NA	0.6	NA	0.44	0.65	0.88	1.07	0.86	0.4	NA	0.62	0.72	0.85	1.18	0.72	NA
1863	NA	1.26	1.06	NA	NA	0.38	NA	0.52	0.75	0.86	1.12	0.77	0.34	NA	0.76	0.97	1.05	1.32	0.71	NA
1864	NA	1.29	1.12	NA	NA	0.53	NA	0.61	0.72	0.86	1.2	0.68	0.37	NA	0.66	1	0.84	1.06	0.69	NA
1865	NA	0.86	0.68	NA	NA	0.44	NA	0.39	0.54	0.66	0.86	0.53	0.28	NA	0.37	0.53	0.52	0.72	0.66	NA
1866	NA	1.24	0.7	NA	NA	0.73	NA	0.37	0.59	0.78	1.03	0.74	0.2	NA	0.74	0.82	0.65	1.03	0.93	NA
1867	NA	1.16	0.81	NA	NA	0.5	NA	0.51	0.66	0.86	1.08	0.77	0.29	NA	0.77	0.78	0.54	1.07	0.89	0.67
1868	NA	0.85	0.64	NA	NA	0.4	NA	0.51	0.48	0.51	0.64	2.08	0.3	NA	0.53	0.57	0.5	1.07	1.2	1.07
1869	NA	1.36	0.52	NA	NA	0.65	NA	0.44	0.51	0.66	1.06	1.69	0.13	NA	0.92	0.79	0.66	1.21	1.76	1.52
1870	NA	1.3	0.65	NA	NA	0.4	NA	0.51	0.54	0.58	1.2	1.34	0.34	NA	0.75	0.64	1.14	1.38	1.64	1.24
1871	NA	1.31	1.07	NA	NA	0.58	NA	0.55	0.53	0.54	1	1.12	0.29	NA	0.9	0.73	0.82	1	1.39	1.15
1872	NA	1.21	0.98	0.92	NA	0.61	NA	0.76	0.34	0.64	0.84	1	0.33	NA	0.63	0.5	0.47	0.67	1.09	1.01
1873	NA	1.04	0.96	0.85	NA	0.82	1.38	0.71	0.06	0.12	0.46	1.13	0.28	NA	0.08	0.1	0.69	0.9	1.13	1.04
1874	NA	1.2	1.06	1.07	NA	0.64	1.56	0.91	0.26	0.44	0.47	1.1	0.43	NA	0.62	0.42	0.9	1.24	1.17	1.03
1875	NA	1.27	1.21	1.11	NA	0.61	1.38	0.93	0.35	0.57	0.44	1.27	0.42	NA	0.8	0.45	1.28	1.29	1.14	0.96
1876	NA	1.18	0.95	0.86	NA	0.66	1.2	0.92	0.4	0.68	0.55	1.5	0.26	NA	1.07	0.71	0.51	0.7	1.15	1
1877	NA	0.8	0.78	0.72	NA	0.48	1.1	0.88	0.48	1	1.19	2.04	0.27	NA	1.11	0.93	0.6	0.76	1.19	1.45
