# Schweingruber - Kovero - PCAB - ITRDB FINL013
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4478
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4478.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/finl013x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; finl013x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/finl013x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/finl013x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Kovero - PCAB - ITRDB FINL013
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Kovero
#   Location: Finland
#   Northernmost_Latitude: 61.83
#   Southernmost_Latitude: 61.83
#   Easternmost_Longitude: 23.48
#   Westernmost_Longitude: 23.48
#   Elevation_m: 180
#--------------------
# Data_Collection
#   Collection_Name: FINL013
#   First_Year: 1860
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 532011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532092_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532102_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532102; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532112_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532112; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 532122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 532122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	532011_raw	532012_raw	532021_raw	532022_raw	532031_raw	532032_raw	532041_raw	532042_raw	532051_raw	532052_raw	532061_raw	532062_raw	532071_raw	532072_raw	532081_raw	532082_raw	532091_raw	532092_raw	532101_raw	532102_raw	532111_raw	532112_raw	532121_raw	532122_raw
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	0.75	NA	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	0.8	NA	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	0.73	0.73	0.72	NA
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59	0.64	NA	NA	NA	NA	0.64	0.67	0.7	NA
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	0.73	NA	NA	NA	NA	0.76	0.81	0.82	NA
1866	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	0.77	0.77	NA	0.78	NA	NA	0.82	0.87	0.88	NA
1867	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	0.77	0.79	NA	0.81	NA	NA	0.83	0.86	0.75	NA
1868	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA	0.9	0.88	NA	0.88	NA	NA	0.99	0.98	0.89	NA
1869	NA	NA	NA	NA	NA	0.69	NA	NA	NA	NA	NA	NA	0.7	NA	0.81	0.76	0.78	0.76	NA	NA	0.81	0.78	0.81	NA
1870	NA	NA	NA	NA	0.72	0.66	NA	NA	NA	NA	NA	NA	0.69	NA	0.75	0.77	0.81	0.82	NA	NA	0.81	0.82	0.72	0.76
1871	NA	NA	NA	NA	0.65	0.62	NA	NA	NA	NA	NA	NA	0.53	NA	0.73	0.75	0.77	0.79	NA	0.68	0.85	0.92	0.72	0.74
1872	NA	NA	NA	NA	0.72	0.72	NA	NA	NA	NA	NA	NA	0.71	NA	0.91	0.93	0.88	0.87	NA	0.82	0.84	0.84	0.83	0.86
1873	NA	NA	NA	NA	0.74	0.75	NA	NA	NA	NA	NA	NA	0.69	NA	0.86	0.89	0.9	0.91	NA	0.75	0.98	0.84	0.88	0.88
1874	NA	NA	NA	NA	0.56	0.53	NA	NA	NA	NA	NA	NA	0.56	NA	0.61	0.72	0.72	0.78	NA	0.65	0.79	0.74	0.67	0.65
1875	NA	NA	NA	NA	0.72	0.71	NA	NA	NA	NA	NA	NA	0.61	NA	0.72	0.88	0.84	0.84	0.72	0.79	0.87	0.85	0.86	0.8
1876	NA	NA	NA	NA	0.71	0.76	NA	NA	NA	NA	NA	NA	0.73	NA	0.76	0.88	0.86	0.89	0.8	0.81	0.86	0.85	0.83	0.81
1877	NA	NA	NA	NA	0.69	0.63	0.74	NA	NA	NA	NA	NA	0.49	0.57	0.66	0.73	0.82	0.74	0.64	0.65	0.72	0.8	0.71	0.69
1878	NA	NA	NA	NA	0.76	0.81	0.8	NA	NA	NA	NA	NA	0.72	0.83	0.78	0.84	0.94	0.86	0.84	0.89	0.85	0.85	0.81	0.8
1879	NA	NA	NA	NA	0.81	0.88	0.87	0.87	NA	NA	NA	NA	0.72	0.83	0.82	0.82	0.93	0.89	0.92	0.96	0.85	0.93	0.94	0.94
1880	NA	NA	NA	NA	0.81	0.76	0.76	0.79	NA	NA	NA	0.91	0.82	0.89	0.82	0.9	0.92	0.89	0.91	0.9	0.9	0.91	0.86	0.81
1881	NA	NA	NA	NA	0.74	0.73	0.72	0.72	NA	NA	0.77	0.72	0.74	0.82	0.74	0.76	0.83	0.78	0.74	0.8	0.72	0.76	0.72	0.71
1882	NA	NA	NA	NA	0.81	0.85	0.8	0.75	NA	NA	0.87	0.8	0.81	0.93	0.82	0.79	0.89	0.83	0.91	0.9	0.89	0.85	0.89	0.86
1883	NA	NA	NA	NA	0.74	0.79	0.76	0.72	NA	NA	0.84	0.83	0.81	0.83	0.79	0.78	0.85	0.81	0.89	0.78	0.75	0.78	0.81	0.79
1884	NA	NA	NA	NA	0.86	0.84	0.86	0.77	NA	NA	0.89	0.9	0.83	0.94	0.86	0.91	0.95	0.91	0.93	0.92	0.93	0.91	0.96	0.93
1885	NA	NA	NA	NA	0.71	0.77	0.67	0.73	NA	NA	0.73	0.83	0.63	0.6	0.75	0.84	0.82	0.83	0.73	0.76	0.73	0.83	0.74	0.74
1886	NA	NA	NA	0.8	0.79	0.8	0.8	0.75	NA	NA	0.87	0.9	0.84	0.86	0.81	0.93	0.92	0.86	0.91	0.86	0.95	0.83	0.93	0.93
1887	NA	NA	NA	0.75	0.72	0.75	0.77	0.77	NA	NA	0.82	0.86	0.8	0.79	0.71	0.83	0.88	0.77	0.83	0.8	0.95	0.87	0.83	0.83
1888	NA	NA	NA	0.73	0.74	0.72	0.76	0.75	NA	NA	0.88	0.94	0.76	0.81	0.71	0.84	0.86	0.83	0.82	0.77	0.77	0.8	0.84	0.77
1889	NA	NA	NA	0.76	0.74	0.75	0.77	0.77	NA	NA	0.91	0.9	0.81	0.86	0.77	0.9	0.85	0.81	0.84	0.77	0.79	0.82	0.87	0.85
1890	NA	NA	NA	0.7	0.75	0.77	0.72	0.7	NA	NA	0.85	0.85	0.77	0.81	0.82	0.9	0.87	0.82	0.79	0.74	0.75	0.84	0.83	0.78
1891	NA	NA	NA	0.68	0.62	0.67	0.77	0.73	NA	NA	0.82	0.83	0.75	0.75	0.67	0.77	0.85	0.78	0.73	0.73	0.79	0.84	0.91	0.93
1892	0.76	NA	NA	0.71	0.72	0.71	0.77	0.78	0.65	NA	0.83	0.88	0.83	0.83	0.72	0.85	0.85	0.8	0.72	0.79	0.73	0.8	0.87	0.81
1893	0.64	NA	NA	0.61	0.63	0.67	0.78	0.67	0.63	NA	0.79	0.84	0.77	0.63	0.62	0.74	0.78	0.79	0.66	0.65	0.84	0.87	0.88	0.89
1894	0.76	NA	NA	0.76	0.72	0.66	0.82	0.78	0.74	NA	0.89	0.89	0.8	0.79	0.77	0.86	0.89	0.89	0.78	0.79	0.89	0.83	0.96	0.9
1895	0.76	NA	0.84	0.89	0.91	0.84	0.82	0.79	0.77	0.76	0.9	0.96	0.84	0.83	0.86	0.97	0.89	0.93	0.78	0.93	0.95	0.94	1.02	0.92
1896	0.73	NA	0.78	0.83	0.76	0.73	0.8	0.78	0.71	0.71	0.85	0.88	0.86	0.8	0.82	0.86	0.88	0.94	0.77	0.81	0.92	0.9	0.98	0.94
1897	0.85	NA	0.87	0.84	0.95	0.86	0.9	0.94	0.83	0.73	0.97	1.02	0.97	0.98	0.98	0.97	0.99	0.97	0.89	0.94	0.95	0.93	1.05	1.03
1898	0.67	NA	0.71	0.73	0.76	0.74	0.76	0.75	0.73	0.72	0.88	0.89	0.81	0.79	0.87	0.89	0.86	0.9	0.73	0.78	0.82	0.82	0.83	0.88
1899	0.69	NA	0.7	0.67	0.69	0.68	0.75	0.74	0.74	0.75	0.84	0.79	0.85	0.76	0.74	0.77	0.81	0.83	0.71	0.73	0.76	0.85	0.88	0.86
1900	0.73	NA	0.76	0.8	0.77	0.71	0.8	0.76	0.71	0.76	0.89	0.87	0.91	0.82	0.87	0.85	0.88	0.9	0.75	0.69	0.86	0.87	0.91	0.89
1901	0.9	NA	0.86	0.93	0.88	0.81	0.88	0.9	0.83	0.85	0.97	0.98	1.08	1	0.84	0.92	0.98	1.01	0.84	0.88	0.97	0.89	0.98	1
