# Schweingruber - Col D'Allos - PCAB - ITRDB FRAN016
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4388
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4388.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran016x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; fran016x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran016x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/fran016x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-31
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-31
#--------------------
# Title
#   Study_Name: Schweingruber - Col D'Allos - PCAB - ITRDB FRAN016
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Col D'Allos
#   Location: France
#   Northernmost_Latitude: 44.27
#   Southernmost_Latitude: 44.27
#   Easternmost_Longitude: 6.57
#   Westernmost_Longitude: 6.57
#   Elevation_m: 1900
#--------------------
# Data_Collection
#   Collection_Name: FRAN016
#   First_Year: 1792
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 257030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257090_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257090; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257120_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257120; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257150_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257150; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257160_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257160; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257220_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257220; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257230_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257230; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 257260_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 257260; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	257030_raw	257070_raw	257090_raw	257120_raw	257150_raw	257160_raw	257220_raw	257230_raw	257260_raw
1792	NA	NA	NA	NA	0.73	NA	NA	NA	NA
1793	NA	NA	NA	NA	0.85	NA	NA	NA	NA
1794	NA	NA	NA	NA	0.8	NA	NA	NA	NA
1795	NA	NA	NA	NA	0.85	NA	NA	NA	NA
1796	NA	NA	NA	NA	0.85	NA	NA	NA	NA
1797	NA	NA	NA	NA	0.84	NA	NA	NA	NA
1798	NA	NA	NA	NA	0.86	NA	NA	NA	NA
1799	NA	NA	NA	NA	0.86	NA	NA	NA	NA
1800	NA	NA	NA	NA	0.93	NA	NA	NA	NA
1801	NA	NA	NA	NA	0.98	NA	NA	NA	NA
1802	NA	NA	NA	NA	0.75	NA	NA	NA	NA
1803	NA	NA	NA	NA	0.82	0.91	NA	NA	NA
1804	NA	NA	NA	NA	0.88	0.86	NA	NA	NA
1805	NA	NA	NA	NA	0.82	0.71	NA	NA	NA
1806	NA	NA	NA	NA	0.82	0.8	NA	NA	NA
1807	NA	NA	NA	NA	0.82	0.82	NA	NA	NA
1808	NA	NA	NA	NA	0.9	0.9	NA	NA	NA
1809	NA	NA	NA	NA	0.75	0.82	NA	NA	NA
1810	NA	NA	NA	NA	0.87	0.86	NA	NA	NA
1811	NA	NA	NA	NA	0.9	0.88	NA	NA	NA
1812	NA	NA	NA	NA	0.91	0.91	NA	NA	NA
1813	NA	NA	NA	NA	0.75	0.9	NA	NA	NA
1814	NA	NA	NA	NA	0.8	0.83	NA	NA	NA
1815	NA	NA	NA	NA	0.86	0.79	NA	NA	NA
1816	NA	NA	NA	NA	0.67	0.72	NA	NA	NA
1817	NA	NA	NA	NA	0.84	0.72	NA	NA	NA
1818	NA	NA	NA	NA	0.92	0.76	NA	NA	NA
1819	NA	NA	NA	NA	0.9	0.82	NA	NA	NA
1820	NA	NA	NA	NA	0.93	0.84	NA	NA	NA
1821	NA	NA	NA	NA	0.9	0.83	NA	NA	NA
1822	NA	NA	NA	NA	0.9	0.87	NA	NA	NA
1823	NA	0.61	NA	NA	0.91	0.74	NA	NA	NA
1824	NA	0.67	NA	NA	0.92	0.83	NA	NA	NA
1825	NA	0.78	NA	NA	0.93	0.89	NA	NA	NA
1826	NA	0.76	NA	NA	0.99	0.92	NA	0.68	NA
1827	NA	0.74	NA	NA	0.87	0.9	NA	0.7	NA
1828	NA	0.78	NA	NA	1	0.94	NA	0.7	NA
1829	NA	0.85	NA	NA	0.82	0.89	NA	0.73	NA
1830	NA	0.81	NA	NA	0.98	0.91	NA	0.77	NA
1831	NA	0.87	NA	NA	0.89	0.92	NA	0.74	NA
1832	NA	0.88	NA	NA	0.97	0.93	NA	0.7	NA
1833	NA	0.81	NA	NA	0.8	0.87	NA	0.71	NA
1834	NA	0.91	NA	NA	0.93	0.96	NA	0.76	NA
1835	NA	0.84	0.75	NA	0.85	0.92	NA	0.75	NA
1836	NA	0.85	0.78	NA	0.94	0.89	NA	0.71	NA
1837	NA	0.8	0.75	NA	0.88	0.81	NA	0.78	NA
1838	NA	0.82	0.82	NA	0.95	0.89	NA	0.64	NA
1839	NA	0.88	0.88	NA	0.94	0.91	NA	0.8	NA
1840	NA	0.88	0.9	NA	0.97	0.92	NA	0.75	NA
1841	NA	0.89	0.9	NA	0.93	0.93	NA	0.84	NA
1842	NA	0.92	0.86	NA	0.93	0.95	NA	0.86	NA
1843	NA	0.84	0.73	NA	0.87	0.86	NA	0.74	NA
1844	NA	0.93	0.78	NA	0.99	0.95	NA	0.88	NA
1845	NA	0.84	0.74	NA	0.84	0.87	NA	0.75	NA
1846	NA	0.83	0.94	NA	0.98	0.95	NA	0.9	NA
1847	0.64	0.88	0.83	NA	0.87	0.93	0.84	0.83	NA
1848	0.65	0.88	0.9	NA	1	0.96	0.79	0.8	NA
1849	0.81	0.83	1	NA	1.01	0.87	0.71	0.74	NA
1850	0.82	0.87	0.8	NA	0.87	0.9	0.84	0.76	0.86
1851	0.61	0.84	0.75	NA	0.86	0.9	0.84	0.83	0.79
1852	0.69	0.78	0.72	NA	0.77	0.83	0.82	0.76	0.75
1853	0.65	0.85	0.84	NA	0.9	0.93	0.84	0.74	0.78
1854	0.71	0.85	0.86	NA	0.94	0.89	0.79	0.82	0.85
1855	0.74	0.94	0.87	NA	0.95	0.93	0.85	0.78	0.91
1856	0.72	0.86	0.99	NA	0.95	0.96	0.89	0.83	0.92
1857	0.75	0.88	0.94	NA	0.9	0.96	0.83	0.82	0.89
1858	0.83	0.9	0.97	NA	0.95	1.01	0.88	0.78	0.88
1859	0.79	0.85	0.81	NA	0.93	0.91	0.86	0.79	0.9
1860	0.61	0.79	0.81	NA	0.81	0.86	0.88	0.69	0.78
1861	0.71	0.75	0.84	NA	0.9	0.85	0.86	0.71	0.89
1862	0.8	0.92	1.01	NA	0.99	0.99	0.96	0.74	0.92
1863	0.9	0.9	0.92	NA	0.94	0.99	0.96	0.79	0.81
1864	0.85	0.86	1.02	NA	0.96	0.99	0.97	0.78	0.94
