# Schweingruber - Blumone Malga - PCAB - ITRDB ITAL014
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4348
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4348.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital014l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ital014l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/ital014l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ital014l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Blumone Malga - PCAB - ITRDB ITAL014
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Blumone Malga
#   Location: Italy
#   Northernmost_Latitude: 45.88
#   Southernmost_Latitude: 45.88
#   Easternmost_Longitude: 10.42
#   Westernmost_Longitude: 10.42
#   Elevation_m: 1650
#--------------------
# Data_Collection
#   Collection_Name: ITAL014
#   First_Year: 1840
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 626031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626092_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626102_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626102; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626112_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626112; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626132_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626132; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626141_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626141; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 626142_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 626142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	626031_raw	626032_raw	626041_raw	626042_raw	626051_raw	626052_raw	626061_raw	626062_raw	626071_raw	626072_raw	626081_raw	626082_raw	626091_raw	626092_raw	626101_raw	626102_raw	626111_raw	626112_raw	626121_raw	626122_raw	626131_raw	626132_raw	626141_raw	626142_raw
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA	NA	NA
1842	NA	NA	NA	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	NA	NA	NA	NA	NA
1843	NA	0.74	NA	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	NA	NA	NA
1844	NA	0.52	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA	NA
1845	NA	0.78	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA
1846	NA	0.4	0.47	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.54	NA	NA	NA	NA	NA
1847	NA	0.29	0.31	0.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	NA	NA	NA	NA
1848	NA	0.27	0.34	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39	NA	NA	NA	NA	NA
1849	NA	0.33	0.39	0.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	NA	NA	NA	NA
1850	NA	0.34	0.5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA
1851	0.21	0.37	0.64	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA
1852	0.44	0.31	0.64	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA
1853	0.29	0.19	0.24	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	0.18	NA	NA	NA	NA	NA
1854	0.63	0.57	0.39	0.38	0.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44	0.19	NA	NA	NA	NA	NA
1855	0.3	0.32	0.4	0.57	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37	0.22	NA	NA	NA	NA	NA
1856	0.2	0.27	0.44	0.67	0.56	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.26	NA	NA	NA	NA	NA
1857	0.25	0.26	0.67	0.53	0.62	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34	0.24	NA	NA	NA	NA	NA
1858	0.3	0.34	0.97	0.58	0.58	0.41	NA	NA	NA	NA	NA	NA	0.58	NA	NA	NA	NA	0.64	0.6	0.76	NA	NA	NA	NA
1859	0.59	0.29	0.86	0.38	0.53	0.41	NA	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA	0.55	0.27	0.5	NA	NA	NA	NA
1860	0.39	0.31	0.58	0.31	0.6	0.3	NA	NA	NA	NA	NA	NA	0.34	NA	NA	NA	NA	0.71	0.64	0.88	NA	NA	NA	NA
1861	0.21	0.11	0.46	0.42	1.43	0.63	NA	NA	NA	NA	NA	NA	0.36	NA	NA	NA	0.75	0.39	0.24	0.5	NA	NA	NA	NA
1862	0.49	0.41	0.5	0.4	0.96	0.64	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA	0.63	0.65	0.36	0.59	NA	NA	NA	NA
1863	0.58	0.33	0.36	0.42	0.65	0.49	NA	NA	NA	NA	NA	NA	0.33	0.44	NA	NA	0.98	0.94	0.5	0.53	NA	NA	NA	NA
1864	0.62	0.39	0.26	0.22	0.89	0.59	NA	NA	NA	NA	NA	NA	0.39	0.46	NA	NA	0.77	0.9	0.54	0.4	NA	NA	NA	NA
1865	0.87	0.48	0.44	0.26	0.69	0.54	NA	NA	NA	NA	NA	NA	0.33	0.4	NA	NA	0.57	0.68	0.52	0.55	NA	NA	0.41	NA
1866	0.4	0.42	0.34	0.23	0.48	0.35	NA	NA	NA	NA	NA	NA	0.28	0.37	NA	NA	0.61	0.67	0.26	0.3	NA	NA	0.74	NA
1867	0.45	0.43	0.37	0.22	0.54	0.38	NA	NA	NA	NA	NA	NA	0.31	0.41	NA	NA	0.55	0.58	0.43	0.26	NA	NA	0.34	NA
1868	0.83	0.57	0.29	0.27	0.51	0.47	NA	NA	NA	NA	NA	NA	0.45	0.32	NA	NA	0.72	0.89	0.39	0.35	NA	1.35	0.4	NA
1869	0.17	0.16	0.33	0.31	0.52	0.53	NA	NA	NA	NA	NA	NA	0.2	0.26	NA	NA	0.46	0.24	0.26	0.31	NA	0.6	0.33	NA
1870	0.05	0.04	0.16	0.17	0.29	0.5	NA	NA	NA	NA	NA	NA	0.36	0.31	NA	NA	0.22	0.51	0.38	0.48	NA	0.58	0.3	NA
1871	0.13	0.11	0.17	0.13	0.32	0.39	NA	NA	NA	NA	NA	NA	0.29	0.32	0.77	NA	0.29	0.84	0.36	0.35	NA	0.51	0.28	NA
1872	0.23	0.18	0.18	0.17	0.28	0.29	NA	NA	NA	NA	NA	NA	0.39	0.57	0.69	NA	0.41	0.82	0.35	0.6	NA	0.41	0.19	NA
1873	0.2	0.21	0.3	0.35	0.4	0.33	NA	NA	NA	NA	NA	NA	0.4	0.42	0.63	NA	0.4	0.75	0.32	0.6	NA	0.5	0.34	NA
1874	0.23	0.24	0.27	0.3	0.26	0.23	NA	NA	NA	NA	NA	0.95	0.3	0.4	0.62	NA	0.62	0.83	0.52	0.6	NA	0.78	0.4	NA
1875	0.39	0.31	0.31	0.26	0.3	0.42	NA	NA	NA	NA	NA	0.39	0.32	0.34	0.68	NA	0.49	0.43	0.38	0.42	NA	0.61	0.29	NA
1876	0.32	0.34	0.38	0.36	0.22	0.26	NA	0.44	NA	NA	NA	0.52	0.34	0.42	0.61	NA	0.52	0.39	0.31	0.36	NA	0.47	0.37	NA
1877	0.23	0.29	0.43	0.39	0.33	0.47	NA	0.55	NA	NA	NA	1.11	0.25	0.49	0.39	NA	0.6	0.45	0.38	0.47	NA	0.68	0.31	NA
1878	0.33	0.39	0.48	0.37	0.42	0.48	NA	0.39	NA	NA	NA	0.49	0.24	0.36	0.44	NA	0.61	0.49	0.63	0.49	NA	0.65	0.38	NA
1879	0.35	0.4	0.34	0.36	0.34	0.53	NA	0.9	0.4	NA	NA	0.58	0.26	0.3	0.39	NA	0.62	0.49	0.5	0.43	0.59	0.57	0.35	NA
1880	0.23	0.31	0.16	0.19	0.35	0.44	NA	0.57	0.29	NA	NA	0.45	0.24	0.4	0.31	NA	0.57	0.67	0.39	0.34	0.63	0.5	0.34	NA
1881	0.14	0.14	0.17	0.16	0.3	0.29	NA	0.48	0.28	NA	0.44	0.25	0.19	0.37	0.29	NA	0.39	0.48	0.33	0.29	0.32	0.39	0.27	NA
1882	0.21	0.28	0.15	0.17	0.31	0.42	NA	0.44	0.5	0.48	0.36	0.25	0.31	0.42	0.44	0.48	0.38	0.71	0.51	0.34	0.52	0.58	0.22	NA
1883	0.21	0.26	0.2	0.14	0.21	0.21	NA	0.37	0.29	0.4	0.38	0.29	0.19	0.16	0.35	0.35	0.32	0.48	0.41	0.29	0.2	0.3	0.21	0.44
