# Piksryte - Daunoriai Peat Bog Utena District - PISY - ITRDB LITH001
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4204
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4204.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith001-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; lith001-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/lith001.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/lith001.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Piksryte - Daunoriai Peat Bog Utena District - PISY - ITRDB LITH001
#--------------------
# Investigators
#   Investigators: Piksryte, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Daunoriai Peat Bog  Utena District
#   Location: Lithuania
#   Northernmost_Latitude: 55.43
#   Southernmost_Latitude: 55.43
#   Easternmost_Longitude: 25.95
#   Westernmost_Longitude: 25.95
#   Elevation_m: 153
#--------------------
# Data_Collection
#   Collection_Name: LITH001
#   First_Year: 1777
#   Last_Year: 1991
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LI02010X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02010X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02020X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02020X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02030X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02030X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02040X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02040X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02051X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02051X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02060X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02060X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02070X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02070X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02080X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02080X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02090X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02090X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02100X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02100X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LI02110X_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LI02110X; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LI02010X_raw	LI02020X_raw	LI02030X_raw	LI02040X_raw	LI02051X_raw	LI02060X_raw	LI02070X_raw	LI02080X_raw	LI02090X_raw	LI02100X_raw	LI02110X_raw
1777	NA	NA	NA	NA	1.11	NA	NA	NA	NA	NA	NA
1778	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA
1779	NA	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA
1780	NA	NA	NA	NA	0.72	NA	NA	NA	NA	NA	NA
1781	NA	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA
1782	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA
1783	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	NA
1784	NA	NA	NA	NA	1.03	NA	NA	NA	NA	NA	NA
1785	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA
1786	NA	NA	NA	NA	1.36	NA	NA	NA	NA	NA	NA
1787	NA	NA	NA	NA	1.06	NA	NA	NA	NA	NA	NA
1788	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA	NA
1789	NA	NA	0.34	NA	0.45	NA	NA	NA	NA	NA	NA
1790	NA	NA	0.29	NA	0.36	NA	NA	NA	NA	NA	NA
1791	NA	NA	0.27	NA	0.33	NA	NA	NA	NA	NA	NA
1792	NA	NA	0.48	NA	0.42	NA	NA	NA	NA	NA	NA
1793	NA	NA	0.54	NA	0.49	NA	NA	NA	NA	NA	NA
1794	NA	NA	0.76	NA	0.49	NA	NA	NA	NA	NA	NA
1795	NA	NA	0.5	NA	0.54	NA	NA	NA	NA	NA	NA
1796	NA	NA	0.52	NA	0.28	NA	NA	NA	NA	NA	NA
1797	NA	NA	0.3	NA	0.43	NA	NA	NA	NA	NA	NA
1798	NA	NA	0.58	NA	0.52	NA	NA	NA	NA	NA	NA
1799	NA	NA	0.54	NA	0.37	NA	NA	NA	NA	NA	NA
1800	NA	NA	0.59	NA	0.42	NA	NA	NA	NA	NA	NA
1801	NA	NA	0.37	NA	0.34	NA	NA	NA	NA	NA	NA
1802	NA	NA	0.41	1.16	0.45	NA	NA	NA	NA	NA	NA
1803	NA	NA	0.23	1.15	0.2	NA	NA	NA	NA	NA	NA
1804	NA	NA	0.32	1.02	0.35	NA	0.38	NA	NA	NA	NA
1805	NA	NA	0.48	0.69	0.38	NA	0.12	NA	NA	NA	NA
1806	NA	NA	0.19	0.48	0.22	NA	0.39	NA	NA	NA	NA
1807	NA	NA	0.4	0.69	0.28	NA	0.53	NA	NA	NA	NA
1808	NA	NA	0.53	0.93	0.31	NA	0.41	NA	NA	NA	NA
1809	NA	NA	0.5	0.86	0.44	NA	0.32	NA	NA	NA	NA
1810	NA	NA	0.64	0.72	0.41	NA	0.24	NA	NA	NA	NA
1811	NA	NA	0.31	0.52	0.28	NA	0.1	NA	NA	NA	NA
1812	NA	NA	0.26	0.96	0.37	NA	0.23	NA	NA	NA	NA
1813	NA	NA	0.43	0.93	0.7	NA	0.23	NA	NA	NA	NA
1814	NA	NA	0.29	0.4	0.42	NA	0.12	NA	NA	NA	NA
1815	NA	NA	0.55	0.74	0.4	NA	0.1	NA	NA	NA	NA
1816	NA	NA	0.5	0.67	0.53	NA	0.19	NA	NA	NA	NA
1817	NA	NA	0.68	0.61	0.67	NA	0.33	NA	NA	NA	NA
1818	NA	NA	0.36	0.57	0.61	NA	0.16	NA	NA	NA	NA
1819	NA	NA	0.4	0.54	0.61	NA	0.08	NA	NA	NA	NA
1820	NA	NA	0.69	1.12	0.66	NA	0.11	NA	NA	NA	NA
1821	NA	NA	0.24	0.26	0.02	NA	0.08	NA	NA	NA	NA
1822	NA	NA	0.11	0.22	0.01	NA	0.02	NA	NA	NA	NA
1823	NA	NA	0.46	0.31	0.11	NA	0.16	NA	NA	NA	NA
1824	NA	NA	1.17	0.71	0.16	NA	0.25	NA	NA	NA	NA
1825	NA	NA	0.8	0.87	0.25	NA	0.02	NA	NA	NA	NA
1826	NA	NA	0.78	0.81	0.42	NA	0.05	NA	NA	NA	NA
1827	NA	NA	0.76	0.92	0.66	NA	0.07	NA	NA	NA	NA
1828	NA	NA	1.2	1.41	1.32	NA	0.44	NA	NA	NA	NA
1829	NA	NA	0.88	0.95	0.49	NA	0.38	NA	NA	NA	NA
1830	NA	NA	0.62	0.9	0.21	NA	0.39	NA	NA	NA	NA
1831	NA	NA	0.4	0.51	0.47	NA	0.56	NA	NA	NA	NA
1832	NA	NA	0.32	0.41	0.18	NA	0.53	NA	NA	NA	NA
1833	NA	NA	0.54	0.55	0.13	NA	0.7	NA	NA	NA	NA
1834	NA	NA	0.64	0.62	0.15	NA	0.69	NA	NA	NA	NA
1835	NA	NA	0.73	0.72	0.29	NA	0.96	NA	NA	1.19	NA
1836	NA	NA	0.6	0.81	0.41	NA	1.01	NA	NA	1.64	NA
1837	NA	NA	0.47	0.64	0.26	NA	0.8	NA	NA	2	NA
1838	NA	NA	0.35	0.48	0.2	NA	0.78	NA	NA	3.12	NA
1839	NA	NA	0.32	0.45	0.12	NA	0.47	NA	NA	2.2	NA
1840	NA	NA	0.79	0.93	0.41	NA	0.75	NA	NA	0.92	NA
1841	NA	NA	0.55	0.7	0.4	NA	0.45	NA	NA	1.1	NA
1842	NA	NA	0.44	0.42	0.36	NA	0.4	NA	NA	0.76	NA
1843	NA	NA	0.37	0.51	0.26	NA	0.26	NA	NA	1.13	NA
1844	NA	NA	0.47	0.53	0.29	NA	0.5	1.06	NA	1.09	NA
1845	NA	NA	0.48	0.71	0.44	NA	0.35	0.78	NA	0.95	NA
