# Jansma - Maastricht Dominican Church Roof Timbers - QUSP - ITRDB NETH015
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3631
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3631.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth015-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; neth015-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/neth015.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/neth015.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Jansma - Maastricht Dominican Church Roof Timbers - QUSP - ITRDB NETH015
#--------------------
# Investigators
#   Investigators: Jansma, E.; Van Rijn, P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Maastricht Dominican Church Roof Timbers
#   Location: Netherlands
#   Northernmost_Latitude: 50.85
#   Southernmost_Latitude: 50.85
#   Easternmost_Longitude: 5.68
#   Westernmost_Longitude: 5.68
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: NETH015
#   First_Year: 1104
#   Last_Year: 1276
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MDK061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK151_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK151; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDK161_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDK161; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MDK061_raw	MDK071_raw	MDK081_raw	MDK091_raw	MDK101_raw	MDK111_raw	MDK121_raw	MDK131_raw	MDK151_raw	MDK161_raw
1104	1.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
1105	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
1106	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
1107	1.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
1108	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1109	1.56	NA	NA	NA	NA	NA	NA	NA	NA	NA
1110	1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA
1111	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
1112	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
1113	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
1114	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
1115	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA
1116	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
1117	0.98	NA	NA	NA	NA	NA	NA	NA	NA	NA
1118	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA
1119	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
1120	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
1121	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1122	1.49	NA	NA	NA	NA	NA	NA	NA	NA	NA
1123	1.48	NA	NA	NA	NA	NA	NA	NA	NA	NA
1124	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
1125	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
1126	0.96	NA	NA	NA	NA	NA	NA	NA	NA	NA
1127	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
1128	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
1129	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
1130	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA
1131	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
1132	0.65	1.43	NA	NA	NA	NA	NA	NA	NA	NA
1133	0.55	0.92	NA	NA	NA	NA	NA	NA	NA	NA
1134	0.67	1.58	NA	NA	NA	NA	NA	NA	NA	NA
1135	0.47	0.93	NA	NA	NA	NA	NA	NA	NA	NA
1136	0.39	0.81	NA	NA	NA	NA	NA	NA	NA	NA
1137	0.95	0.77	NA	NA	NA	NA	NA	NA	NA	NA
1138	1.26	1.18	NA	NA	NA	NA	NA	NA	NA	NA
1139	0.82	1.04	NA	NA	NA	NA	NA	NA	NA	NA
1140	1.29	2.19	NA	NA	NA	NA	NA	NA	NA	NA
1141	1.48	1.73	NA	NA	NA	NA	NA	NA	NA	NA
1142	1.07	1.3	NA	NA	NA	NA	NA	NA	NA	NA
1143	1.22	1.33	NA	NA	NA	NA	NA	NA	NA	NA
1144	1.04	0.98	NA	NA	NA	NA	NA	NA	NA	NA
1145	0.41	1.22	NA	NA	NA	NA	NA	NA	NA	NA
1146	0.7	2.5	NA	NA	NA	2.22	NA	NA	NA	NA
1147	1.13	2.01	NA	NA	NA	1.84	NA	NA	NA	NA
1148	1.02	1.31	NA	NA	NA	1.26	NA	NA	NA	NA
1149	1.36	1.83	NA	NA	NA	1.54	NA	NA	NA	NA
1150	1.05	1.25	NA	NA	NA	0.72	NA	NA	NA	NA
1151	1.24	1.45	NA	NA	NA	0.84	NA	NA	NA	NA
1152	1.25	1.19	NA	NA	NA	1.73	NA	NA	NA	NA
1153	1.13	1.98	NA	NA	NA	1.96	NA	NA	NA	NA
1154	0.79	1.48	NA	NA	NA	1.84	NA	NA	NA	NA
1155	0.9	1.48	NA	NA	NA	2.06	NA	NA	NA	NA
1156	0.82	1.34	NA	NA	NA	2.58	NA	NA	NA	NA
1157	0.68	1.44	NA	NA	NA	2.45	NA	NA	NA	NA
1158	0.68	1.48	NA	NA	NA	2.45	NA	NA	NA	NA
1159	0.58	1.35	NA	NA	NA	2.05	NA	2.49	NA	NA
1160	0.86	1.35	NA	NA	NA	1.97	NA	2.82	NA	NA
1161	0.57	1.46	NA	NA	NA	2.16	NA	2.69	NA	NA
1162	0.6	1.09	NA	NA	NA	2.1	NA	2.45	NA	NA
1163	0.58	0.84	NA	NA	NA	1.26	NA	1.77	NA	NA
1164	0.42	0.48	NA	NA	NA	0.6	0.98	0.71	NA	NA
1165	0.39	0.3	NA	NA	NA	0.74	0.91	0.72	NA	NA
1166	0.5	0.22	NA	NA	NA	0.63	0.94	0.62	NA	NA
1167	0.36	0.27	NA	NA	NA	0.5	0.97	0.52	NA	NA
1168	0.79	0.3	NA	NA	NA	1.1	1.83	1.23	NA	NA
1169	0.42	0.37	NA	NA	NA	1.27	2.7	2.1	NA	NA
1170	0.41	0.54	NA	NA	NA	0.89	2.12	1.36	NA	NA
1171	0.58	0.63	NA	NA	NA	1.08	2.82	1.95	NA	NA
1172	0.65	0.77	NA	NA	NA	1.25	2.77	1.89	3.34	NA
1173	0.68	0.96	NA	NA	NA	1.51	3.23	1.97	4.08	NA
1174	0.41	0.89	NA	NA	NA	1.67	2.69	2.1	2.89	NA
1175	0.49	0.7	NA	NA	NA	1.44	2.77	1.14	2.77	NA
1176	0.42	0.79	NA	NA	NA	1.33	2.52	1.37	2.28	NA
1177	0.48	0.44	NA	NA	NA	0.65	1.59	0.96	1.03	NA
