# Schweingruber - Creux du Dailley Mittel - PCAB - ITRDB SWIT135
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4395
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4395.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit135l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit135l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit135l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit135l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Creux du Dailley Mittel - PCAB - ITRDB SWIT135
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-08. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Creux du Dailley Mittel
#   Location: Switzerland
#   Northernmost_Latitude: 46.13
#   Southernmost_Latitude: 46.13
#   Easternmost_Longitude: 7.18
#   Westernmost_Longitude: 7.18
#   Elevation_m: 1200
#--------------------
# Data_Collection
#   Collection_Name: SWIT135
#   First_Year: 1837
#   Last_Year: 1979
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 589011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589092_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589102_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589102; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589132_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589132; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589141_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589141; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589142_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589151_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589151; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 589152_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 589152; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	589011_raw	589012_raw	589021_raw	589022_raw	589031_raw	589032_raw	589041_raw	589042_raw	589051_raw	589052_raw	589061_raw	589062_raw	589071_raw	589072_raw	589081_raw	589082_raw	589091_raw	589092_raw	589101_raw	589102_raw	589121_raw	589122_raw	589131_raw	589132_raw	589141_raw	589142_raw	589151_raw	589152_raw
1837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.54	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	0.47	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	0.29	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59	0.73	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	0.59	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	0.19	NA	NA	NA	NA	NA	NA	NA	NA	0.26	0.26	NA	NA
1850	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	0.22	NA	NA	NA	NA	NA	NA	NA	NA	0.13	0.18	NA	NA
1851	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	0.23	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0.56	NA	NA
1852	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	0.16	NA	NA	NA	NA	NA	NA	NA	NA	0.34	0.44	NA	NA
1853	NA	NA	NA	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	0.18	NA	NA	NA	NA	NA	NA	NA	NA	0.28	0.58	NA	NA
1854	NA	NA	NA	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29	0.23	NA	NA	NA	NA	NA	NA	NA	NA	0.37	0.44	NA	NA
1855	NA	NA	NA	0.35	0.36	NA	NA	NA	0.32	0.23	NA	NA	NA	NA	0.25	0.18	NA	NA	NA	NA	0.26	NA	NA	NA	0.29	0.29	NA	NA
1856	NA	NA	NA	0.5	0.44	0.3	NA	NA	0.35	0.16	NA	NA	NA	NA	0.22	0.2	NA	NA	NA	NA	0.24	NA	NA	NA	0.36	0.54	NA	NA
1857	NA	NA	NA	0.25	0.4	0.28	NA	NA	0.2	0.07	NA	NA	NA	NA	0.14	0.12	NA	NA	NA	NA	0.15	NA	NA	NA	0.18	0.3	NA	NA
1858	NA	NA	NA	0.28	0.54	0.31	NA	NA	0.35	0.17	NA	NA	NA	NA	0.25	0.22	NA	NA	NA	NA	0.14	NA	NA	NA	0.14	0.2	NA	NA
1859	NA	NA	NA	0.04	0.07	0.13	NA	NA	0.04	0.05	NA	NA	NA	NA	0.32	0.05	NA	NA	NA	NA	0.16	NA	NA	NA	0.2	0.32	NA	NA
1860	NA	NA	NA	0.28	0.48	0.18	NA	NA	0.24	0.13	0.3	NA	NA	NA	0.18	0.17	NA	NA	NA	NA	0.16	NA	NA	NA	0.2	0.3	NA	NA
1861	NA	NA	NA	0.49	0.32	0.17	NA	NA	0.29	0.21	0.24	NA	NA	NA	0.12	0.75	NA	NA	NA	NA	0.12	NA	NA	NA	0.41	0.77	NA	NA
1862	NA	NA	NA	0.44	0.56	0.44	NA	NA	0.28	0.2	0.27	NA	NA	NA	0.15	0.14	NA	NA	NA	NA	0.14	NA	NA	NA	0.35	0.69	NA	NA
1863	NA	NA	NA	0.38	0.37	0.24	NA	NA	0.32	0.15	0.17	NA	NA	NA	0.19	0.14	NA	NA	NA	NA	0.17	NA	0.18	0.16	0.31	0.48	NA	NA
1864	NA	NA	NA	0.46	0.56	0.32	NA	NA	0.18	0.19	0.27	NA	NA	NA	0.16	0.24	NA	0.84	NA	NA	0.18	NA	0.28	0.21	0.33	0.41	NA	NA
1865	NA	NA	NA	0.36	0.62	0.37	NA	NA	0.17	0.16	0.28	NA	NA	NA	0.12	0.15	NA	0.48	NA	NA	0.16	NA	0.38	0.12	0.16	0.22	NA	NA
1866	NA	NA	NA	0.59	0.73	0.38	NA	NA	0.22	0.26	0.46	0.62	NA	NA	0.22	0.24	NA	0.38	NA	NA	0.21	NA	0.33	0.21	0.48	0.54	NA	NA
1867	NA	NA	0.47	0.56	0.59	0.33	0.39	NA	0.33	0.26	0.26	0.34	NA	0.19	0.15	0.15	NA	0.3	NA	NA	0.18	NA	0.23	0.18	0.34	0.6	NA	NA
1868	NA	NA	0.38	0.44	0.63	0.5	0.33	NA	0.17	0.12	0.15	0.26	0.21	0.17	0.15	0.12	NA	0.28	NA	NA	0.21	NA	0.14	0.17	0.33	0.39	NA	NA
1869	NA	NA	0.45	0.7	0.64	0.61	0.48	NA	0.25	0.23	0.35	0.45	0.17	0.19	0.37	0.54	NA	0.3	NA	NA	0.19	NA	0.53	0.19	0.24	0.49	NA	NA
1870	NA	NA	0.6	0.51	0.47	0.8	0.37	NA	0.19	0.15	0.29	0.27	0.18	0.15	0.28	0.6	NA	0.24	NA	NA	0.16	NA	0.18	0.12	0.15	0.42	NA	NA
1871	NA	NA	0.87	0.48	0.61	0.37	0.37	NA	0.24	0.18	0.28	0.35	0.52	0.52	0.32	0.26	NA	0.31	NA	NA	0.36	NA	0.27	0.18	0.13	0.23	NA	NA
1872	NA	NA	0.65	0.85	0.78	0.41	0.82	NA	0.34	0.22	0.36	0.77	0.48	0.4	0.54	0.67	NA	0.34	NA	NA	0.4	NA	0.38	0.32	0.19	0.46	NA	NA
1873	NA	NA	0.64	0.97	0.61	0.46	0.76	NA	0.27	0.21	0.33	0.3	0.3	0.32	0.52	0.65	NA	0.46	NA	NA	0.33	NA	0.26	0.15	0.23	0.38	NA	NA
1874	NA	NA	0.7	1.29	0.56	0.87	0.58	1.53	0.26	0.22	0.34	0.53	0.32	0.32	0.48	0.76	NA	0.29	NA	NA	0.27	NA	0.19	0.11	0.13	0.19	NA	NA
1875	NA	0.53	0.39	0.73	0.5	0.3	0.99	1.11	0.25	0.25	0.32	0.45	0.4	0.42	0.34	0.49	NA	0.91	NA	NA	0.34	NA	0.19	0.13	0.25	0.67	NA	NA
1876	NA	0.22	0.67	1.32	0.62	0.48	0.64	0.92	0.38	0.24	0.46	0.66	0.3	0.32	0.33	0.97	NA	0.86	NA	NA	0.24	NA	0.24	0.14	0.32	0.57	NA	NA
1877	NA	0.3	0.53	0.44	0.7	0.53	0.66	0.93	0.52	0.39	0.36	0.53	0.26	0.29	0.35	0.41	0.67	0.39	0.39	NA	0.23	NA	0.23	0.2	0.29	0.5	0.42	NA
1878	NA	0.28	0.64	0.52	0.72	0.58	0.88	0.54	0.39	0.31	0.44	0.86	0.32	0.23	0.38	0.59	0.62	0.75	0.37	NA	0.18	0.25	0.28	0.26	0.38	0.51	0.28	NA
