# Schweingruber - Lindenwald BE,Fi.Vergl.P - PCAB - ITRDB SWIT157
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4508
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4508.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit157w-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swit157w-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swit157w.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swit157w.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-28
#--------------------
# Title
#   Study_Name: Schweingruber - Lindenwald BE,Fi.Vergl.P - PCAB - ITRDB SWIT157
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-09. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lindenwald BE,Fi.Vergl.P
#   Location: Switzerland
#   Northernmost_Latitude: 47.03
#   Southernmost_Latitude: 47.03
#   Easternmost_Longitude: 7.4
#   Westernmost_Longitude: 7.4
#   Elevation_m: 560
#--------------------
# Data_Collection
#   Collection_Name: SWIT157
#   First_Year: 1882
#   Last_Year: 1979
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 553311_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553311; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553312_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553312; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553321_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553321; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553322_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553322; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553331_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553331; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553332_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553332; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553341_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553341; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553342_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553342; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553351_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553351; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553352_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553352; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553361_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553361; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553362_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553362; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553371_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553371; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553372_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553372; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553381_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553381; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553382_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553382; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553391_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553391; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553392_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553392; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553401_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553401; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553402_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553402; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553411_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553411; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553412_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553412; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553421_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553421; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553422_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553422; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553431_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553431; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553432_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553432; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553441_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553441; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 553442_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 553442; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	553311_raw	553312_raw	553321_raw	553322_raw	553331_raw	553332_raw	553341_raw	553342_raw	553351_raw	553352_raw	553361_raw	553362_raw	553371_raw	553372_raw	553381_raw	553382_raw	553391_raw	553392_raw	553401_raw	553402_raw	553411_raw	553412_raw	553421_raw	553422_raw	553431_raw	553432_raw	553441_raw	553442_raw
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.19	5.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.36	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.07	4.12	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.82	6.03	2.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.42	6.13	2.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.79	6.33	3.29	4.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.89	4.66	3.22	4.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.68	3.84	3.28	4.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.91
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.82	4.05	3.24	3.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.98
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.14	2.5	2.4	3.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.44
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	2.33	2.22	2.91	NA	NA	NA	NA	NA	NA	NA	NA	2.19	1.94
1894	NA	NA	NA	NA	NA	NA	NA	5.27	NA	NA	NA	NA	NA	NA	3.65	2.52	2.47	2.99	NA	NA	NA	NA	NA	NA	2.25	NA	2.07	2.43
1895	NA	NA	NA	NA	NA	NA	5.91	4.82	NA	NA	NA	NA	NA	5.86	3.25	2.84	2.81	3.2	NA	NA	NA	4.96	NA	NA	2.02	NA	1.56	2.54
1896	NA	NA	NA	NA	NA	NA	4.69	4.37	4.51	5.41	NA	NA	NA	5.22	3.22	3.01	3.09	2.86	NA	NA	NA	4.35	NA	NA	2.26	NA	1.78	2.55
1897	NA	NA	NA	NA	NA	NA	4.67	3.78	4.69	4.27	NA	NA	NA	5.11	3.37	3.22	3.08	2.89	NA	NA	NA	5.14	NA	NA	2.57	NA	2.17	2.79
1898	NA	NA	NA	NA	NA	NA	3.56	4.15	3.86	3.29	NA	NA	NA	4.74	2.58	2.99	3.61	3.5	NA	NA	NA	4.38	NA	NA	2.01	NA	2.83	3.38
1899	NA	NA	NA	NA	NA	3.09	2.98	2.78	2.91	1.99	NA	NA	5.12	3.82	2.17	2.14	2.43	2.11	3.53	NA	NA	3.24	NA	NA	2	NA	2.3	2.57
1900	NA	NA	NA	NA	3.44	3.31	3.01	3.36	3.37	1.94	NA	NA	4.62	3.59	1.96	2.13	3.05	2.7	3.5	5.1	NA	3.25	NA	NA	1.94	NA	1.96	2.06
1901	NA	NA	NA	NA	3.96	2.92	2.38	3.61	3.79	2.55	NA	2.62	4.39	3.77	1.92	2.74	3.09	2.69	4.55	4.94	NA	3.79	NA	NA	2.13	2.87	2.26	2.34
1902	NA	NA	NA	NA	4.63	3.6	2.87	3.24	3.27	1.53	NA	4.06	4.42	4.06	2.37	2.83	3.64	2.69	3.33	4.61	NA	3.17	NA	NA	2.89	3.25	2.18	2.48
1903	NA	NA	NA	NA	4.66	3.07	3.37	3.4	4.15	2.62	NA	3.74	4.68	3.39	3.1	2.53	3.71	3.47	3.85	5.75	NA	3.55	NA	NA	2.75	3.88	3	3.03
1904	NA	5.28	NA	NA	2.63	2.37	2.3	2.22	3.24	2.06	3.27	3.41	3.73	2.41	2.09	2.22	2.72	3	3.62	4.07	3.39	1.94	NA	NA	2.78	3.28	2.6	2.74
1905	NA	5.83	NA	NA	1.88	2.45	2.25	2.12	2.89	1.66	4.34	4.07	4.39	3.44	2.24	2.5	2.85	2.57	3.9	3.98	3.26	2.06	NA	NA	2.36	2.79	2.2	2.58
1906	6.35	4.95	NA	NA	2.1	1.59	2.48	2.17	2.33	1.55	3.42	3.46	4.05	3.56	2.38	2.12	2.38	2.65	3.54	3.62	2.3	3.27	NA	NA	2.34	2.77	2.19	2.4
1907	4.15	3.92	4.25	NA	1.79	1.5	2.05	1.74	2.39	1.68	3.25	3.08	4.55	3.66	3.02	1.95	2.37	2.32	3.49	3.19	3.33	3.31	NA	NA	2.16	2.33	2.29	2.61
1908	3.49	3.8	3.54	6.33	1.27	1.27	1.87	2.53	1.87	1.61	2.68	2.82	4.16	3.23	2.32	1.99	2.56	2.23	3.8	4.01	2.54	3	NA	NA	3.08	3.06	2.19	2.44
1909	3.95	4.54	4.04	5.92	2.57	2.2	2.97	3.08	3.02	1.88	2.74	2.96	3.8	3.06	1.13	3.29	2.86	2.24	4.36	4.56	3	3	NA	NA	3.4	2.92	2.14	2.85
1910	4.09	5.29	4.25	5.12	3.6	2.14	3.7	4.41	4.76	3.89	3.21	3.18	4.14	3.34	2.76	3.28	2.96	3.15	4.87	4.81	3.14	3.86	NA	NA	4.75	3.86	2.22	3.6
1911	3	3.57	2.97	2.65	3.13	1.38	3.31	3.31	3.91	3.48	2.36	2.3	2.56	2.06	1.92	2.35	2.73	2.87	3.23	3.3	2.44	2.32	NA	NA	3.23	3.02	2.02	2.43
1912	2.89	3.62	3.87	3.08	3.4	1.99	4.46	4.97	4.09	3.93	3.39	2.62	3.98	3.24	2.56	2.85	2.99	3.2	4.18	3.91	3.59	3.18	NA	NA	3.39	3.1	2.29	2.21
1913	2.35	3.06	2.87	2.71	2.39	1.25	3.79	3.69	3.96	3.11	2.4	2.86	3.27	1.46	1.93	2.27	3.27	2.56	4.18	3.89	2.81	3.01	NA	NA	2.56	2.7	1.89	1.55
1914	3.03	3.69	2.61	4.21	2.48	2.23	3.45	3.89	2.98	3.06	3.36	3.5	2.25	0.98	1.93	2.37	2.7	2.76	4.44	3.85	2.48	1.92	NA	NA	3.32	3.75	1.93	1.48
1915	3.17	3.97	3.88	4.66	1.93	4.55	2.96	4.25	3.58	3.56	5.07	3.1	1.28	1.81	2.82	2.93	3.08	3.6	4.44	3.46	2.29	2.52	NA	NA	4.41	4.32	2.13	1.32
1916	3.01	3.46	3.65	3.92	3.06	4.14	4.64	3.72	3.34	3.31	5.35	2.39	1.43	2.51	3.05	3.12	3.14	4.05	4	3.56	2.53	2.82	NA	NA	4.12	3.73	2.56	2.14
1917	1.76	2.1	2.47	3.34	2.19	2.43	3.19	3.55	2.45	2.81	3.89	2	1.44	1.66	2.01	2.59	2.21	2.9	3.58	3.15	2.36	2.3	NA	NA	3.4	2.91	2.06	1.94
1918	1.56	2.33	1.85	2.74	2.47	1.54	3.55	3.47	2.75	4.15	3.9	1.9	1.67	1.45	2.08	2.87	3.03	3.12	3.16	2.74	2.21	2.07	NA	NA	3.02	2.92	2.27	2.03
1919	1.83	2.52	2.58	3.26	1.87	1.19	3.33	3.39	2.03	3.39	3.27	1.66	1.85	1.23	2.03	2.47	2.53	2.63	3.23	2.51	2.12	2.07	NA	NA	3.35	2.78	1.58	1.55
1920	1.16	1.51	2.29	2.84	1.83	1.23	2.51	3.18	1.15	1.61	2.49	2.07	1.37	0.9	1.47	1.56	1.77	2.31	3.66	1.85	1.76	1.56	NA	1.15	3.27	2.25	1.61	1.53
1921	1.41	1.66	1.93	2.72	1.77	1.12	2.12	2.37	1.38	1.52	2.06	2.15	1.44	0.8	1.11	1.48	1.82	2.28	2.21	1.79	1.42	1.34	NA	1.35	2.22	2.25	1.19	1.23
