# Touchan - Gokteppe - PINI - ITRDB TUR072
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/39352
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-39352.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/tur072-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/tur072.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tur072.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2024-04-08
#--------------------
# File_Last_Modified_Date
#   Date: 2024-04-08
#--------------------
# Title
#   Study_Name: Touchan - Gokteppe - PINI - ITRDB TUR072
#--------------------
# Investigators
#   Investigators: Touchan, Ramzi
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Touchan, Ramzi; Kevin J Anchukaitis; Vladimir V Shishov; Fatih Sivrikaya; Jihad Attieh; Muzaffer Ketmen; Jean Stephan; Ioannis Mitsopoulos; Andreas Christou; David M Meko
#   Published_Date_or_Year: 2014
#   Published_Title: Spatial patterns of eastern Mediterranean climate influence on tree growth
#   Journal_Name: The Holocene
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1177/0959683613518594
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Gokteppe
#   Location: Turkey
#   Northernmost_Latitude: 37.78
#   Southernmost_Latitude: 37.78
#   Easternmost_Longitude: 28.95
#   Westernmost_Longitude: 28.95
#   Elevation_m: 1400
#--------------------
# Data_Collection
#   Collection_Name: TUR072
#   First_Year: 1873
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus nigra J.F. Arnold
#   Common_Name: Austrian pine
#   Tree_Species_Code: PINI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GOK01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK12B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK13B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK13B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK15B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK17B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK17B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK19B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK19B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GOK20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GOK20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GOK01A_raw	GOK01B_raw	GOK02A_raw	GOK02B_raw	GOK03A_raw	GOK03B_raw	GOK04A_raw	GOK04B_raw	GOK05A_raw	GOK05B_raw	GOK06A_raw	GOK06B_raw	GOK07A_raw	GOK07B_raw	GOK08A_raw	GOK08B_raw	GOK09A_raw	GOK09B_raw	GOK10A_raw	GOK10B_raw	GOK11A_raw	GOK11B_raw	GOK12A_raw	GOK12B_raw	GOK13A_raw	GOK13B_raw	GOK14A_raw	GOK14B_raw	GOK15A_raw	GOK15B_raw	GOK16A_raw	GOK16B_raw	GOK17A_raw	GOK17B_raw	GOK18A_raw	GOK18B_raw	GOK19A_raw	GOK19B_raw	GOK20A_raw	GOK20B_raw
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79	2.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65	1.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.52	2.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.09	3.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1882	NA	4.98	NA	NA	NA	NA	NA	NA	NA	NA	4.43	3.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1883	NA	5.18	NA	NA	NA	NA	NA	NA	NA	NA	4.99	4.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1884	6.31	5.97	NA	NA	NA	NA	NA	NA	NA	NA	5.67	5.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1885	6.03	5.21	NA	NA	NA	NA	NA	NA	NA	NA	5.18	4.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1886	5.53	6.72	NA	NA	NA	NA	NA	NA	NA	NA	4.26	4.61	NA	NA	NA	NA	4.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1887	5.26	5.91	NA	NA	NA	NA	NA	NA	NA	NA	2.33	2.09	NA	NA	NA	NA	4.51	5.11	NA	NA	NA	NA	NA	NA	NA	NA	4.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1888	6.51	6.76	NA	NA	NA	NA	NA	NA	NA	NA	5.7	5.06	NA	NA	NA	NA	3.9	4.77	NA	NA	NA	NA	NA	NA	NA	NA	3.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.01
1889	7.15	6.98	NA	NA	NA	NA	NA	NA	NA	NA	5.52	5.48	NA	NA	NA	NA	5.01	5.81	NA	NA	NA	NA	NA	2.87	NA	NA	4.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.64
1890	3.41	4.99	NA	NA	NA	NA	NA	NA	NA	NA	2.25	2.18	NA	NA	NA	NA	2.15	2.59	NA	NA	NA	NA	NA	3.03	NA	NA	2.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9	3.5
1891	4.7	6.02	NA	NA	NA	NA	NA	NA	NA	NA	4.43	4.79	NA	NA	NA	NA	3.67	4.5	NA	NA	NA	NA	NA	4.34	NA	NA	3.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.77	2.53
1892	5.27	5.12	NA	NA	NA	NA	NA	NA	NA	NA	3.95	5.53	NA	NA	NA	NA	2.53	2.61	NA	NA	NA	NA	NA	4.1	2.4	NA	5.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	3.19
1893	3.97	3.81	NA	NA	NA	NA	NA	NA	NA	NA	2.68	3.38	NA	NA	NA	NA	1.71	2.28	NA	NA	NA	NA	NA	3.91	2.39	NA	4.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.99	2.25
1894	4.4	4.2	NA	NA	NA	NA	NA	NA	NA	NA	2.64	3.4	NA	NA	NA	NA	2.19	1.99	NA	NA	NA	NA	NA	4.33	2.12	NA	4.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.68	1.56
1895	3.72	4.06	NA	NA	NA	NA	NA	NA	NA	NA	2.35	2.71	NA	NA	NA	NA	1.66	1.39	NA	NA	NA	NA	NA	3.86	4.02	NA	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52	1.32
1896	4.1	3.9	NA	NA	NA	NA	NA	NA	NA	NA	2.37	3.44	NA	NA	NA	NA	2.69	2.88	NA	NA	NA	NA	NA	4.38	4.76	NA	4.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.57	2.4
1897	3.38	4.19	NA	NA	NA	NA	3.56	NA	5.6	NA	3.72	4.79	NA	NA	NA	NA	2.91	3.77	NA	NA	NA	NA	NA	3.76	4.76	NA	5.3	9.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55	1.68	2.36
1898	4.47	5.35	NA	NA	6.83	NA	3.56	NA	5.57	6.97	3.47	3.46	NA	NA	NA	NA	1.97	2.93	NA	NA	NA	NA	NA	3.42	3.77	NA	5.05	2.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77	1.52	1.18
1899	3.35	3.52	NA	NA	6.67	NA	4.65	NA	3.82	4.95	2.32	3.4	NA	NA	NA	7.05	2.5	2.6	NA	NA	NA	NA	NA	3.23	3.08	NA	5.13	3.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39	1.89	1.56
1900	6.68	6.61	NA	NA	8.01	NA	4.45	NA	8.19	7.88	4.34	3.65	NA	NA	NA	3.98	2.31	4.02	NA	NA	NA	NA	NA	5.33	3.74	NA	5.52	6.19	NA	NA	NA	7	NA	NA	3.12	NA	NA	3.31	1.52	1.37
1901	5.02	5.18	NA	NA	6.88	NA	2.83	NA	7.46	6.8	4.33	4.68	NA	NA	NA	5.08	2.32	3.98	NA	NA	NA	NA	4.17	4.91	4.35	NA	5.97	5.49	NA	NA	NA	6.54	NA	NA	3.14	NA	2.96	2.98	1.58	1.92
1902	4.72	4.16	NA	NA	5.05	NA	3.35	NA	6.77	6.75	3.31	3.86	NA	NA	NA	5.6	2.58	2	NA	NA	NA	NA	4.43	4.47	3.82	NA	5.29	2.33	NA	NA	NA	6.18	NA	NA	2.75	NA	2.61	3.06	1.8	1.64
1903	4.59	3.21	NA	NA	3.93	NA	3.2	NA	5.63	5.42	3.14	3.31	NA	NA	NA	5.28	2.82	2.33	NA	NA	NA	NA	3.2	4.03	3.38	NA	4.72	2.64	NA	NA	10.34	6.66	NA	NA	3.33	NA	2.92	2.46	2.11	1.48
1904	3.5	3.98	NA	NA	4.04	NA	2.86	NA	4.55	4.33	2.69	3.16	NA	NA	NA	5.37	3.06	1.97	NA	NA	NA	NA	2.9	3.1	2.84	5.3	5.98	2.97	NA	NA	6.44	5.54	3.57	NA	3.63	NA	3.38	3.7	2.67	1.18
1905	4.5	2.77	NA	NA	3.93	NA	4.75	NA	5.39	4.16	3.05	3.28	NA	NA	NA	5.5	2.66	2.09	NA	NA	NA	NA	2.48	3.79	2.91	3.38	6.21	3.78	NA	NA	6.12	5.6	4.95	NA	3.19	NA	3.24	3.08	1.78	1.2
1906	4.45	4.47	NA	NA	4.73	NA	4.3	NA	5.69	3.78	3.9	3.29	NA	NA	NA	5.19	3.25	2.02	NA	NA	NA	NA	2.97	3.93	3.62	3.52	7.03	2.74	NA	NA	6.81	6.86	5.76	5.41	5.3	6.6	2.89	4.51	3.1	2.15
1907	4.08	2.33	NA	4.52	3.38	NA	3.63	NA	4.87	3.1	3.05	2.82	NA	3.57	NA	3.95	1.77	1.13	NA	NA	NA	NA	2.99	2.62	2.37	2.92	4.29	1.85	NA	NA	7.4	6.19	4.92	4.51	3.24	4.97	3.01	2.56	1.99	1.92
1908	3.7	3.04	NA	3.96	2.43	NA	2.99	NA	3.69	3.17	2.98	2.54	NA	3.13	NA	3.06	1.83	1.36	NA	NA	NA	NA	2.42	2.44	2.31	2.53	3.6	2.68	NA	NA	5.83	5.39	5.63	4.47	2.51	4.77	3.7	2.54	1.93	1.77
1909	3.59	2.19	NA	3.49	2.27	NA	2.46	NA	4.38	2.85	2.74	2.59	NA	4.15	NA	3.38	1.62	1.44	NA	NA	NA	1.69	2.17	2.26	1.59	2.52	4.17	1.84	NA	NA	5.42	4.11	5.78	4.71	2.15	3.18	2.85	1.95	1.93	1.28
1910	4.34	3.12	NA	4.76	4.28	NA	3.33	NA	5.48	3.86	2.35	3.97	NA	4.99	NA	5.07	2.23	2.28	NA	NA	NA	4.13	3.24	3.39	2.75	4.17	4.85	1.68	NA	NA	6.51	5.04	6.93	4.98	4.87	9.04	4.38	3.45	3.35	2.99
1911	3.18	2.92	NA	3.33	3.32	NA	2.09	NA	4.68	3	3.08	3.1	NA	3.82	NA	4.43	1.89	1.79	NA	NA	NA	3.58	2.76	1.9	2.6	3.02	4.43	2.81	NA	NA	5.73	4.25	5.96	3.45	2.36	3.15	4.21	2.98	2.43	2.42
1912	2.09	1.48	NA	3.55	3.34	NA	2.26	NA	3.93	2.25	2.02	2.54	NA	4.92	NA	3.6	1.45	1.41	NA	NA	NA	2.65	2.91	2.2	1.97	3.07	2.85	2.49	NA	NA	4.01	3.34	6.09	4.38	2.48	3.34	3.15	2.8	1.84	2.26
