# Schweingruber - Fort Simpson McKenzie River Terrace - PCGL - ITRDB CANA048
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4416
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4416.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana048x-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana048x-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana048x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana048x.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-30
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-30
#--------------------
# Title
#   Study_Name: Schweingruber - Fort Simpson McKenzie River Terrace - PCGL - ITRDB CANA048
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Fort Simpson McKenzie River Terrace
#   Location: Northwest Territories
#   Northernmost_Latitude: 61.68
#   Southernmost_Latitude: 61.68
#   Easternmost_Longitude: -120.72
#   Westernmost_Longitude: -120.72
#   Elevation_m: 375
#--------------------
# Data_Collection
#   Collection_Name: CANA048
#   First_Year: 1821
#   Last_Year: 1988
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  maximum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 806211_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806211; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806212_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806212; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806221_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806221; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806222_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806222; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806231_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806231; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806232_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806232; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806241_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806241; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806242_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806242; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806261_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806261; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806262_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806262; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806271_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806271; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806272_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806272; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806281_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806281; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806282_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806282; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806301_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806301; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806302_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806302; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806311_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806311; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806312_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806312; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806321_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806321; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806322_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806322; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806331_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806331; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 806332_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 806332; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	806211_raw	806212_raw	806221_raw	806222_raw	806231_raw	806232_raw	806241_raw	806242_raw	806261_raw	806262_raw	806271_raw	806272_raw	806281_raw	806282_raw	806301_raw	806302_raw	806311_raw	806312_raw	806321_raw	806322_raw	806331_raw	806332_raw
1821	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1828	0.74	NA	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1829	0.75	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1830	0.74	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1831	0.71	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1832	0.78	NA	0.68	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1833	0.79	NA	0.64	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1834	0.71	NA	0.69	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1835	0.81	NA	0.65	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1836	0.8	NA	0.68	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	0.85	0.75	0.8	NA	NA	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	0.77	0.75	0.79	NA	NA	0.71	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	0.86	0.82	0.78	NA	NA	0.69	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	0.87	0.85	0.74	NA	NA	0.68	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	0.83	0.86	0.83	NA	NA	0.7	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	0.86	0.75	0.84	NA	NA	0.75	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	0.86	0.78	0.78	NA	0.58	0.65	NA	NA	NA	NA	NA	NA	0.64	0.54	NA	NA	NA	NA	NA	NA	NA	NA
1844	0.88	0.83	0.84	NA	0.57	0.66	NA	NA	NA	NA	NA	NA	0.74	0.64	NA	NA	NA	NA	NA	NA	NA	NA
1845	0.75	0.69	0.84	NA	0.59	0.63	NA	NA	NA	NA	NA	NA	0.66	0.6	NA	NA	NA	NA	NA	NA	NA	NA
1846	0.81	0.75	0.83	0.65	0.6	0.68	NA	NA	NA	NA	NA	NA	0.68	0.63	NA	NA	NA	NA	NA	NA	NA	NA
1847	0.81	0.77	0.8	0.69	0.64	0.67	NA	NA	NA	NA	NA	NA	0.68	0.57	0.63	0.73	NA	NA	NA	NA	NA	NA
1848	0.78	0.78	0.78	0.68	0.63	0.67	NA	NA	NA	NA	NA	NA	0.61	0.63	0.63	0.72	NA	NA	NA	NA	NA	NA
1849	0.88	0.82	0.76	0.65	0.67	0.73	NA	NA	NA	NA	NA	NA	0.63	0.65	0.73	0.89	NA	NA	NA	NA	NA	NA
1850	0.75	0.73	0.76	0.61	0.56	0.68	NA	NA	NA	NA	NA	NA	0.73	0.73	0.72	0.79	NA	NA	NA	NA	NA	NA
1851	0.79	0.78	0.81	0.74	0.68	0.75	NA	0.67	NA	NA	NA	NA	0.62	0.58	0.72	0.83	NA	NA	NA	NA	NA	NA
1852	0.81	0.8	0.77	0.68	0.76	0.78	NA	0.7	NA	NA	NA	NA	0.72	0.67	0.7	0.77	NA	NA	NA	NA	NA	NA
1853	0.71	0.8	0.83	0.75	0.79	0.72	NA	0.68	NA	NA	NA	NA	0.73	0.76	0.69	0.66	NA	NA	NA	NA	NA	NA
1854	0.68	0.71	0.79	0.7	0.7	0.72	NA	0.7	NA	NA	NA	NA	0.69	0.75	0.69	0.72	NA	NA	NA	NA	NA	NA
1855	0.71	0.76	0.86	0.74	0.66	0.74	NA	0.67	NA	NA	NA	NA	0.68	0.7	0.72	0.69	NA	NA	NA	NA	NA	NA
1856	0.75	0.75	0.93	0.89	0.75	0.77	NA	0.7	0.62	NA	NA	NA	0.78	0.73	0.66	0.74	NA	NA	NA	NA	NA	NA
1857	0.78	0.74	0.82	0.79	0.68	0.74	NA	0.69	0.6	NA	NA	NA	0.66	0.74	0.67	0.68	NA	NA	NA	NA	NA	NA
1858	0.73	0.72	0.9	0.85	0.74	0.74	NA	0.67	0.59	NA	NA	NA	0.73	0.71	0.73	0.68	NA	NA	NA	NA	NA	NA
1859	0.76	0.78	0.81	0.78	0.69	0.81	NA	0.68	0.65	NA	NA	NA	0.77	0.75	0.66	0.69	NA	NA	NA	NA	NA	NA
1860	0.81	0.9	0.94	0.82	0.8	0.84	NA	0.69	0.68	NA	NA	NA	0.81	0.79	0.81	0.74	NA	NA	NA	NA	NA	NA
1861	0.86	0.81	0.88	0.79	0.81	0.85	NA	0.7	0.69	NA	NA	NA	0.8	0.81	0.76	0.72	NA	NA	NA	NA	NA	NA
1862	0.81	0.85	0.95	0.83	0.82	0.86	NA	0.72	0.69	NA	NA	NA	0.82	0.82	0.8	0.79	NA	NA	NA	NA	NA	NA
1863	0.76	0.75	0.86	0.78	0.71	0.82	NA	0.69	0.64	NA	NA	NA	0.7	0.74	0.73	0.73	NA	NA	NA	NA	NA	NA
1864	0.75	0.73	0.93	0.78	0.83	0.82	0.62	0.69	0.64	NA	NA	NA	0.76	0.77	0.76	0.74	NA	NA	NA	NA	NA	NA
1865	0.76	0.7	0.94	0.86	0.83	0.89	0.64	0.67	0.62	NA	NA	NA	0.71	0.8	0.79	0.71	NA	NA	NA	NA	NA	NA
1866	0.82	0.81	0.97	0.8	0.87	0.84	0.62	0.67	0.58	NA	NA	NA	0.7	0.8	0.78	0.71	0.56	NA	NA	NA	NA	NA
1867	0.83	0.81	0.95	0.83	0.79	0.85	0.63	0.67	0.62	NA	0.6	NA	0.72	0.79	0.84	0.79	0.66	NA	NA	NA	NA	NA
