# Schweingruber - Yasinski Lake (Trocken) - PCMA - ITRDB CANA080
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4743
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4743.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana080t-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana080t-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana080t.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana080t.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-30
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-30
#--------------------
# Title
#   Study_Name: Schweingruber - Yasinski Lake (Trocken) - PCMA - ITRDB CANA080
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yasinski Lake (Trocken)
#   Location: Quebec
#   Northernmost_Latitude: 53.23
#   Southernmost_Latitude: 53.23
#   Easternmost_Longitude: -77.67
#   Westernmost_Longitude: -77.67
#   Elevation_m: 137
#--------------------
# Data_Collection
#   Collection_Name: CANA080
#   First_Year: 1861
#   Last_Year: 1988
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood density
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea mariana (Mill.) Britton, Sterns, & Poggenb.
#   Common_Name: black spruce
#   Tree_Species_Code: PCMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 843211_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843211; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843212_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843212; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843241_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843241; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843242_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843242; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843251_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843251; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843252_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843252; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843261_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843261; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843262_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843262; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843271_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843271; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843272_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843272; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843291_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843291; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843292_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843292; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843301_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843301; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843302_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843302; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843311_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843311; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843312_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843312; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843361_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843361; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843362_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843362; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843371_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843371; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843372_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843372; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843381_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843381; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 843382_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 843382; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	843211_raw	843212_raw	843241_raw	843242_raw	843251_raw	843252_raw	843261_raw	843262_raw	843271_raw	843272_raw	843291_raw	843292_raw	843301_raw	843302_raw	843311_raw	843312_raw	843361_raw	843362_raw	843371_raw	843372_raw	843381_raw	843382_raw
1861	NA	NA	NA	NA	NA	NA	NA	9.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1862	NA	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA	NA	NA
1863	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA	NA	0.35	0.01	NA	NA	NA	NA	NA	NA	NA	NA
1864	NA	NA	NA	NA	NA	NA	NA	1.27	NA	NA	NA	NA	1.15	0.66	NA	NA	NA	NA	NA	NA	NA	NA
1865	NA	NA	NA	NA	NA	NA	NA	0.43	NA	NA	NA	NA	1.52	0.79	NA	NA	NA	NA	NA	NA	NA	NA
1866	NA	NA	NA	NA	NA	NA	NA	1.75	NA	NA	NA	NA	1.5	0.46	NA	NA	NA	NA	NA	NA	NA	NA
1867	NA	NA	NA	NA	NA	NA	9.29	0.26	NA	NA	NA	NA	1.47	1.15	NA	NA	NA	NA	NA	NA	NA	NA
1868	NA	NA	NA	NA	NA	NA	9.45	2.37	NA	NA	NA	NA	1.29	0.53	NA	NA	NA	NA	0.45	NA	NA	NA
1869	NA	NA	8.64	NA	NA	NA	8.5	2.67	NA	NA	NA	NA	0.74	0.16	NA	NA	NA	NA	9.56	9.12	NA	NA
1870	NA	NA	8.7	NA	NA	NA	9.85	1.97	NA	NA	NA	NA	1.82	1.06	NA	2.12	NA	NA	1.74	2	NA	NA
1871	NA	NA	8.95	NA	NA	NA	8.69	1.28	NA	NA	NA	NA	0.59	9.57	NA	0.14	8.88	NA	0.34	0.46	NA	NA
1872	NA	NA	9.9	NA	NA	NA	0.41	1.63	NA	NA	NA	NA	1.52	0.82	NA	2.02	8.78	NA	1.06	3.03	NA	NA
1873	NA	NA	8.92	NA	NA	NA	9.84	2.54	NA	NA	NA	NA	1.5	0.69	NA	1.59	8.78	0.32	1.17	1.89	NA	NA
1874	NA	NA	9.07	NA	NA	NA	9.7	1.97	NA	NA	NA	NA	1.83	0.05	NA	2.59	8.41	0.72	1.23	2.17	NA	NA
1875	NA	NA	8.7	NA	NA	NA	9.71	1.82	NA	NA	NA	NA	1.17	9.79	NA	0.73	7.76	0.26	0.78	1.67	NA	NA
1876	NA	NA	9.76	NA	NA	NA	9.86	1.83	NA	NA	NA	NA	1.66	0.5	NA	2.52	8.56	0	1.37	2.46	NA	NA
1877	NA	NA	0.15	NA	NA	NA	9.35	2.59	NA	NA	NA	NA	2	1.11	NA	2.2	8.15	0	1.95	3.3	NA	NA
1878	NA	NA	9.85	NA	NA	NA	8.71	3.11	NA	NA	9.43	NA	2.19	0.61	NA	1.92	9.13	0	1.46	3	NA	NA
1879	NA	NA	9.33	NA	NA	NA	8.5	2.34	NA	NA	9.54	8.57	2.22	9.78	NA	2.31	9.11	0	1.9	2.59	NA	NA
1880	NA	NA	9.35	NA	NA	NA	0.13	2.73	NA	NA	9.65	8.09	1.75	0.51	NA	2.49	8.82	0.25	1.06	1.3	NA	NA
1881	NA	NA	9.74	9.79	NA	NA	9.64	2.93	NA	NA	9.85	8.57	2.69	1.57	NA	2.28	9.08	0.62	2.14	2.26	NA	NA
1882	NA	NA	9.66	9.85	NA	NA	9.48	2.3	NA	NA	9.22	8.73	2.35	9.91	NA	2.06	9.02	1.2	1.57	1.99	NA	NA
1883	NA	NA	9.48	8.32	NA	NA	8.64	0.79	NA	NA	8.93	8.58	9.66	9.13	NA	1.41	8.81	0.12	0.56	0.57	9.88	NA
1884	NA	NA	9.55	0.22	NA	NA	8.05	2.3	9.47	NA	9.46	0.59	0.34	9.95	NA	0.85	9.61	0.96	0.27	1.22	1.28	1.55
1885	NA	NA	8.97	9.14	NA	9.33	8.38	0.95	9.97	NA	8.83	9.42	9.29	9.11	NA	0.1	9.62	0.24	0.5	1.26	0.53	0.73
1886	NA	NA	0.21	0.4	NA	0.5	9.63	2.51	0.44	NA	9.94	0.1	0.35	0	NA	1.97	9.24	0.63	0.91	2.01	1.33	1.21
1887	NA	NA	0.23	0.91	NA	9.85	9.57	2.43	0.68	NA	9.67	0.46	1.45	0.49	NA	2.2	9.45	1.65	1.44	2.01	1.55	1.55
1888	NA	NA	9.03	9.36	NA	1.15	8.17	1.21	0.39	NA	9.38	9.72	0.36	9.76	NA	9.83	0.38	0.83	9.8	0.21	0.98	1.04
1889	NA	NA	9.5	0.33	NA	9.74	8.93	2.54	0.03	0.81	9.5	0.27	0.41	0.17	NA	1.65	1.01	0.61	1.04	1.54	0.86	1.67
1890	NA	NA	8.69	9.64	NA	1.03	7.71	1.2	9.26	1.57	9.03	9.14	9.64	9.67	NA	1.16	1.19	9.95	1.11	0.05	1.85	1.42
1891	NA	NA	8.55	9.3	7.46	1.34	8.75	1.88	0.13	0.28	8.26	9.15	9.42	9.42	NA	1.13	0.74	0.46	9.93	1	1.1	1.47
1892	NA	NA	9.59	0.03	8.84	0.49	9.68	2.32	0.14	1.7	9.46	0.08	9.61	0.34	NA	2.08	0.6	1.54	0.82	1.33	2.49	2.26
1893	NA	NA	9.02	1.11	8.55	0.85	9.52	2.87	0.65	0.43	8.99	9.32	0.95	0.5	NA	2.04	0.57	1.24	1.53	1.74	1.5	1.85
1894	NA	NA	8.53	9.08	8.73	0.36	9.69	0.93	0.55	0.52	9.68	8.79	0.24	9.32	NA	1.61	0.27	1.27	0.88	0.82	1.74	1.24
1895	NA	NA	0	0.17	9.05	9.8	1.47	0.48	0.52	9.64	8.61	9.56	1.05	0.45	NA	2.18	9.67	1.81	1.46	1.65	1.69	1.82
1896	NA	NA	0	9.84	8.96	0.48	9.55	0.08	1.22	0.33	9.69	0	0.65	0.01	NA	2.18	0.94	0.93	0.98	0.95	1.29	1.9
1897	NA	NA	8.75	9.56	8.63	9.91	8.18	0.47	1.11	0.33	9.83	0.63	0.84	0.72	0.08	1.51	0.83	1.97	1.86	1.57	2.33	2.85
1898	NA	NA	0.39	0.68	9.2	0.42	9.22	0.86	1.97	0.75	0.02	0.86	0.39	0.74	1.33	2.39	9.72	1.94	2.22	1.79	2.21	2.47
1899	NA	NA	0.22	0.31	7.92	9.76	0.46	1.05	1.03	0.74	9.65	1.07	1.41	1.18	1.64	1.98	9.97	1.36	2.26	1.4	1.44	2.17
1900	NA	NA	9.58	9.15	7.55	0.86	8.69	0.89	0.67	0.03	9.24	0.56	0.48	0	1.94	2.28	0.34	1.27	1.44	1.43	0.58	0.93
1901	NA	NA	0.79	9.57	9.04	0.12	9.6	9.4	1.05	9.35	9.05	1.31	0.59	8.95	2.05	1.77	9.94	2.14	2.08	1.49	1.22	1.88
1902	9.77	1.08	9.54	9.67	9.53	0.49	8.95	0.84	0.88	9.21	9.38	0.84	1.25	0.52	0.18	1.87	9.97	0.84	1.92	1.25	1.18	1.28
1903	9.13	0.33	9.56	8.97	9.02	0.56	7.96	9.97	0.25	9.08	9.23	0.2	0.12	9.37	0.05	0.78	9.5	9.82	1.15	0.16	9.97	1.25
1904	0.32	0.3	9.86	0.24	0.2	9.29	7.43	9.55	0.69	9.74	9.76	1.33	1.03	9.56	1.13	1.51	0.55	1.75	2.04	0.94	2.03	1.27
