# Schweingruber - Campbell Dolomite Upland B - PCGL - ITRDB CANA173
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4363
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4363.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana173e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana173e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana173e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana173e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-29
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-29
#--------------------
# Title
#   Study_Name: Schweingruber - Campbell Dolomite Upland B - PCGL - ITRDB CANA173
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Campbell Dolomite Upland B
#   Location: Yukon Territory
#   Northernmost_Latitude: 68.27
#   Southernmost_Latitude: 68.27
#   Easternmost_Longitude: -133.33
#   Westernmost_Longitude: -133.33
#   Elevation_m: 120
#--------------------
# Data_Collection
#   Collection_Name: CANA173
#   First_Year: 1466
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 118009_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118011_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118013_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118013; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118015_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118015; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118019_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118019; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118034_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118034; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118106_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118106; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118109_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118109; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118127_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118127; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118187_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118187; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 118189_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: 118189; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	118009_raw	118011_raw	118013_raw	118015_raw	118019_raw	118034_raw	118106_raw	118109_raw	118127_raw	118187_raw	118189_raw
1466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22
1467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17
1468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16
1469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22
1470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14
1471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28
1472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3
1473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22
1474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16
1475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18
1477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12
1479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08
1484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08
1485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07
1486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04
1488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07
1492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12
1493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14
1501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14
1503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21
1511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04
1514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17
1515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14
1516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16
1517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12
1519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11
1521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15
1522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09
1523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14
1524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
1525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08
1526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12
1527	NA	NA	NA	NA	NA	0.2	NA	NA	NA	NA	0.14
1528	NA	NA	NA	NA	NA	0.2	NA	NA	NA	NA	0.1
1529	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	0.13
1530	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	0.17
1531	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	0.1
1532	NA	NA	NA	NA	NA	0.18	NA	NA	NA	NA	0.15
1533	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	0.11
1534	NA	NA	NA	NA	NA	0.11	NA	NA	NA	NA	0.19
1535	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	0.14
1536	NA	NA	NA	NA	NA	0.12	NA	NA	NA	NA	0.23
1537	NA	NA	NA	NA	NA	0.11	NA	NA	NA	NA	0.11
