# Campbell - Nelson House - PIBN - ITRDB CANA7
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2926
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2926.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7rw-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana7rw-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7rw.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana7rw.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Nelson House - PIBN - ITRDB CANA7
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nelson House
#   Location: Manitoba
#   Northernmost_Latitude: 55.93
#   Southernmost_Latitude: 55.93
#   Easternmost_Longitude: -98.63
#   Westernmost_Longitude: -98.63
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA7
#   First_Year: 1939
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NOJ104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ104C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ121C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ121C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ168C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ168C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ088C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ088C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ148B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ148B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 0TF141C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 0TF141C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ073C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ073C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ139C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ139C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ045C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ045C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NOJ104C_raw	NOJ121C_raw	NOJ168C_raw	NOJ088C_raw	NOJ148B_raw	0TF141C_raw	NOJ073C_raw	NOJ139C_raw	NOJ045C_raw
1938	NA	NA	14.62	NA	NA	42.71	NA	NA	NA
1939	NA	28.38	21.15	NA	33.25	38.12	NA	NA	NA
1940	NA	18.99	24.51	26.03	19.23	31.53	NA	29.77	NA
1941	13.15	31.38	32.02	21.76	29.04	44.1	NA	26.71	NA
1942	12.35	21.79	25.49	24.61	30.24	24.94	NA	27.32	NA
1943	17.33	19.99	25.3	20.74	24.04	22.35	20.56	22.84	NA
1944	22.11	23.19	36.96	19.52	30.04	20.55	15.32	27.32	NA
1945	15.14	15.99	26.88	12.61	23.03	16.76	18.14	21.21	NA
1946	15.94	18.39	28.46	11.79	16.82	16.56	14.51	19.58	NA
1947	16.73	14.79	26.48	9.76	12.82	15.17	11.09	15.91	NA
1948	10.36	8.99	22.33	10.57	9.21	11.77	9.88	14.68	NA
1949	16.34	15.59	26.88	13.42	14.82	16.76	8.26	19.58	NA
1950	11.95	15.59	25.69	10.98	8.01	16.56	12.9	16.31	NA
1951	10.76	12.79	19.57	6.91	6.81	16.56	10.88	14.27	NA
1952	8.96	10.39	17.59	5.69	7.61	12.77	8.26	11.62	NA
1953	11.16	8.8	15.02	5.29	6.01	14.77	8.67	12.03	NA
1954	9.56	10.19	16.6	4.88	4.41	11.57	8.06	11.01	NA
1955	12.75	12.59	18.18	6.1	6.81	10.38	7.86	12.64	7.34
1956	9.56	8.99	17.79	4.68	4.41	7.98	8.87	11.42	14.79
1957	12.35	11.99	20.36	6.51	6.81	11.18	4.64	13.46	14.67
1958	12.15	9.98	16.6	6.51	7.61	11.57	6.85	14.68	13.27
1959	14.34	8.8	17.19	6.1	6.01	9.18	3.83	15.91	11.18
1960	11.75	8	15.02	4.07	6.01	10.78	3.02	14.48	7.45
1961	8.57	6.4	15.42	4.47	7.81	10.38	2.82	12.23	8.5
1962	7.37	8.4	15.42	3.46	9.81	11.18	3.63	9.38	7.45
1963	8.37	10.99	16.21	4.88	10.01	12.57	3.63	13.87	6.64
1964	7.17	8.99	14.82	4.07	10.82	9.38	5.24	12.64	5.82
1965	13.15	8.6	17.98	6.71	12.42	12.57	5.24	12.23	5.01
1966	7.17	5.6	18.18	7.32	14.42	10.58	6.25	10.2	5.01
1967	5.58	8	15.42	5.29	11.62	7.78	4.23	9.79	4.77
1968	4.38	6	13.44	5.29	14.42	8.58	3.43	10.2	3.14
1969	3.59	6	9.88	5.49	9.21	7.78	4.64	10.6	4.89
1970	5.98	7.2	11.07	4.88	9.21	7.58	3.83	8.97	4.42
1971	9.16	7.6	11.86	4.27	11.62	8.38	4.43	9.38	3.84
1972	7.97	6.4	12.65	4.68	12.02	8.38	4.84	10.6	2.79
1973	4.38	3.6	7.91	2.64	7.21	6.39	5.04	7.14	3.14
1974	4.78	5.2	8.3	3.25	10.01	6.39	4.43	6.53	3.73
1975	5.98	6.4	10.67	3.66	11.82	6.98	4.64	5.71	4.31
1976	4.78	7.6	12.65	4.27	12.82	8.58	5.64	6.32	3.26
1977	6.97	8.4	11.46	2.85	11.62	6.19	6.05	6.73	3.96
1978	7.17	8.4	9.88	3.66	8.01	9.78	7.05	7.75	3.03
1979	3.59	3.2	7.91	2.24	7.01	4.99	6.85	4.28	2.33
1980	3.59	1	9.09	2.03	5.61	2.39	3.02	2.45	2.1
1981	3.98	1.4	7.11	0.81	5.41	2.2	1.61	1.63	2.21
1982	4.38	2.4	6.72	1.42	7.41	4.19	1.21	2.85	2.1
1983	3.98	3.2	10.28	1.42	7.21	3.99	1.41	4.08	1.98
1984	7.57	4.4	11.46	2.44	10.82	7.18	2.22	5.3	0.35
1985	2.79	6.4	10.87	3.66	5.21	6.39	3.22	6.12	0.58
1986	2.79	6.4	5.53	2.24	2.2	3.99	4.43	3.06	0.82
1987	5.18	4.4	7.11	3.25	4.21	4.39	3.22	4.69	1.05
1988	7.57	4	7.31	3.05	7.81	6.78	3.43	5.3	0.82
1989	9.96	6.2	9.29	3.05	9.01	7.18	4.64	8.36	0.58
1990	5.98	4.8	4.74	1.63	6.01	4.99	4.64	6.53	1.05
1991	7.57	6	5.93	2.64	5.41	6.59	4.84	6.93	0.47
1992	12.35	6.4	6.72	3.05	8.61	7.58	5.24	6.93	0.35
1993	11.16	7.6	8.89	4.27	7.21	10.58	7.46	10.2	0.35
1994	7.97	9.19	4.35	2.44	7.61	6.78	6.05	8.97	0.23
