# Stahle - Cerro Potosi - PSME - ITRDB MEXI024
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4827
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4827.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/mexi024e-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/mexi024e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mexi024e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Cerro Potosi - PSME - ITRDB MEXI024
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Therrell, M.D.; Cleaveland, M.K.; Paull, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cerro Potosi
#   Location: Mexico
#   Northernmost_Latitude: 24.83
#   Southernmost_Latitude: 24.83
#   Easternmost_Longitude: -100.07
#   Westernmost_Longitude: -100.07
#   Elevation_m: 2500
#--------------------
# Data_Collection
#   Collection_Name: MEXI024
#   First_Year: 1845
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## POT06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT18C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT18C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT24A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT24A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT24B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT24B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT24C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT24C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT27A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT27A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT27B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT27B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT28A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT28A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT28B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT28B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT29A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT29A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT29B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT29B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT32B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT32B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT32C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT32C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT39A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT39A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT42A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT42A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT53A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT53A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## POT53B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: POT53B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	POT06A_raw	POT06B_raw	POT08A_raw	POT08B_raw	POT09A_raw	POT09B_raw	POT10A_raw	POT16A_raw	POT16B_raw	POT18A_raw	POT18B_raw	POT18C_raw	POT20A_raw	POT20B_raw	POT24A_raw	POT24B_raw	POT24C_raw	POT27A_raw	POT27B_raw	POT28A_raw	POT28B_raw	POT29A_raw	POT29B_raw	POT32A_raw	POT32B_raw	POT32C_raw	POT39A_raw	POT42A_raw	POT53A_raw	POT53B_raw
1845	NA	NA	NA	NA	NA	NA	2.306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	1.319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	2.058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	2.398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	1.112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	2.169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	0.909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	2.194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	0.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	1.038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	1.292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	NA	NA	1.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1857	NA	NA	NA	NA	NA	NA	0.471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	NA	NA	NA	1.473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1859	0.941	NA	NA	0.254	NA	NA	1.596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1860	1.11	NA	NA	0.742	NA	NA	1.354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1861	1.753	NA	NA	1.047	NA	NA	2.051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.717	0.839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1862	1.308	NA	NA	0.388	NA	NA	0.465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.524	2.732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1863	1.809	NA	NA	0.881	NA	NA	1.243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.531	2.342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1864	0.678	NA	NA	0.581	1.75	1.866	1.132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.395	0.595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1865	1.966	NA	NA	1.142	2.7	3.558	2.274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.568	1.184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1866	1.325	NA	NA	0.758	0.583	1.16	0.818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.838	2.725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1867	1.557	NA	NA	0.068	0.974	1.873	1.534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.283	0.844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1868	0.364	NA	NA	0.144	0.226	0.263	0.169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.574	1.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1869	2.236	NA	NA	0.783	1.48	2.345	1.787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.416	1.199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1870	1.428	NA	NA	0.272	1.145	1.437	0.142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.809	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1871	0.885	NA	NA	0.527	0.18	1.027	0.557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.823	1.294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1872	0.436	NA	NA	0.086	0.299	0.515	0.659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1873	0.716	NA	NA	0.241	0.565	0.991	0.332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08	0.043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1874	0.533	NA	NA	0.55	1.166	1.603	0.112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.522	0.292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1875	0.368	NA	NA	0.023	0.57	0.508	0.256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.091	0.245	NA	NA	NA	NA	NA	NA	NA	NA	0.414	NA	NA
1876	1.261	NA	NA	0.319	0.619	0.889	0.193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.191	0.211	NA	NA	NA	NA	NA	NA	NA	NA	0.557	NA	NA
1877	0.737	0.538	NA	0.674	0.944	0.971	0.539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.453	0.558	NA	NA	NA	NA	NA	NA	NA	NA	1.282	NA	NA
1878	0.715	0.624	NA	1.289	1.248	1.473	0.944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.344	0.618	NA	NA	NA	NA	NA	NA	NA	NA	1.487	NA	NA
1879	0.487	0.347	NA	0.673	0.35	0.15	0.363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.416	1.236	NA	NA	NA	NA	NA	NA	NA	NA	0.839	NA	NA
1880	0.416	0.366	NA	0.279	0.465	0.368	1.061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.298	0.729	NA	NA	NA	NA	NA	NA	NA	NA	1.586	NA	NA
1881	1.166	0.819	NA	0.607	1.692	1.432	1.668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.741	1.528	NA	NA	NA	NA	NA	NA	NA	NA	1.354	NA	NA
1882	1.02	1.005	NA	0.505	0.807	0.7	1.002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.244	1.031	NA	NA	NA	NA	NA	NA	NA	NA	1.917	NA	NA
1883	1.125	1.414	NA	1.42	0.791	0.791	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.697	1.734	NA	NA	NA	NA	NA	NA	NA	NA	1.285	NA	NA
1884	1.645	2.001	NA	0.789	0.594	0.559	0.749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.535	1.097	NA	NA	NA	NA	NA	NA	NA	NA	0.864	NA	NA
1885	1.877	1.31	NA	1.663	1.313	1.437	1.416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.751	1.397	NA	NA	NA	NA	NA	NA	NA	NA	2.892	NA	NA
1886	2.706	2.382	1.149	1.189	1.246	0.558	0.532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.359	1.23	NA	NA	NA	NA	NA	NA	NA	NA	0.892	NA	NA
1887	1.541	1.748	1.585	1.037	0.7	0.828	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.616	0.986	NA	NA	NA	NA	NA	NA	NA	NA	0.638	NA	NA
1888	0.53	0.42	1.316	1.115	1.104	1.15	1.632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.592	0.617	NA	NA	NA	NA	NA	NA	NA	NA	1.479	NA	NA
1889	0.8	0.892	1.094	1.304	0.649	0.843	1.321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.929	1.001	NA	NA	NA	NA	NA	NA	NA	NA	2.07	NA	NA
