# Kaiser - Yakutat Gravel Pit Outer Moraine - TSHE - ITRDB AK147
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16483
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16483.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak147-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak147-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak147.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak147.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Gravel Pit Outer Moraine - TSHE - ITRDB AK147
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Gravel Pit Outer Moraine
#   Location: Alaska
#   Northernmost_Latitude: 59.5353
#   Southernmost_Latitude: 59.5353
#   Easternmost_Longitude: -139.2919
#   Westernmost_Longitude: -139.2919
#   Elevation_m: 57
#--------------------
# Data_Collection
#   Collection_Name: AK147
#   First_Year: 1749
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Tsuga heterophylla (Raf.) Sarg.
#   Common_Name: western hemlock
#   Tree_Species_Code: TSHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GRAV0040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0060_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0060; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0070_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0090_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0090; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GRAV0040_raw	GRAV0050_raw	GRAV0060_raw	GRAV0070_raw	GRAV0090_raw
1749	NA	NA	NA	0.37	NA
1750	NA	NA	NA	0.21	NA
1751	NA	NA	NA	0.15	NA
1752	NA	NA	NA	0.11	NA
1753	NA	NA	NA	0.34	NA
1754	NA	NA	NA	0.13	NA
1755	NA	NA	NA	0.12	NA
1756	NA	NA	NA	0.33	NA
1757	NA	NA	0.39	0.48	NA
1758	NA	NA	0.14	0.63	NA
1759	NA	NA	0.12	0.06	NA
1760	NA	NA	0.07	0.06	NA
1761	NA	NA	0.18	0.07	NA
1762	NA	NA	0.33	0.07	NA
1763	NA	NA	0.53	0.13	NA
1764	1.7	NA	0.63	0.35	NA
1765	1.63	NA	0.68	0.66	NA
1766	2.07	NA	0.5	0.54	NA
1767	1.57	NA	0.69	0.69	NA
1768	1.51	NA	0.69	0.94	NA
1769	1.19	NA	0.62	0.5	NA
1770	0.89	NA	0.31	0.77	NA
1771	0.88	NA	0.22	0.16	NA
1772	1.27	NA	0.18	0.05	NA
1773	1.19	NA	0.29	0.04	NA
1774	0.87	NA	0.45	0.13	NA
1775	0.52	0.74	0.39	0.53	NA
1776	0.44	0.92	0.49	0.97	NA
1777	0.5	0.5	0.38	0.24	NA
1778	0.59	0.77	0.42	0.21	NA
1779	1.51	0.74	0.46	0.2	NA
1780	2.11	1.33	0.69	0.38	NA
1781	1.32	1.31	0.59	0.9	NA
1782	1.32	1.26	0.64	0.67	NA
1783	0.95	0.55	0.53	0.34	NA
1784	1.12	0.89	0.41	0.2	NA
1785	0.94	0.67	0.35	0.19	NA
1786	1.14	0.6	0.84	0.44	NA
1787	1.33	0.55	0.58	0.31	NA
1788	1.67	1.09	0.63	0.35	NA
1789	2.27	0.95	0.53	0.43	NA
1790	1.95	0.94	0.99	0.96	NA
1791	1.81	0.99	0.77	1.17	NA
1792	2.34	1.32	0.4	0.72	NA
1793	2.23	1	0.62	1.28	NA
1794	2.04	0.83	0.7	1.04	NA
1795	1.7	1.21	0.96	0.69	NA
1796	1.09	1.18	0.9	0.86	NA
1797	0.96	1.23	1.15	0.71	1.83
1798	0.73	1.31	0.69	0.52	1.05
1799	0.76	1.1	0.42	0.46	1.12
1800	0.82	0.85	0.13	0.35	0.54
1801	0.85	0.74	0.13	0.33	0.91
1802	0.81	0.36	0.14	0.33	0.86
1803	0.68	0.28	0.13	0.26	0.62
1804	0.74	0.13	0.18	0.15	0.54
1805	0.95	0.12	0.11	0.12	0.71
1806	0.9	0.16	0.09	0.1	0.76
1807	0.99	0.08	0.28	0.21	0.91
1808	1.2	0.07	0.31	0.24	0.97
1809	1.19	0.15	0.34	0.26	0.81
1810	0.97	0.19	0.3	0.43	0.87
1811	0.66	0.29	0.21	0.37	0.64
1812	0.34	0.27	0.19	0.37	0.68
1813	0.31	0.32	0.06	0.27	0.53
1814	0.55	0.24	0.39	0.18	1.49
1815	1.07	0.14	0.57	0.1	1.52
1816	1.15	0.31	0.59	0.11	1.33
1817	1.07	0.42	0.42	0.11	1.08
1818	0.94	0.46	0.44	0.11	1.08
1819	1.16	0.39	0.49	0.05	0.98
1820	1.15	0.64	0.47	0.1	0.98
1821	1.09	0.64	0.5	0.11	1.09
1822	1.02	0.73	0.47	0.18	1.29
1823	0.96	0.98	0.1	0.18	0.79
1824	0.73	0.37	0.14	0.11	0.7
1825	0.85	0.24	0.4	0.06	1.23
1826	1	0.41	0.25	0.11	1.11
1827	0.82	0.44	0.55	0.25	1.2
1828	1.05	0.61	0.87	0.34	1.35
1829	1.41	0.95	1.03	0.55	1.43
1830	1.26	1.26	0.82	0.68	1.06
1831	0.9	1.28	0.76	0.61	1.06
1832	0.95	1.36	0.54	0.53	1.08
1833	1.4	1.34	0.93	0.6	1.47
1834	1.32	1.61	0.82	0.75	1.04
1835	1.26	1.5	0.61	0.74	0.79
1836	1.21	1.19	0.67	0.6	0.91
1837	0.98	1.2	0.77	0.56	1.12
1838	0.9	1.41	0.61	0.78	0.87
1839	0.78	0.74	0.54	0.58	0.78
1840	0.62	0.62	0.42	0.36	0.71
1841	0.85	0.61	0.55	0.47	0.85
1842	0.85	0.88	0.52	0.47	0.78
1843	0.88	0.93	0.54	0.49	0.86
1844	1	1.05	0.66	0.66	1
1845	1.05	1.17	0.85	0.86	1.33
1846	1.21	1.36	0.86	1.14	1.53
1847	1.27	1.56	0.78	1.25	1.26
1848	1.32	1.27	0.66	0.97	1.22
