# Schulman - Wagon Wheel Gap - PSME - ITRDB CO502
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4298
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4298.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co502-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; co502-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co502.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/co502.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Schulman - Wagon Wheel Gap - PSME - ITRDB CO502
#--------------------
# Investigators
#   Investigators: Schulman, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Wagon Wheel Gap
#   Location: Colorado
#   Northernmost_Latitude: 37.8
#   Southernmost_Latitude: 37.8
#   Easternmost_Longitude: -106.83
#   Westernmost_Longitude: -106.83
#   Elevation_m: 2743
#--------------------
# Data_Collection
#   Collection_Name: CO502
#   First_Year: 1452
#   Last_Year: 1940
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 426011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 426011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 426031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 426031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 426041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 426041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 426051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 426051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 426081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 426081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	426011_raw	426031_raw	426041_raw	426051_raw	426081_raw
1452	NA	NA	NA	0.69	NA
1453	NA	NA	NA	0.86	NA
1454	NA	NA	NA	0.28	NA
1455	NA	NA	NA	0.19	NA
1456	NA	NA	NA	0.33	NA
1457	NA	NA	NA	0.06	NA
1458	NA	NA	NA	0.79	NA
1459	NA	NA	NA	0.55	NA
1460	NA	NA	NA	0.25	NA
1461	NA	NA	NA	0.37	NA
1462	NA	NA	NA	0.66	NA
1463	NA	NA	NA	0.31	NA
1464	NA	NA	NA	0.48	NA
1465	NA	NA	NA	0.13	NA
1466	NA	NA	NA	0.71	NA
1467	NA	NA	NA	0.73	NA
1468	NA	NA	NA	0.1	NA
1469	NA	NA	NA	0.2	NA
1470	NA	NA	NA	0.37	NA
1471	NA	NA	NA	0.03	NA
1472	NA	NA	NA	0.15	NA
1473	NA	NA	NA	0.04	NA
1474	NA	NA	NA	0.19	NA
1475	NA	NA	NA	0.42	NA
1476	NA	NA	NA	0.4	NA
1477	NA	NA	NA	0.59	NA
1478	NA	NA	NA	0	NA
1479	NA	NA	NA	0.26	NA
1480	NA	NA	NA	0.07	NA
1481	NA	NA	NA	0.2	NA
1482	NA	NA	NA	0.36	NA
1483	NA	NA	NA	0.29	NA
1484	NA	NA	NA	0.69	NA
1485	NA	NA	NA	0.63	NA
1486	NA	NA	NA	0.13	NA
1487	NA	NA	NA	0.16	NA
1488	NA	NA	NA	0.76	NA
1489	NA	NA	NA	0.75	NA
1490	NA	NA	NA	0.54	NA
1491	NA	NA	NA	1.06	NA
1492	NA	NA	NA	0.81	NA
1493	NA	NA	NA	0.51	NA
1494	NA	NA	NA	0.75	NA
1495	NA	NA	NA	0.04	NA
1496	NA	NA	NA	0.13	NA
1497	NA	NA	NA	0.33	NA
1498	NA	NA	NA	0.94	NA
1499	NA	NA	NA	0.66	NA
1500	NA	NA	NA	0.12	NA
1501	NA	NA	NA	0.41	NA
1502	NA	NA	NA	0.51	NA
1503	NA	NA	NA	0.54	NA
1504	NA	NA	NA	0.29	NA
1505	NA	NA	NA	0.6	NA
1506	NA	NA	NA	0	NA
1507	NA	NA	NA	0.42	NA
1508	NA	NA	NA	0.21	NA
1509	NA	NA	NA	0.5	NA
1510	NA	NA	NA	0.11	NA
1511	NA	NA	NA	0.55	NA
1512	NA	NA	NA	0.49	NA
1513	NA	NA	NA	0.68	NA
1514	NA	NA	NA	1.01	NA
1515	NA	NA	NA	0.81	NA
1516	NA	NA	NA	0.46	NA
1517	NA	NA	NA	0.23	NA
1518	NA	NA	NA	0.33	NA
1519	NA	NA	NA	0.72	NA
1520	NA	NA	NA	0.93	NA
1521	NA	NA	NA	0.99	NA
1522	NA	NA	NA	0.06	NA
1523	NA	NA	NA	0.38	NA
1524	NA	NA	NA	0.57	NA
1525	NA	NA	NA	0.46	NA
1526	NA	NA	NA	1.02	NA
1527	NA	NA	NA	0.95	NA
1528	NA	NA	NA	0.47	NA
1529	NA	NA	NA	1.24	NA
1530	NA	NA	NA	0.97	NA
1531	NA	0.61	NA	0.26	NA
1532	NA	0.64	NA	0.33	NA
1533	NA	0.63	NA	0.22	NA
1534	NA	0.43	NA	0.2	NA
1535	NA	0.51	NA	0.11	NA
1536	NA	1.35	NA	0.76	NA
1537	NA	1.16	NA	0.59	NA
1538	NA	0.73	NA	0.21	NA
1539	NA	0.74	NA	0.27	NA
1540	NA	1.25	NA	0.6	NA
1541	NA	1.25	NA	0.62	NA
1542	NA	0.41	NA	0.11	NA
1543	NA	0.84	NA	0.65	NA
1544	NA	0.47	NA	0.31	NA
1545	NA	0.14	NA	0.06	NA
1546	NA	0.33	NA	0.25	NA
1547	NA	0.4	NA	0.31	NA
1548	NA	0.56	NA	0.41	NA
1549	NA	0.4	NA	0.32	NA
1550	NA	0.53	NA	0.71	NA
1551	NA	0.18	NA	0.28	NA
1552	NA	0.28	NA	0.32	NA
1553	NA	0.24	NA	0.41	NA
1554	NA	0.31	NA	0.43	NA
1555	NA	0.17	NA	0.42	NA
1556	NA	0.54	NA	0.58	NA
1557	NA	0.8	NA	0.61	NA
1558	NA	0.15	NA	0.09	NA
1559	NA	0.52	NA	0.36	NA
1560	NA	0.25	NA	0.09	NA
1561	NA	0.27	NA	0.19	NA
1562	NA	0.45	NA	0.3	NA
