# Ferguson - Ketchum East Warm Springs - PSME - ITRDB ID004
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3236
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3236.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/id004-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; id004-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/id004.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/id004.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Ferguson - Ketchum East Warm Springs - PSME - ITRDB ID004
#--------------------
# Investigators
#   Investigators: Ferguson, C.W.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ketchum East Warm Springs
#   Location: Idaho
#   Northernmost_Latitude: 43.67
#   Southernmost_Latitude: 43.67
#   Easternmost_Longitude: -114.33
#   Westernmost_Longitude: -114.33
#   Elevation_m: 1829
#--------------------
# Data_Collection
#   Collection_Name: ID004
#   First_Year: 1521
#   Last_Year: 1965
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 015011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	015011_raw	015012_raw	015021_raw	015022_raw	015031_raw	015032_raw	015041_raw	015051_raw
1521	NA	NA	NA	NA	NA	NA	0.32	NA
1522	NA	NA	NA	NA	NA	NA	0.31	NA
1523	NA	NA	NA	NA	NA	NA	0.36	NA
1524	NA	NA	NA	NA	NA	NA	0.45	NA
1525	NA	NA	NA	NA	NA	NA	0.64	NA
1526	NA	NA	NA	NA	NA	NA	0.61	NA
1527	NA	NA	NA	NA	NA	NA	0.49	NA
1528	NA	NA	NA	NA	NA	NA	0.58	NA
1529	NA	NA	NA	NA	NA	NA	0.06	NA
1530	NA	NA	NA	NA	NA	NA	0.65	NA
1531	NA	NA	NA	NA	NA	NA	0.61	NA
1532	NA	NA	NA	NA	NA	NA	0.36	NA
1533	NA	NA	NA	NA	NA	NA	0.32	NA
1534	NA	NA	NA	NA	NA	NA	0.49	NA
1535	NA	NA	NA	NA	NA	NA	0.69	NA
1536	NA	NA	NA	NA	NA	NA	0.65	NA
1537	NA	NA	NA	NA	NA	NA	0.71	NA
1538	NA	NA	NA	NA	NA	NA	0.92	NA
1539	NA	NA	NA	NA	NA	NA	0.82	NA
1540	NA	NA	NA	NA	NA	NA	0.57	NA
1541	NA	NA	NA	NA	NA	NA	0.47	NA
1542	NA	NA	NA	NA	NA	NA	0.67	NA
1543	NA	NA	NA	NA	NA	NA	0.64	NA
1544	NA	NA	NA	NA	NA	NA	0.86	NA
1545	NA	NA	NA	NA	NA	NA	0.75	NA
1546	NA	NA	NA	NA	NA	NA	1.08	NA
1547	NA	NA	NA	NA	NA	NA	1.22	NA
1548	NA	NA	NA	NA	NA	NA	1.28	NA
1549	NA	NA	NA	NA	NA	NA	1.51	NA
1550	NA	NA	NA	NA	NA	NA	1.51	NA
1551	NA	NA	NA	NA	NA	NA	1.2	NA
1552	NA	NA	NA	NA	NA	NA	1.52	NA
1553	NA	NA	NA	NA	NA	NA	0.91	NA
1554	NA	NA	NA	NA	NA	NA	0.49	NA
1555	NA	NA	NA	NA	NA	NA	0.73	NA
1556	NA	NA	NA	NA	NA	NA	0.83	NA
1557	NA	NA	NA	NA	NA	NA	1.38	NA
1558	NA	NA	NA	NA	NA	NA	1.03	NA
1559	NA	NA	NA	NA	NA	NA	1.05	NA
1560	NA	NA	NA	NA	NA	NA	1.04	NA
1561	NA	NA	NA	NA	NA	NA	1.03	NA
1562	NA	NA	NA	NA	NA	NA	0.91	NA
1563	NA	NA	NA	NA	NA	NA	0.79	NA
1564	NA	NA	NA	NA	NA	NA	1.47	NA
1565	NA	NA	NA	NA	NA	NA	0.79	NA
1566	NA	NA	NA	NA	NA	NA	0.96	NA
1567	NA	NA	NA	NA	NA	NA	0.7	NA
1568	NA	NA	NA	NA	NA	NA	0.97	NA
1569	NA	NA	NA	NA	NA	NA	0.98	NA
1570	NA	NA	NA	NA	NA	NA	0.71	NA
1571	NA	NA	NA	NA	NA	NA	0.29	NA
1572	NA	NA	NA	NA	NA	NA	0.7	NA
1573	NA	NA	NA	NA	NA	NA	0.67	NA
1574	NA	NA	NA	NA	NA	NA	0.95	NA
1575	NA	NA	NA	NA	NA	NA	1.18	NA
1576	NA	NA	NA	NA	NA	NA	0.86	NA
1577	NA	NA	NA	NA	NA	NA	1.19	NA
1578	NA	NA	NA	NA	NA	NA	0.73	NA
1579	NA	NA	NA	NA	NA	NA	0.89	NA
1580	NA	NA	NA	NA	NA	NA	0.41	NA
1581	NA	NA	NA	NA	NA	NA	0.5	NA
1582	NA	NA	NA	NA	NA	NA	0.76	NA
1583	NA	NA	NA	NA	NA	NA	0.97	NA
1584	NA	NA	NA	NA	NA	NA	0.55	NA
1585	NA	NA	NA	NA	NA	NA	0.64	NA
1586	NA	NA	NA	NA	NA	NA	0.81	NA
1587	NA	NA	NA	NA	NA	NA	0.78	NA
1588	NA	NA	NA	NA	NA	NA	0.44	NA
1589	NA	NA	NA	NA	NA	NA	0.65	NA
1590	NA	NA	NA	NA	NA	NA	0.51	NA
1591	NA	NA	NA	NA	NA	NA	0.75	NA
1592	NA	NA	NA	NA	NA	NA	0.99	NA
1593	NA	NA	NA	NA	NA	NA	0.57	NA
1594	NA	NA	NA	NA	NA	NA	0.79	NA
1595	NA	NA	NA	NA	NA	NA	0.37	NA
1596	NA	NA	NA	NA	NA	NA	1.18	NA
1597	NA	NA	NA	NA	NA	NA	1.18	NA
1598	NA	NA	NA	NA	NA	NA	0.77	NA
1599	NA	NA	NA	NA	NA	NA	1.29	NA
1600	NA	NA	NA	NA	NA	NA	0.56	NA
1601	NA	NA	NA	NA	NA	NA	0.94	NA
1602	NA	NA	NA	NA	NA	NA	0.69	NA
1603	NA	NA	NA	NA	NA	NA	0.67	NA
1604	NA	NA	NA	NA	NA	NA	1.02	NA
1605	NA	NA	NA	NA	NA	NA	0.91	NA
1606	NA	NA	NA	NA	NA	NA	1.3	NA
