# Wyse - Platte Plains - PIST - ITRDB MI015
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5358
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5358.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi015-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi015-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi015.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi015.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-25
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-25
#--------------------
# Title
#   Study_Name: Wyse - Platte Plains - PIST - ITRDB MI015
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Platte Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.72
#   Southernmost_Latitude: 44.72
#   Easternmost_Longitude: -86.08
#   Westernmost_Longitude: -86.08
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI015
#   First_Year: 1912
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus strobus L.
#   Common_Name: eastern white pine
#   Tree_Species_Code: PIST
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 36-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 36-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 13-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 13-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 19-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 19-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 28-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 28-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 5-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 5-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 10-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 10-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 26-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 26-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 12-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 12-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 1-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 2-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 2-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 32-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 32-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 12-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 12-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 34-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 34-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 6-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 6-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 33-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 33-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 9-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 9-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 7-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 7-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 14-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 14-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 28-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 28-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 6-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 6-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 8-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 8-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	36-1_raw	13-3_raw	19-3_raw	28-1_raw	5-1_raw	10-4_raw	26-3_raw	12-4_raw	1-4_raw	2-1_raw	32-3_raw	12-1_raw	34-2_raw	6-4_raw	33-1_raw	9-2_raw	7-2_raw	14-4_raw	28-3_raw	6-2_raw	8-1_raw
1912	NA	1.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1913	NA	2.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1914	NA	1.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1915	NA	1.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1916	NA	1.92	NA	NA	NA	NA	NA	NA	NA	NA	0.64	NA	NA	NA	NA	0.36	NA	NA	NA	NA	NA
1917	NA	1.97	NA	NA	NA	NA	NA	NA	NA	NA	0.37	NA	NA	NA	0.39	0.18	NA	NA	NA	NA	NA
1918	NA	2.28	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	0.69	0.23	NA	NA	NA	NA	NA
1919	NA	2.16	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	NA	0.68	0.37	NA	NA	NA	NA	NA
1920	0.59	2.87	NA	NA	NA	NA	NA	NA	NA	NA	0.2	NA	NA	NA	0.59	0.53	NA	NA	NA	NA	NA
1921	0.75	2.37	NA	NA	NA	NA	NA	NA	NA	NA	0.31	NA	NA	NA	0.67	0.29	NA	NA	NA	NA	NA
1922	0.67	3.14	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	NA	NA	1.01	0.53	NA	NA	0.3	NA	NA
1923	1.11	3.51	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	NA	1.03	0.4	NA	NA	0.45	NA	NA
1924	1.24	3.44	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	1.35	0.56	NA	NA	0.25	NA	NA
1925	1.07	3.7	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	0.84	0.4	NA	NA	0.16	NA	NA
1926	1.14	3.05	NA	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA	NA	1.41	0.27	NA	NA	0.23	NA	NA
1927	2.18	3.6	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	NA	0.95	0.49	NA	NA	0.29	NA	NA
1928	1.99	3.81	NA	NA	NA	1.86	NA	NA	NA	NA	1.01	NA	NA	NA	0.68	0.35	NA	NA	0.57	0.67	NA
1929	1.95	5.07	NA	NA	NA	2.16	0.76	NA	NA	NA	1.67	NA	NA	NA	0.57	0.44	NA	NA	0.52	0.41	NA
1930	1.63	3.3	NA	NA	NA	2.06	0.89	NA	NA	NA	0.89	NA	NA	NA	0.36	0.57	NA	NA	0.21	0.2	NA
1931	0.98	2.03	NA	NA	NA	0.99	0.61	NA	NA	NA	0.66	NA	NA	NA	0.21	0.41	NA	NA	0.34	0.18	NA
1932	1.3	4.86	NA	NA	NA	1.21	0.95	NA	NA	NA	1.25	NA	NA	NA	0.26	0.82	NA	NA	0.36	0.2	NA
1933	1.56	4.14	NA	1.67	NA	2.31	1.14	NA	NA	NA	1.3	NA	NA	NA	0.36	0.83	NA	NA	0.47	0.25	NA
1934	1.19	3.42	NA	1.22	NA	1.68	0.59	NA	NA	NA	0.84	NA	NA	NA	0.19	0.79	NA	NA	0.41	0.38	NA
1935	1.6	4.12	NA	1.31	NA	1.3	0.8	NA	NA	NA	1.26	NA	NA	NA	0.32	0.69	NA	NA	0.51	0.35	NA
1936	1.76	3.7	NA	1.63	NA	1.67	0.89	NA	NA	1.74	1.1	NA	NA	NA	0.21	0.67	NA	NA	0.64	0.38	NA
1937	1.68	4.17	2.6	2.01	1.52	3.46	1.06	NA	NA	2.1	1.61	NA	NA	NA	0.21	0.84	NA	NA	0.76	0.51	NA
1938	2.63	5.94	2.76	3.3	1.98	2.24	1.61	NA	NA	2.13	2.12	NA	NA	NA	0.4	1.01	NA	NA	1.48	0.73	NA
1939	1.72	5.57	2.57	2.5	1.8	2.21	2.2	NA	NA	1.98	1.48	NA	NA	NA	0.63	1.18	NA	NA	1.14	0.73	NA
1940	1.92	5.05	3.61	2.58	3.09	2.2	2.16	NA	NA	3.2	1.52	NA	NA	NA	0.72	0.85	NA	NA	1.48	0.6	NA
1941	1.53	4.77	2.67	2.46	2.71	2.74	1.4	NA	NA	2.24	1.31	NA	NA	NA	0.97	0.97	NA	NA	1.23	0.67	NA
1942	1.99	5.81	2.67	2.64	2.38	2.61	1.61	NA	NA	2.32	2.28	NA	NA	NA	0.59	0.93	NA	NA	1.31	0.78	NA
1943	2.03	4.91	2.41	2.72	2.79	2.15	2.16	NA	NA	2.51	2.24	NA	1.57	NA	0.23	0.57	NA	NA	1.64	0.82	NA
1944	1.59	4.01	1.94	2.25	2.66	1.68	1.69	NA	NA	1.86	1.99	NA	1.96	NA	0.19	0.61	NA	NA	1.56	0.91	NA
1945	1.98	6.17	2.37	1.95	2.89	2.05	2.5	NA	NA	2.67	2.62	NA	0.99	NA	0.17	0.55	NA	NA	1.18	1.03	NA
1946	2.02	4.72	2.79	2.14	3.6	1.84	2.24	NA	NA	2.1	1.73	NA	1.54	NA	0.21	0.51	NA	NA	1.1	1.19	NA
1947	1.67	4.6	2.57	2.41	2.92	1.55	1.82	NA	NA	2.45	1.9	NA	0.63	NA	0.67	0.51	NA	NA	1.05	1.73	NA
1948	1.26	5.16	2.52	2.09	2.91	2.73	1.4	NA	NA	2.2	1.98	NA	0.62	NA	0.46	0.47	NA	NA	0.8	1.03	NA
1949	1.64	4.38	1.86	2.38	3.14	2.43	1.35	NA	NA	2.2	1.69	NA	1.26	NA	0.42	0.51	NA	NA	1.31	0.93	NA
1950	1.64	4.5	2.07	2.15	2.44	1.58	1.14	NA	1.89	1.52	2.28	NA	1.43	NA	0.46	0.42	NA	NA	1.18	0.56	NA
1951	1.93	4.43	2.93	3.27	2.86	1.72	1.35	NA	1.56	1.57	2.79	NA	1.94	NA	0.38	0.63	NA	NA	1.47	0.76	NA
1952	2.06	4.14	3.22	3.92	3.08	2.1	1.95	NA	1.69	2.16	2.67	NA	2.24	NA	0.51	0.72	NA	NA	1.27	1.43	NA
1953	2.19	4.49	2.62	3.34	2.91	1.33	1.69	NA	1.64	2.03	2.2	NA	1.98	NA	0.89	0.72	NA	NA	1.69	1.11	NA
1954	1.48	3.23	1.99	2.64	2.49	1.03	1.27	NA	1.34	1.06	1.23	NA	1.59	NA	1.01	0.46	NA	NA	1.35	1.07	NA
1955	1.23	2.91	2.03	2.13	2.18	0.74	1.63	NA	2.34	0.89	1.69	NA	1.34	NA	0.84	0.38	NA	NA	1.28	0.98	NA
1956	0.89	3.12	2.53	2.56	2.86	1.37	2.06	NA	2.88	1.65	1.94	NA	1.69	NA	1.18	0.38	NA	NA	1.41	0.91	NA
1957	1.06	2.57	2.74	3	2.79	0.99	2.14	NA	2.23	2.16	2.32	NA	1.91	NA	0.93	0.42	NA	NA	1.48	0.95	NA
1958	1.18	3.59	2.99	2.06	3.06	1.29	2.1	NA	2.75	2.11	2.45	0.63	1.56	NA	0.97	0.5	NA	NA	0.93	1.19	NA
