# Warner - Huron Mountain Club - PIST - ITRDB MI035
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed. 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37723
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37723.json 
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree ring
#
# Dataset_DOI: 
#
# Science_Keywords:
#--------------------
# Resource_Links
#   
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi035-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi035.txt
#   Supplemental_Description: Text File; Correlation Stats 
#--------------------
# Contribution_Date
#    Date: 2023-03-10
#--------------------
# File_Last_Modified_Date
#     Date: 2023-03-10
#--------------------
# Title
#   Study_Name: Warner - Huron Mountain Club - PIST - ITRDB MI035
#--------------------
# Investigators
#   Investigators: Warner, Scott M.
#--------------------
# Description_Notes_and_Keywords
#   Description:  
#--------------------
# Publication 
#   Authors: Scott M. Warner
#   Published_Date_or_Year: 2021 
#   Published_Title: TREE RINGS AND CLIMATE IN THE GREAT LAKES REGION—PAST, PRESENT, AND FUTURE
#   Journal_Name: 
#   Volume: 
#   Edition: 
#   Issue: 
#   Pages:
#   Report_Number: 
#   DOI: 
#   Publication_Place: 
#   Publisher: A DISSERTATION Submitted to Michigan State University in partial fulfillment of the requirements for the degree of Plant Biology – Doctor of Philosophy Ecology, Evolution, and Behavior Program – Dual Major
#   ISBN: 
#   Online_Resource: 
#   Other_Reference_Details: 
#   Full_Citation: Warner, Scott M. 2021. TREE RINGS AND CLIMATE IN THE GREAT LAKES REGION—PAST, PRESENT, AND FUTURE. A DISSERTATION Submitted to Michigan State University in partial fulfillment of the requirements for the degree of Plant Biology – Doctor of Philosophy Ecology, Evolution, and Behavior Program – Dual Major
#   Abstract:
#--------------------
# Funding_Agency 
#   Funding_Agency_Name: Michigan State University
#   Grant: Plant Science Fellowship, Alfred H. and Jean Goldner Endowment, W.J. Beal Botanical Garden, Huron Mountain Wildlife Foundation,James E. Rodman Endowment, UAW Cal Rapson Endowment,William A. Lovis Endowment for Environmental Archaeology, Dept of Geography, Environment and Spatial Sciences, Department of Plant Biology, Ecology, Evolution, and Behavior Program, Paul A. Taylor Endowment, Dissertation Completion Fellowship, MSU Herbarium, Natural Science Collections Internship
#--------------------
# Site_Information 
#   Site_Name: Huron Mountain Club 2
#   Location: Michigan
#   Northernmost_Latitude: 46.895333
#   Southernmost_Latitude: 46.825383
#   Easternmost_Longitude: -87.80975
#   Westernmost_Longitude: -87.922417
#   Elevation_m: 
#--------------------
# Data_Collection  
#   Collection_Name: MI035
#   Earliest_Year: 1890
#   Most_Recent_Year: 2017
#   Time_Unit: year CE
#   Core_Length_m: 
#   Parameter_Keywords: width
#   Notes: first three characters = site code (HMC = Huron Mountain Club), fourth and fifth characters = species code (WP = white pine = Pinus strobus), sixth and seventh characters = tree number, eigth character = core code
#--------------------
# Species - this section is used only for the tree ring and fire history data types.
# Tree_Species_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/templates/tree-species-code.csv
#   Tree_Species_Download_Description:  List of accepted tree species names and codes. 
#
#   Species_Name: Pinus strobus
#   Common_Name: eastern white pine
#   Tree_Species_Code: PIST
#          
#--------------------
# Chronology_Information
#   Chronology: 
#--------------------
# Variables  
#
# PaST_Thesaurus_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/PaST-thesaurus/SKOS/past-thesaurus-v1.0.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Variables format: Short_name <tab> what,material,error,units,seasonality,data_type,detail,method,data_format,additional_information
#  Note: the Short_name does not require a PaST term.
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HMCWP01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP12B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP13B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP13B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP15B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HMCWP16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HMCWP16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HMCWP01B_raw	HMCWP02A_raw	HMCWP02B_raw	HMCWP05A_raw	HMCWP05B_raw	HMCWP06A_raw	HMCWP06B_raw	HMCWP07A_raw	HMCWP07B_raw	HMCWP08A_raw	HMCWP08B_raw	HMCWP09A_raw	HMCWP09B_raw	HMCWP10A_raw	HMCWP10B_raw	HMCWP11A_raw	HMCWP11B_raw	HMCWP12A_raw	HMCWP12B_raw	HMCWP13A_raw	HMCWP13B_raw	HMCWP14A_raw	HMCWP14B_raw	HMCWP15A_raw	HMCWP15B_raw	HMCWP16A_raw	HMCWP16B_raw
1890	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1891	1.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1892	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1893	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1894	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1895	1.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1896	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1897	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1898	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1899	3.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1900	2.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1901	3.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1902	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1903	4.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1904	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1905	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1906	2.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64	NA	NA	NA	NA	NA	NA
1907	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA	NA	NA	NA	NA	NA
1908	1.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.58	NA	NA	NA	NA	NA	NA
1909	1.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA	2.71	NA	NA	NA	NA
1910	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.98	NA	2.69	NA	NA	NA	NA
1911	2.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.98	NA	3.11	NA	NA	NA	NA
1912	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.59	NA	1.97	NA	NA	NA	NA
1913	3.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.46	NA	2.21	NA	NA	2.36	1.76
1914	3.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71	2.24	NA	1.81	NA	NA	2.83	1.76
1915	2.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.59	2.76	NA	1.8	NA	3.87	3.02	1.86
1916	2.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.53	2.57	NA	1.71	NA	3.07	2.87	2.04
1917	2.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.53	NA	NA	NA	NA	NA	NA	2.7	NA	2.89	2.19	NA	2.08	NA	2.96	2.97	2.71
1918	2.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.05	NA	NA	NA	NA	NA	NA	2.63	NA	2.97	2.63	NA	2.09	3.05	3.17	2.89	2.68
1919	1.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.56	NA	NA	NA	NA	NA	NA	2.3	NA	2.18	2.12	NA	1.64	2.56	2.1	2.23	2.54
1920	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.59	NA	NA	NA	5.63	NA	NA	2.86	3.06	2.09	2.09	NA	1.92	2.76	3.56	2.96	3.25
1921	1.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.26	NA	NA	NA	5.71	NA	NA	2.66	2.92	2.29	2.09	NA	1.54	1.9	2.16	2.64	2.8
1922	3.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.08	NA	NA	NA	6.18	NA	NA	4.09	3.72	3.31	3	NA	2.11	1.34	3.42	3.2	3.48
1923	1.63	NA	NA	NA	NA	NA	NA	NA	NA	5.08	5.21	NA	NA	NA	5.63	2.53	NA	2.6	2.92	2.61	2.69	NA	1.68	1.61	2.58	2.99	2.41
1924	2	NA	NA	NA	NA	NA	NA	NA	NA	7.72	6.54	NA	NA	NA	4.12	2.72	NA	2.92	3.16	2.77	2.94	NA	2.7	2.7	3.83	2.62	2.24
1925	2.18	NA	NA	NA	NA	NA	NA	NA	NA	8.81	5.49	NA	NA	4.36	5.93	2.79	NA	3.59	3.08	2.32	2.36	NA	2.19	2.37	1.63	2.05	2.89
1926	2.86	NA	NA	NA	NA	NA	NA	NA	NA	7.06	7.88	5.16	NA	3.48	6.69	2.68	NA	4.04	3.68	2.75	2.73	NA	2.22	2.81	2.23	2.9	3.73
1927	1.48	NA	NA	NA	NA	NA	NA	NA	NA	6.27	6.22	3.6	NA	3.69	6.74	2.76	NA	3.92	2.4	1.5	1.78	2.58	1.76	1.33	1.12	2.27	2.25
1928	1.56	NA	NA	NA	NA	NA	NA	NA	NA	7.21	6.84	2.63	NA	5.67	7.57	2.52	NA	4.97	2.57	1.38	2.5	3.22	1.6	1.58	1.32	2.09	2.48
1929	1.2	NA	NA	NA	NA	NA	NA	NA	NA	7.22	7.11	2.54	NA	4.77	7.48	3.99	NA	3.54	2.37	1.32	2.26	2.88	1.46	1.61	1.35	1.61	2.44
1930	1.5	NA	NA	NA	NA	NA	NA	NA	NA	6.89	6.72	2.12	NA	4.26	7	3.99	NA	3.34	2.8	1.76	2.17	2.42	1.9	1.29	1.15	1.99	3.15
1931	1.36	NA	NA	NA	NA	NA	NA	NA	NA	6.5	6.15	2.29	3.49	2.92	6.31	4.38	NA	3.02	3.63	2.05	2.65	2.28	1.82	2.03	1.72	3.31	3.44
1932	1.46	NA	NA	NA	NA	NA	NA	NA	NA	6.22	5.29	2.8	3	4.23	6.68	3.73	NA	2.82	3.34	2.92	3.22	2.59	1.81	2.24	2.25	3.02	2.78
1933	0.95	NA	NA	NA	NA	NA	NA	NA	NA	4.06	3.5	2.14	2.52	2.49	4.56	3.12	NA	1.82	2.38	2.33	2.4	2.09	1.34	1.5	1.58	2.2	2.15
1934	1.32	NA	NA	NA	NA	NA	NA	NA	NA	4.1	4.22	2.01	2.12	2.46	4.49	2.34	NA	1.72	2.26	2.19	2.45	2.07	1.23	2.06	1.32	1.77	2.05
1935	1.17	NA	NA	NA	NA	NA	NA	NA	NA	4.87	4.28	2.88	2.88	3.19	5.13	2.94	NA	2.04	2.98	2.16	3.28	2.22	1.55	2.52	1.98	2.68	2.98
1936	1.15	NA	NA	NA	NA	NA	NA	NA	NA	3.4	4.15	2.91	2.29	2.81	4.76	2.33	NA	1.57	2.41	1.52	2.49	1.36	1.37	1.93	1.38	1.09	1.65
1937	1.41	NA	NA	NA	NA	NA	NA	NA	NA	3.45	4.46	3.23	2.57	4.04	6.21	2.56	NA	1.49	2.79	1.65	2.08	2.22	1.69	1.99	1.44	1.71	2.22
1938	1.98	NA	NA	2.98	NA	NA	NA	1.4	1.45	4.21	4.41	3.2	2.18	4.12	7.93	2.89	NA	1.68	2.96	1.4	2.22	2.72	1.66	1.29	1.22	1.4	2.34
1939	2.71	NA	NA	3.13	NA	NA	NA	1.51	1.61	4.63	4.47	2.61	1.63	4.43	9.46	2.55	NA	2.49	3.08	1.47	2.35	2.41	1.23	1.44	1.27	1.39	2.56
1940	1.43	NA	NA	2.37	4.61	NA	NA	1.75	1.53	4.04	3.93	2.44	1.68	3.16	6.73	3.84	NA	3.53	2.7	1.76	2.02	1.85	1.02	2.17	1.42	1.64	2.42
1941	1.19	NA	NA	2.12	3.66	NA	NA	2	1.43	3.2	3.23	1.73	1.46	1.89	4.31	2.24	NA	3.32	2.37	1.67	1.73	1.82	1.31	2.31	2.33	1.72	1.84
1942	1.62	NA	NA	3.11	4.97	NA	NA	2.53	2.18	3.92	5.94	2.41	1.92	4.01	8.08	2.57	NA	4.23	3.08	2.53	2.71	2.18	2.04	2.9	2.17	2.19	2.29
1943	1.14	NA	NA	2.86	4.79	NA	NA	1.96	1.99	2.87	4.58	3.01	2.58	4.15	5.45	3.58	NA	2.52	2.5	2.6	2.12	1.27	1.71	2.45	1.25	1.44	2.29
1944	2.01	NA	NA	2.52	4.75	NA	2.19	1.73	2.12	3.02	4.7	1.85	2.34	4.57	6.72	2.21	NA	2.68	2.12	2.73	2.34	1.24	1.99	2.11	1.2	1.27	2.28
