# Stokes - Cloudcroft - PIED - ITRDB NM001
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5006
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5006.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm001-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm001-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm001.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm001.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Stokes - Cloudcroft - PIED - ITRDB NM001
#--------------------
# Investigators
#   Investigators: Stokes, M.A.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cloudcroft
#   Location: New Mexico
#   Northernmost_Latitude: 32.93
#   Southernmost_Latitude: 32.93
#   Easternmost_Longitude: -105.75
#   Westernmost_Longitude: -105.75
#   Elevation_m: 2438
#--------------------
# Data_Collection
#   Collection_Name: NM001
#   First_Year: 1515
#   Last_Year: 1960
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 006126_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 006126; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 006129_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 006129; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 006149_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 006149; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 216800_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 216800; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 615000_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 615000; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 615100_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 615100; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 615200_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 615200; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	006126_raw	006129_raw	006149_raw	216800_raw	615000_raw	615100_raw	615200_raw
1531	NA	NA	1	NA	NA	NA	NA
1532	NA	NA	0.5	NA	NA	NA	NA
1533	NA	NA	0.84	NA	NA	NA	NA
1534	NA	NA	1.26	NA	NA	NA	NA
1535	NA	NA	0.84	NA	NA	NA	NA
1536	NA	NA	0.76	NA	NA	NA	NA
1537	NA	NA	0.99	NA	NA	NA	NA
1538	NA	NA	0.59	NA	NA	NA	NA
1539	NA	NA	1.12	NA	NA	NA	NA
1540	NA	NA	1.22	NA	NA	NA	NA
1541	NA	NA	0.95	NA	NA	NA	NA
1542	NA	NA	0.37	NA	NA	NA	NA
1543	NA	NA	1.1	NA	NA	NA	NA
1544	NA	NA	1.19	NA	NA	NA	NA
1545	NA	NA	0.99	NA	NA	NA	NA
1546	NA	NA	0.51	NA	NA	NA	NA
1547	NA	NA	0.64	NA	NA	NA	NA
1548	NA	NA	0.79	NA	NA	NA	NA
1549	NA	NA	0.27	NA	NA	NA	NA
1550	NA	NA	0.88	NA	NA	NA	NA
1551	NA	NA	0.42	NA	NA	NA	NA
1552	NA	NA	0.6	NA	NA	NA	NA
1553	NA	NA	1.08	NA	NA	NA	NA
1554	NA	NA	1.22	NA	NA	NA	NA
1555	NA	NA	0.89	NA	NA	NA	NA
1556	NA	NA	1	NA	NA	NA	NA
1557	NA	NA	0.69	NA	NA	NA	NA
1558	NA	NA	0.22	NA	NA	NA	NA
1559	NA	NA	0.68	NA	NA	NA	NA
1560	NA	NA	0.39	NA	NA	NA	NA
1561	NA	NA	0.63	NA	NA	NA	NA
1562	NA	NA	0.02	NA	NA	NA	NA
1563	NA	NA	0.81	NA	NA	NA	NA
1564	NA	NA	0.67	NA	NA	NA	NA
1565	NA	NA	0.69	NA	NA	NA	NA
1566	NA	NA	0.7	NA	NA	NA	NA
1567	NA	NA	0.84	NA	NA	NA	NA
1568	NA	NA	0.51	NA	NA	NA	NA
1569	NA	NA	0.85	NA	NA	NA	NA
1570	NA	NA	0.9	NA	NA	NA	NA
1571	NA	NA	0.2	NA	NA	NA	NA
1572	NA	NA	0.67	NA	NA	NA	NA
1573	NA	NA	0.19	NA	NA	NA	NA
1574	NA	NA	0.68	NA	NA	NA	NA
1575	NA	NA	0.56	NA	NA	NA	NA
1576	NA	NA	0.74	NA	NA	NA	NA
1577	NA	NA	0.82	NA	NA	NA	NA
1578	NA	NA	0.85	NA	NA	NA	NA
1579	NA	NA	0.15	NA	NA	NA	NA
1580	NA	NA	0.41	NA	NA	NA	NA
1581	NA	NA	0.7	NA	NA	NA	NA
1582	NA	NA	0.59	NA	NA	NA	NA
1583	NA	NA	0.56	NA	NA	NA	NA
1584	NA	NA	0.67	NA	NA	NA	NA
1585	NA	NA	0.28	NA	NA	NA	NA
1586	NA	NA	0.81	NA	NA	NA	NA
1587	NA	NA	0.59	NA	NA	NA	NA
1588	NA	NA	0.7	NA	NA	NA	NA
1589	NA	NA	0.82	NA	NA	NA	NA
1590	NA	NA	0.92	NA	NA	NA	NA
1591	NA	NA	0.52	NA	NA	NA	NA
1592	NA	NA	0.91	NA	NA	NA	NA
1593	NA	NA	0.34	NA	NA	NA	NA
1594	NA	NA	0.9	NA	NA	NA	NA
1595	NA	NA	0.74	NA	NA	NA	NA
1596	NA	NA	1	NA	NA	NA	NA
1597	NA	NA	0.95	NA	NA	NA	NA
1598	NA	NA	0.78	NA	NA	NA	NA
1599	NA	NA	0.5	NA	NA	NA	NA
1600	NA	NA	0.66	NA	NA	NA	NA
1601	NA	NA	0.15	NA	NA	NA	NA
1602	NA	NA	0.56	NA	NA	NA	NA
1603	NA	NA	0.77	NA	NA	NA	NA
1604	NA	NA	0.76	NA	NA	NA	NA
1605	NA	NA	0.5	NA	NA	NA	NA
1606	NA	NA	0.34	NA	NA	NA	NA
1607	NA	NA	0.61	NA	NA	NA	NA
1608	NA	NA	0.63	NA	NA	NA	NA
1609	NA	NA	0.65	NA	NA	NA	NA
1610	NA	NA	0.82	NA	NA	NA	NA
1611	NA	NA	0.97	2.99	NA	NA	NA
1612	NA	NA	0.89	2.99	NA	NA	NA
1613	NA	NA	0.59	2.32	NA	NA	NA
1614	NA	NA	0.33	2.44	NA	NA	NA
1615	NA	NA	0.58	2.67	NA	NA	NA
1616	NA	NA	0.89	2.97	NA	NA	NA
1617	NA	NA	0.91	1.45	NA	NA	NA
1618	NA	NA	1.19	2.74	NA	NA	NA
1619	NA	NA	1.12	3.21	NA	NA	NA
1620	NA	NA	0.92	3.35	NA	NA	NA
1621	NA	NA	0.87	3.21	NA	NA	NA
1622	NA	NA	0.9	3.39	NA	NA	NA
