# O'Brien - Los Alamos New Mexico - PSME - ITRDB NM046
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4078
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4078.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm046-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm046-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm046.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm046.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: O'Brien - Los Alamos New Mexico - PSME - ITRDB NM046
#--------------------
# Investigators
#   Investigators: O'Brien, D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Los Alamos New Mexico
#   Location: New Mexico
#   Northernmost_Latitude: 35.87
#   Southernmost_Latitude: 35.87
#   Easternmost_Longitude: -106.3
#   Westernmost_Longitude: -106.3
#   Elevation_m: 2164
#--------------------
# Data_Collection
#   Collection_Name: NM046
#   First_Year: 1681
#   Last_Year: 1969
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 644011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 644021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 644031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 644041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 644051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 644061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 644071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 644081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 644081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	644011_raw	644021_raw	644031_raw	644041_raw	644051_raw	644061_raw	644071_raw	644081_raw
1681	0.91	NA	NA	NA	NA	NA	NA	NA
1682	1.18	NA	NA	NA	NA	NA	NA	NA
1683	1.28	NA	NA	NA	NA	NA	NA	NA
1684	1.07	NA	NA	NA	NA	NA	NA	NA
1685	0.09	NA	NA	NA	NA	NA	NA	NA
1686	1.53	NA	NA	NA	NA	NA	NA	NA
1687	1.75	NA	NA	NA	NA	NA	NA	NA
1688	1.72	NA	NA	NA	NA	NA	NA	NA
1689	2.41	NA	NA	NA	NA	NA	NA	NA
1690	1.37	NA	NA	NA	NA	NA	NA	NA
1691	0.78	NA	NA	NA	NA	NA	NA	NA
1692	1.72	NA	NA	NA	NA	NA	NA	NA
1693	1.42	NA	NA	NA	NA	NA	NA	NA
1694	0.78	NA	NA	NA	NA	NA	NA	NA
1695	0.99	NA	NA	NA	NA	NA	NA	NA
1696	0.48	NA	NA	NA	NA	NA	NA	NA
1697	1.09	NA	NA	NA	NA	NA	NA	NA
1698	1.09	NA	NA	NA	NA	NA	NA	NA
1699	1.5	NA	NA	NA	NA	NA	NA	NA
1700	1.05	NA	NA	NA	NA	NA	NA	NA
1701	1.89	NA	NA	NA	NA	NA	NA	NA
1702	1.07	NA	NA	NA	NA	NA	NA	NA
1703	1.69	NA	NA	NA	NA	NA	NA	NA
1704	0.45	NA	NA	NA	NA	NA	NA	NA
1705	0.53	NA	NA	NA	NA	NA	NA	NA
1706	1.51	NA	NA	NA	NA	NA	NA	NA
1707	0.7	NA	NA	NA	NA	NA	NA	NA
1708	1.16	NA	NA	NA	NA	NA	NA	NA
1709	0.38	NA	NA	NA	NA	NA	NA	NA
1710	1.68	NA	NA	NA	NA	NA	NA	NA
1711	1.06	NA	NA	NA	NA	NA	NA	NA
1712	1.95	NA	NA	NA	NA	NA	NA	NA
1713	2.04	NA	NA	NA	NA	NA	NA	NA
1714	0.89	NA	NA	NA	NA	NA	NA	NA
1715	1.32	NA	NA	NA	NA	NA	NA	NA
1716	0.31	NA	NA	NA	NA	NA	NA	NA
1717	1.06	NA	NA	NA	NA	NA	NA	NA
1718	1.34	NA	NA	NA	NA	NA	NA	NA
1719	0.57	NA	NA	NA	NA	NA	NA	NA
1720	1.5	NA	NA	NA	NA	NA	NA	NA
1721	1.5	NA	NA	NA	NA	NA	NA	NA
1722	0.88	NA	NA	NA	NA	NA	NA	NA
1723	1.28	NA	NA	NA	NA	NA	NA	NA
1724	1	NA	NA	NA	NA	NA	NA	NA
1725	1	NA	NA	NA	NA	NA	NA	NA
1726	1.06	NA	NA	NA	NA	NA	NA	NA
1727	1.22	NA	NA	NA	NA	NA	NA	NA
1728	0.79	NA	NA	NA	NA	NA	NA	NA
1729	0.12	NA	NA	NA	NA	NA	NA	NA
1730	0.67	NA	NA	NA	NA	NA	NA	NA
1731	0.86	NA	NA	NA	NA	NA	NA	NA
1732	0.9	NA	NA	NA	NA	NA	NA	NA
1733	0.18	NA	NA	NA	NA	NA	NA	NA
1734	1.33	NA	NA	NA	NA	NA	NA	NA
1735	0.75	NA	NA	NA	NA	NA	NA	NA
1736	0.91	NA	NA	NA	NA	NA	NA	NA
1737	0.64	NA	NA	NA	NA	NA	NA	NA
1738	0.43	NA	NA	NA	NA	NA	NA	NA
1739	0.84	NA	NA	NA	NA	NA	NA	NA
1740	0.94	NA	NA	NA	NA	NA	NA	NA
1741	0.87	NA	NA	NA	NA	NA	NA	NA
1742	0.6	NA	NA	NA	NA	NA	NA	NA
1743	1.59	NA	NA	NA	NA	NA	NA	NA
1744	0.69	NA	NA	NA	NA	NA	NA	NA
1745	0.74	NA	NA	NA	NA	NA	NA	NA
1746	1.15	NA	NA	NA	NA	NA	NA	NA
1747	1.85	NA	NA	NA	NA	NA	NA	NA
1748	0.14	NA	NA	NA	NA	NA	NA	NA
1749	1.05	NA	NA	NA	NA	NA	NA	NA
1750	0.57	NA	NA	NA	NA	NA	NA	NA
1751	0.69	NA	NA	NA	NA	NA	NA	NA
1752	0.29	NA	NA	NA	NA	NA	NA	NA
1753	0.64	NA	NA	NA	NA	NA	NA	NA
1754	0.75	NA	NA	NA	NA	NA	NA	NA
1755	0.88	NA	NA	NA	NA	NA	NA	NA
1756	0.49	NA	NA	NA	NA	NA	NA	NA
1757	0.23	NA	NA	NA	NA	NA	NA	NA
1758	0.94	NA	NA	NA	NA	NA	NA	NA
1759	1.24	NA	NA	NA	NA	NA	NA	NA
1760	0.77	NA	NA	NA	NA	NA	NA	NA
1761	1.46	NA	NA	NA	NA	NA	NA	NA
1762	1.5	NA	NA	NA	NA	NA	NA	NA
1763	0.32	NA	NA	NA	NA	NA	NA	NA
1764	1.15	NA	NA	NA	NA	NA	NA	NA
1765	0.65	NA	NA	NA	NA	NA	NA	NA
1766	1.02	NA	NA	NA	NA	NA	NA	NA
