# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PP352W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PP352W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP363W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PP363W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP364W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PP364W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP373W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PP373W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PP352W_raw	PP363W_raw	PP364W_raw	PP373W_raw
1760	0.92	NA	NA	NA
1761	0.97	NA	NA	NA
1762	1.04	NA	NA	NA
1763	0.79	NA	NA	NA
1764	0.92	NA	NA	NA
1765	0.98	NA	NA	NA
1766	1.25	NA	NA	NA
1767	1.24	NA	NA	NA
1768	1.07	NA	NA	NA
1769	0.94	NA	NA	NA
1770	1.27	NA	NA	NA
1771	1.37	NA	NA	NA
1772	0.89	NA	NA	NA
1773	0.71	NA	NA	NA
1774	0.89	NA	NA	NA
1775	0.78	NA	NA	NA
1776	0.67	NA	NA	NA
1777	0.53	NA	NA	NA
1778	0.78	NA	NA	NA
1779	0.49	NA	NA	NA
1780	0.22	NA	NA	NA
1781	0.66	NA	NA	NA
1782	0.6	NA	NA	NA
1783	0.88	NA	NA	NA
1784	1.38	NA	NA	NA
1785	0.8	NA	NA	NA
1786	1	NA	NA	NA
1787	1.22	NA	NA	NA
1788	1.1	NA	NA	NA
1789	0.98	NA	NA	NA
1790	0.94	NA	NA	NA
1791	1.1	NA	NA	NA
1792	0.92	NA	NA	NA
1793	1.36	NA	NA	NA
1794	1.09	NA	NA	NA
1795	0.83	NA	NA	NA
1796	0.88	NA	NA	NA
1797	0.76	NA	NA	NA
1798	0.56	NA	NA	NA
1799	0.75	NA	NA	NA
1800	0.71	NA	NA	NA
1801	0.61	NA	NA	NA
1802	0.86	NA	NA	NA
1803	0.59	NA	NA	NA
1804	0.43	NA	NA	NA
1805	0.37	NA	NA	NA
1806	0.3	NA	NA	NA
1807	0.67	NA	NA	NA
1808	0.64	NA	NA	NA
1809	0.59	NA	NA	NA
1810	0.63	NA	NA	NA
1811	0.78	NA	NA	NA
1812	0.73	NA	NA	NA
1813	0.58	NA	NA	NA
1814	0.73	NA	NA	NA
1815	1.03	NA	NA	NA
1816	1.47	NA	NA	NA
1817	1.17	NA	NA	NA
1818	0.36	NA	NA	NA
1819	0.39	NA	NA	NA
1820	0.63	NA	NA	NA
1821	0.79	NA	NA	NA
1822	0.36	NA	NA	NA
1823	0.41	NA	NA	NA
1824	0.38	NA	NA	NA
1825	0.48	NA	NA	NA
1826	0.48	NA	NA	NA
1827	0.48	NA	NA	NA
1828	0.81	NA	NA	NA
1829	0.48	NA	NA	NA
1830	0.58	NA	NA	NA
1831	0.87	NA	NA	NA
1832	1.07	NA	NA	NA
1833	0.82	NA	NA	NA
1834	0.95	NA	NA	NA
1835	0.96	NA	NA	NA
1836	0.67	NA	NA	NA
1837	0.62	NA	NA	0.77
1838	0.33	NA	NA	0.57
1839	0.48	NA	NA	0.88
1840	0.51	NA	NA	1.22
1841	0.61	NA	NA	1.45
1842	0.63	NA	NA	1.48
1843	0.68	NA	NA	1.55
1844	0.79	NA	NA	1.14
1845	0.63	1.59	NA	1.48
1846	0.67	1.72	NA	1.26
1847	0.45	1.54	NA	1.29
1848	0.69	1.58	NA	1.47
1849	0.98	1.9	NA	1.52
1850	0.96	1.85	NA	1.58
1851	0.43	1.2	NA	0.96
1852	0.99	2.24	NA	2.78
1853	0.66	1.91	NA	2.83
1854	1.03	2.22	NA	2.37
1855	0.89	2.66	NA	2.23
1856	0.8	1.84	NA	2.17
1857	0.66	1.89	NA	1.93
1858	0.83	1.59	NA	2.74
1859	0.58	1.99	NA	2.47
1860	0.69	2.24	NA	2.41
1861	0.3	1.55	NA	1.18
1862	0.54	1.77	NA	1.39
1863	0.52	2.06	NA	1.38
1864	0.27	1.49	NA	0.99
1865	0.34	1.85	NA	1.3
1866	0.93	2.61	NA	1.85
1867	0.92	2.4	NA	1.83
1868	0.7	2.18	NA	1.86
1869	0.67	2.13	NA	1.5
1870	0.06	0.95	NA	0.68
1871	0.25	0.99	NA	1.07
1872	0.26	1.24	NA	1.54
1873	0.35	1.21	NA	1.64
1874	0.55	1.75	NA	1.74
1875	0.35	2.39	NA	1.98
1876	0.23	1	NA	1.3
1877	0.64	2.12	NA	1.94
1878	0.64	1.47	NA	1.45
1879	0.48	1.25	NA	1.35
1880	0.6	1.57	1.81	1.36
1881	0.52	1.18	1.32	1.22
1882	0.4	0.91	0.98	0.81
1883	0.07	0.43	0.52	0.24
