# Black - Beaver Dam - PSME - ITRDB OR118
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38221
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38221.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or118-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or118.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or118.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Beaver Dam - PSME - ITRDB OR118
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Beaver Dam
#   Location: Oregon
#   Northernmost_Latitude: 45.581
#   Southernmost_Latitude: 45.581
#   Easternmost_Longitude: -123.387
#   Westernmost_Longitude: -123.387
#   Elevation_m: 560
#--------------------
# Data_Collection
#   Collection_Name: OR118
#   First_Year: 1674
#   Last_Year: 1921
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BD02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BD02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BD02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BD02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BD01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BD01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BD01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BD01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BD01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BD01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BD01D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BD01D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BD02A_raw	BD02B_raw	BD01A_raw	BD01B_raw	BD01C_raw	BD01D_raw
1674	NA	NA	2.39	2.31	NA	NA
1675	NA	NA	2.97	2.82	NA	NA
1676	NA	NA	3.49	3.48	NA	NA
1677	NA	NA	3.08	2.99	NA	NA
1678	NA	NA	3.33	3.17	NA	NA
1679	NA	NA	3.03	2.89	NA	NA
1680	NA	NA	2.26	2.59	NA	NA
1681	NA	NA	3.13	3.96	NA	NA
1682	NA	NA	4.21	4.27	NA	NA
1683	NA	NA	2.38	2.91	NA	NA
1684	NA	NA	1.96	2.25	NA	NA
1685	NA	NA	2.18	2.24	NA	NA
1686	NA	NA	2.44	2.43	NA	NA
1687	NA	NA	3.06	3.37	NA	NA
1688	NA	NA	2.72	2.79	NA	NA
1689	NA	NA	2.55	2.25	NA	NA
1690	NA	NA	2.77	2.77	NA	NA
1691	NA	NA	2.97	2.77	NA	NA
1692	NA	NA	3.62	3.39	NA	NA
1693	NA	NA	2.73	2.61	NA	NA
1694	NA	NA	3.13	2.99	NA	NA
1695	NA	NA	2.98	2.97	NA	NA
1696	NA	NA	2.84	2.54	NA	NA
1697	NA	NA	3.08	2.88	NA	NA
1698	NA	NA	2.71	2.48	NA	NA
1699	NA	NA	2.9	2.47	NA	NA
1700	NA	NA	2.75	2.8	NA	NA
1701	NA	NA	2.31	2.31	NA	NA
1702	NA	NA	2.94	2.85	NA	NA
1703	NA	NA	2.19	2.17	NA	NA
1704	NA	NA	1.87	1.86	NA	NA
1705	NA	NA	1.19	1.56	NA	NA
1706	NA	NA	1.47	1.65	NA	NA
1707	NA	NA	1.61	1.66	NA	NA
1708	NA	NA	1.32	1.22	NA	NA
1709	NA	NA	1.52	1.55	NA	NA
1710	NA	NA	2.17	2.18	NA	NA
1711	NA	NA	2.12	2.51	NA	NA
1712	NA	NA	2.47	2.52	NA	NA
1713	NA	NA	1.84	1.86	NA	NA
1714	NA	NA	2.17	2.12	NA	NA
1715	NA	NA	1.84	1.79	NA	NA
1716	NA	NA	1.97	2.09	NA	NA
1717	NA	NA	1.41	1.27	3.49	3.01
1718	NA	NA	1.5	1.42	3.01	2.9
1719	NA	NA	1.82	1.78	4.32	3.88
1720	NA	NA	1.66	1.65	4.14	3.84
1721	NA	NA	1.76	1.29	3.84	3.61
1722	NA	NA	1.67	1.54	2.96	2.97
1723	NA	NA	1.6	1.6	3.44	3.13
1724	NA	NA	2	1.67	3	3.13
1725	NA	NA	1.56	1.34	2.37	2.42
1726	NA	NA	1.69	1.55	2.27	2.82
1727	NA	NA	1.99	2.12	2.82	3.47
1728	NA	NA	1.77	1.78	2.93	3.04
1729	NA	NA	1.77	1.87	2.69	3.03
1730	NA	NA	1.35	1.39	1.84	2.11
1731	NA	NA	1.4	1.42	2.29	2.59
1732	NA	NA	1.75	1.76	3.16	3.23
1733	NA	NA	2.19	2.19	4.03	4.07
1734	NA	NA	1.88	1.84	3.4	3.5
1735	NA	NA	2.09	1.95	3.24	3.61
1736	NA	NA	1.61	1.58	2.67	3.04
1737	NA	NA	1.37	1.3	2.77	3.18
1738	NA	NA	2.5	2.48	3.7	5.18
1739	NA	NA	0.2	0.32	0.06	0.04
1740	NA	NA	0.21	0.18	0.55	0.34
1741	NA	NA	0.41	0.36	0.65	0.92
1742	NA	NA	0.62	0.64	1.06	1.52
1743	NA	NA	0.62	0.62	0.96	1.51
1744	NA	NA	0.55	0.58	1.02	1.5
1745	NA	NA	0.58	0.62	0.92	1.47
1746	NA	NA	0.75	0.77	1.13	1.97
1747	NA	NA	0.94	0.93	1.23	1.84
1748	NA	NA	0.56	0.56	0.74	1.13
1749	NA	NA	0.85	0.83	1.36	1.88
1750	NA	NA	0.85	0.75	1.48	1.63
1751	NA	NA	0.71	0.71	1.2	1.6
1752	NA	NA	0.99	1.01	1.23	1.86
1753	NA	NA	0.97	1.02	1.58	2
1754	NA	NA	1.08	1.18	1.22	1.72
1755	NA	NA	1.46	1.27	1.57	2.28
1756	NA	NA	1.42	1.42	1.99	2.68
1757	NA	NA	1.25	1.25	1.94	2.93
1758	NA	NA	1.21	1.13	1.88	2.63
1759	NA	NA	1.1	1	1.69	2.18
1760	NA	NA	1.1	1.05	1.62	1.6
1761	NA	NA	1.48	1.33	1.62	2.14
1762	NA	NA	1.16	1.07	1.39	1.85
1763	NA	0.52	1.3	1.24	1.76	2.15
1764	1.08	0.37	1.08	1.04	1.51	2.02
1765	1.21	0.38	1.18	1.13	1.61	1.97
1766	1.28	0.34	1.54	1.53	1.68	2.12
1767	0.86	0.28	1.12	1.1	1.1	1.27
1768	0.79	0.14	0.65	0.65	0.88	0.8
1769	0.73	0.24	0.64	0.66	0.85	0.95
1770	0.91	0.37	1.04	1.15	1.37	1.59
1771	0.88	0.33	1.29	1.32	1.67	1.87
1772	0.54	0.27	1.33	1.42	1.85	1.86
1773	0.99	0.35	1.58	1.62	2.21	2.46
1774	0.78	0.27	1.52	1.56	1.79	1.78
1775	0.55	0.24	1.17	1.1	1.72	1.81
1776	0.55	0.24	1.4	1.31	1.82	1.9
1777	0.5	0.33	1.48	1.37	1.62	1.84
1778	0.61	0.33	1.27	1.34	1.48	1.57
1779	0.56	0.4	0.96	1.02	1.5	1.57
1780	0.43	0.34	1.15	1.13	1.57	1.69
1781	0.55	0.41	1.05	1.09	1.27	1.49
1782	0.58	0.31	0.98	0.88	1.01	1.25
1783	0.5	0.28	1.06	1.11	1.04	1.51
1784	0.51	0.27	0.73	0.83	1.1	1.12
1785	0.82	0.49	1.15	1.25	1.75	2.02
1786	0.85	0.48	1.06	1.14	1.67	1.84
1787	0.86	0.33	0.66	0.71	0.94	1.32
1788	1.05	0.42	1.04	1.04	1.33	1.53
1789	0.84	0.36	0.88	0.79	0.87	1.1
1790	0.6	0.31	0.99	0.91	0.92	1.11
1791	0.37	0.22	1.32	1.32	1.36	1.62
1792	0.21	0.19	1.32	1.31	1.5	1.84
1793	0.24	0.27	0.99	0.99	1.44	1.83
1794	0.42	0.29	1.1	1.1	1.36	1.49
1795	0.45	0.26	1.13	1.21	1.05	1.55
1796	0.48	0.29	0.92	1.03	0.83	1.19
1797	0.35	0.32	0.54	0.63	0.4	0.66
1798	0.46	0.56	0.67	0.75	0.67	0.84
1799	0.32	0.29	0.71	0.77	0.59	0.63
1800	0.3	0.34	0.69	0.73	0.52	0.52
1801	0.37	0.36	0.75	0.8	0.64	0.68
1802	0.55	0.45	0.67	0.73	0.56	0.68
1803	0.74	0.47	0.75	0.83	0.66	0.64
1804	0.72	0.41	0.87	0.92	0.92	0.82
1805	0.87	0.55	0.88	0.95	0.8	0.84
1806	0.78	0.74	0.83	0.82	0.64	0.65
1807	0.62	0.89	0.8	0.83	0.75	0.8
1808	0.6	0.94	0.82	0.83	0.59	0.57
1809	0.59	1.01	0.91	0.96	0.89	0.65
1810	0.71	1.21	0.87	0.89	0.6	0.61
1811	0.62	1.22	0.69	0.76	0.65	0.73
1812	0.51	1.17	0.89	0.87	0.75	0.65
1813	0.53	0.94	1.06	1.09	0.99	1.01
1814	0.57	0.85	1.09	1.08	1.24	1.16
1815	0.59	0.86	0.89	0.91	1.14	1
