# Black - Hanna - PSME - ITRDB OR123
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38226
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38226.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or123-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or123.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or123.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Hanna - PSME - ITRDB OR123
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Hanna
#   Location: Oregon
#   Northernmost_Latitude: 45.377
#   Southernmost_Latitude: 45.377
#   Easternmost_Longitude: -123.372
#   Westernmost_Longitude: -123.372
#   Elevation_m: 279
#--------------------
# Data_Collection
#   Collection_Name: OR123
#   First_Year: 1701
#   Last_Year: 1875
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HAN01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAN01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAN01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAN01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAN01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAN01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAN01D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAN01D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAN02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAN02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HAN02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HAN02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HAN01A_raw	HAN01B_raw	HAN01C_raw	HAN01D_raw	HAN02A_raw	HAN02B_raw
1701	NA	NA	NA	NA	4.77	4.79
1702	NA	NA	NA	NA	2.76	2.77
1703	NA	NA	NA	NA	3.2	3.25
1704	NA	NA	NA	NA	2.83	2.82
1705	NA	NA	NA	NA	2.58	2.58
1706	NA	NA	NA	NA	3.3	3.44
1707	5.25	5.05	NA	NA	5.99	6.02
1708	5	5.02	NA	NA	4.67	4.99
1709	4.95	4.98	NA	NA	3.7	4.04
1710	3.79	3.88	NA	NA	2.59	3.02
1711	2.82	2.8	NA	NA	4.63	4.94
1712	2.45	2.49	NA	NA	4.71	5.39
1713	2.24	2.15	NA	NA	4.16	4.82
1714	2.91	2.88	NA	NA	5.29	5.7
1715	5.1	5.53	NA	NA	3.68	4.03
1716	5.16	4.88	NA	NA	2.55	2.94
1717	4.31	3.91	NA	NA	3.76	4.1
1718	2.26	2.32	NA	NA	3.34	3.34
1719	2.15	2.17	NA	NA	2.63	2.51
1720	1.55	1.68	NA	NA	3.43	3.09
1721	2.41	2.17	NA	NA	3.35	3.26
1722	1.89	1.78	NA	NA	3.03	2.66
1723	3.63	3.57	NA	NA	1.76	1.85
1724	2.69	2.66	NA	NA	1.52	1.71
1725	1.44	1.33	NA	NA	1.83	1.88
1726	2.04	1.83	NA	NA	2.39	2.39
1727	2.21	1.87	NA	NA	4.1	4.5
1728	4.71	4.53	NA	NA	3.72	3.85
1729	4.43	3.84	NA	NA	2.69	2.85
1730	3.33	2.71	NA	NA	2.2	2.02
1731	4.75	4.51	NA	NA	3.35	2.94
1732	3.53	3	NA	NA	2.51	2.43
1733	2.35	2.37	NA	NA	2.81	2.82
1734	1.49	1.44	NA	NA	1.96	2.09
1735	2.34	2.5	NA	NA	2.97	2.8
1736	2.52	2.77	NA	NA	3.44	3.45
1737	1.2	1.2	NA	NA	2.21	2.23
1738	3.15	2.71	NA	NA	2.94	2.05
1739	1.11	0.8	NA	NA	2.11	1.66
1740	1.19	0.84	NA	NA	2.41	2.12
1741	1.66	1.52	NA	NA	2.01	1.82
1742	3.06	2.32	NA	NA	2.28	1.99
1743	2.35	2.11	NA	NA	2.39	2.25
1744	2.31	1.91	NA	NA	3.7	3.81
1745	2.25	1.96	NA	NA	3.65	3.79
1746	2.45	2.31	NA	NA	3.12	3.23
1747	2.11	2.06	NA	NA	2.04	2.28
1748	2.07	1.67	NA	NA	1.82	1.86
1749	2.8	2.08	NA	NA	2.28	2.17
1750	3.69	2.5	NA	NA	1.97	2.09
1751	3.4	2.52	NA	NA	1.76	1.89
1752	3.99	3.3	NA	NA	3.42	3.72
1753	2.77	2.72	NA	NA	3.75	3.88
1754	2.18	1.67	NA	NA	3.04	3.04
1755	3.23	2.43	NA	NA	3.82	4
1756	2.51	1.55	NA	NA	2.92	2.88
1757	2.25	1.2	NA	NA	3.33	2.84
1758	2.29	1.68	NA	NA	2.96	2.67
1759	4.82	1.97	NA	NA	3.89	3.47
1760	4.11	1.61	NA	NA	3.01	2.72
1761	4.42	2.62	NA	NA	2.5	2.61
1762	3.67	2.36	NA	NA	2.02	2.33
1763	2.54	2.39	NA	NA	2.13	2.51
1764	2.25	1.98	NA	NA	1.94	1.87
1765	2.53	2.16	NA	NA	2.26	2.97
1766	2.94	2.56	NA	NA	3.96	3.2
1767	2.81	2.67	NA	NA	3.09	3.4
1768	1.75	1.18	NA	NA	3.1	3.06
1769	1.54	1.34	NA	NA	3.72	4.16
1770	2.18	2.31	NA	NA	3.26	3.48
1771	2.27	2.57	NA	NA	2.75	2.76
1772	2.06	2.04	NA	NA	3.39	3.18
1773	3.04	2.11	NA	NA	3.04	3.23
1774	2.4	2.01	NA	NA	2.16	2.11
1775	1.7	1.27	NA	NA	1.58	1.54
1776	1.49	1.67	NA	NA	2.08	2.07
1777	1.71	1.6	NA	NA	2.05	2.08
1778	1.81	2.39	NA	NA	2.79	2.79
1779	1.98	2.94	NA	NA	2.65	2.61
1780	1.91	2.94	NA	NA	2.04	2.06
1781	1.62	1.69	NA	NA	1.4	1.4
1782	1.58	2.62	6.59	6.42	1.3	1.39
1783	2.2	2.02	6.89	6.54	1.07	1.09
1784	1.87	1.77	2.92	3.82	0.7	0.68
1785	2.67	3.98	8.12	8.2	2.75	2.76
1786	2.88	2.76	6.16	6.98	3.24	3.25
1787	1.51	1.51	3.63	4.69	1.6	1.57
1788	1.78	1.99	5.15	6.23	1.63	1.73
1789	1.42	1.44	4.21	6.76	1.41	1.42
1790	1.33	1.19	4.91	8.06	1.08	1.04
1791	1.02	0.79	3.21	5.84	0.63	0.62
1792	1.33	0.64	4.79	7.76	1.7	1.69
1793	1.4	0.82	3.11	5.11	1.37	1.38
1794	1.21	0.96	2.4	4.32	1.74	1.74
