# Copenheaver - Raystown Lake - QUAL - ITRDB PA015
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/13997
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-13997.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/pa015-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; pa015-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/pa015.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/pa015.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2012-08-31
#--------------------
# File_Last_Modified_Date
#   Date: 2012-08-31
#--------------------
# Title
#   Study_Name: Copenheaver - Raystown Lake - QUAL - ITRDB PA015
#--------------------
# Investigators
#   Investigators: Copenheaver, C.A.(https://orcid.org/0000-0003-1778-3593)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: American Midland Naturalist
#   Published_Title: Changes in growth and dendroclimatic response of trees growing  along an artificial lake
#   Published_Date_or_Year: 2010
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 10.1674/0003-0031-163.1.134
#   Full_Citation: Copenheaver, C.A., Hendrick, L.E., Houchins, J.W. and Pearce, C.D. 
2010. Changes in growth and dendroclimatic response of trees growing 
along an artificial lake.  American Midland Naturalist 163:134-145.
#   Abstract: The objective of this study was to track changes in growth and dendroclimatic response of white oak (Quercus alba) trees that established in the forest interior and, following the creation of an artificial lake, continued living along the lake edge. Twenty-one white oaks from the lake edge were cored and 91% of the trees exhibited a growth response to the creation of the lake - most commonly a suppression. Two 32 y segments (pre-lake and post-lake) were compared for differences in dendroclimatic response. The tree-ring chronology from the pre-lake time period had significant negative correlations between ring width index (RWI) and temperature in Jun.; significant positive correlations between RWI and precipitation from Jun. of the previous year; significant positive correlations between RWI and precipitation in Mar. of the current year; and significant positive correlations between RWI and Palmer Drought Severity Index (PDSI) in Jul. After lake construction, the same trees exhibited significant positive correlations between RWI and Jul. temperature from the previous year; significant negative correlations between RWI and temperature in Feb. and May; significant positive correlations between RWI and precipitation in Sep.; and significant positive correlations between RWI and PDSI in Jun., Jul., Aug. and Sep. Most trees that experienced transitions from interior to edge positions responded with a decline in growth rate and a moderate change in dendroclimatic responsiveness.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Raystown Lake
#   Location: Pennsylvania
#   Northernmost_Latitude: 40.8333
#   Southernmost_Latitude: 40.8333
#   Easternmost_Longitude: -78.0167
#   Westernmost_Longitude: -78.0167
#   Elevation_m: 240
#--------------------
# Data_Collection
#   Collection_Name: PA015
#   First_Year: 1808
#   Last_Year: 2006
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## rlwo23b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo23b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo18b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo18b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo20a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo20a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo23a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo23a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo18a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo18a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo22b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo22b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo19a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo19a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo15b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo15b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo20b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo20b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo22a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo22a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo19b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo19b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo11b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo11b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo11a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo11a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo14a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo14a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo13a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo13a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo21a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo21a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo21b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo21b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo13b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo13b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo12a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo12a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo12b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo12b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo08b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo08b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rlwo14b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rlwo14b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	rlwo23b_raw	rlwo18b_raw	rlwo20a_raw	rlwo23a_raw	rlwo15a_raw	rlwo06a_raw	rlwo18a_raw	rlwo22b_raw	rlwo19a_raw	rlwo06b_raw	rlwo15b_raw	rlwo20b_raw	rlwo22a_raw	rlwo19b_raw	rlwo01b_raw	rlwo01a_raw	rlwo10a_raw	rlwo02a_raw	rlwo03a_raw	rlwo03b_raw	rlwo11b_raw	rlwo11a_raw	rlwo14a_raw	rlwo10b_raw	rlwo07b_raw	rlwo07a_raw	rlwo02b_raw	rlwo04a_raw	rlwo04b_raw	rlwo05b_raw	rlwo13a_raw	rlwo05a_raw	rlwo09b_raw	rlwo09a_raw	rlwo21a_raw	rlwo21b_raw	rlwo13b_raw	rlwo12a_raw	rlwo12b_raw	rlwo08a_raw	rlwo08b_raw	rlwo14b_raw
