# Stahle - Lynn Hollow - QUPR - ITRDB TN021
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4890
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4890.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn021-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tn021-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn021.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tn021.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Lynn Hollow - QUPR - ITRDB TN021
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Therrell, M.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lynn Hollow
#   Location: Tennessee
#   Northernmost_Latitude: 35.62
#   Southernmost_Latitude: 35.62
#   Easternmost_Longitude: -85.43
#   Westernmost_Longitude: -85.43
#   Elevation_m: 700
#--------------------
# Data_Collection
#   Collection_Name: TN021
#   First_Year: 1750
#   Last_Year: 1997
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus prinus L.
#   Common_Name: chestnut oak
#   Tree_Species_Code: QUPR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LYN02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LYN18B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LYN18B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LYN02A_raw	LYN02B_raw	LYN03A_raw	LYN04A_raw	LYN04B_raw	LYN05A_raw	LYN05B_raw	LYN06A_raw	LYN07A_raw	LYN07B_raw	LYN08A_raw	LYN08B_raw	LYN09A_raw	LYN10A_raw	LYN10B_raw	LYN12A_raw	LYN15A_raw	LYN18A_raw	LYN18B_raw
1750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.667	NA	NA	NA	NA	NA	NA	NA	NA
1751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.121	2.062	NA	NA	NA	NA	NA	NA	NA
1752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.382	1.184	NA	NA	NA	NA	NA	NA	NA
1753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.213	1.49	NA	NA	NA	NA	NA	NA	NA
1754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	0.922	NA	NA	NA	NA	NA	NA	NA
1755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.891	1.305	NA	NA	NA	NA	NA	NA	NA
1756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.626	1.249	NA	NA	NA	NA	NA	NA	NA
1757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.116	1.673	NA	NA	NA	NA	NA	NA	NA
1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.032	1.633	NA	NA	NA	NA	NA	NA	NA
1759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.558	1.361	NA	NA	NA	NA	NA	NA	NA
1760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.484	0.852	NA	NA	NA	NA	NA	NA	NA
1761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.651	0.822	NA	NA	NA	NA	NA	NA	NA
1762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	0.769	NA	NA	NA	NA	NA	NA	NA
1763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.022	1.045	NA	NA	NA	NA	NA	NA	NA
1764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.796	0.76	NA	NA	NA	NA	NA	NA	NA
1765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01	1.325	NA	NA	NA	NA	NA	NA	NA
1766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.592	0.919	NA	NA	NA	NA	NA	NA	NA
1767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.753	0.99	NA	NA	NA	NA	NA	NA	NA
1768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.002	1.33	NA	NA	NA	NA	NA	NA	NA
1769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.885	1.342	NA	NA	NA	NA	NA	NA	NA
1770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.636	0.91	NA	NA	NA	NA	NA	NA	NA
1771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.183	1.595	NA	NA	NA	NA	NA	NA	NA
1772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.843	0.956	NA	NA	NA	NA	NA	NA	NA
1773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.986	0.79	NA	NA	NA	NA	NA	NA	NA
1774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.461	0.538	NA	NA	NA	NA	NA	NA	NA
1775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	0.73	NA	NA	NA	NA	NA	NA	NA
1776	NA	NA	NA	NA	0.811	NA	NA	NA	NA	NA	1.579	1.78	NA	NA	NA	NA	NA	NA	NA
1777	NA	NA	NA	NA	1.026	NA	NA	NA	NA	NA	1.461	1.816	NA	NA	NA	NA	NA	NA	NA
1778	NA	NA	NA	NA	0.886	NA	NA	NA	NA	NA	1.222	1.441	NA	NA	NA	NA	NA	NA	NA
1779	NA	NA	NA	NA	0.882	NA	NA	NA	NA	NA	1.989	2.357	NA	NA	NA	NA	NA	NA	NA
1780	NA	NA	NA	NA	1.445	NA	NA	NA	NA	NA	1.613	2.094	NA	NA	NA	NA	NA	NA	NA
1781	NA	NA	NA	NA	1.306	NA	NA	NA	NA	NA	1.245	1.541	NA	NA	NA	NA	NA	NA	NA
1782	NA	NA	NA	NA	1.521	NA	NA	NA	NA	NA	1.479	1.309	NA	NA	NA	NA	NA	NA	NA
1783	NA	NA	NA	NA	1.565	NA	NA	NA	NA	NA	1.462	1.548	NA	NA	0.714	NA	NA	NA	NA
1784	NA	NA	NA	NA	1.364	NA	NA	NA	NA	NA	0.925	0.93	NA	NA	0.739	NA	NA	NA	0.667
1785	NA	NA	NA	NA	1.415	NA	NA	NA	NA	NA	1.083	1.272	NA	NA	0.914	NA	NA	NA	1.509
1786	NA	NA	NA	NA	2.138	NA	NA	NA	NA	NA	1.747	2.225	NA	NA	0.617	NA	NA	NA	2.078
1787	NA	NA	NA	NA	1.798	NA	NA	NA	NA	NA	1.465	1.748	NA	NA	0.513	NA	NA	NA	0.573
1788	NA	NA	NA	NA	2.048	NA	1.838	NA	NA	NA	2.152	2.005	NA	NA	0.883	NA	NA	NA	0.572
1789	NA	NA	NA	NA	1.322	NA	1.457	NA	NA	NA	1.365	1.305	NA	NA	0.616	NA	NA	NA	0.49
1790	NA	NA	NA	NA	1.542	NA	1.905	NA	NA	NA	1.563	1.345	NA	NA	0.732	NA	NA	NA	0.812
1791	NA	NA	NA	NA	1.583	NA	2.227	NA	NA	NA	1.394	1.312	NA	NA	0.565	NA	NA	NA	1.201
1792	NA	NA	NA	NA	1.211	NA	1.067	NA	NA	NA	0.988	1.238	NA	NA	0.611	NA	NA	NA	1.072
1793	NA	NA	NA	NA	1.413	NA	2.144	NA	NA	NA	1.409	1.974	NA	NA	0.944	NA	NA	NA	1.25
1794	NA	NA	NA	NA	1.628	NA	1.876	NA	NA	NA	1.659	2.041	NA	NA	0.855	NA	NA	NA	1.569
1795	NA	NA	NA	NA	1.295	NA	1.734	NA	NA	NA	1.737	1.784	NA	NA	1.034	NA	NA	NA	2.204
1796	NA	NA	NA	NA	1.537	NA	2.31	NA	NA	NA	1.977	2.01	NA	NA	1.286	NA	NA	NA	2.208
1797	NA	NA	NA	NA	1.625	NA	2.037	NA	NA	NA	1.652	2.185	NA	NA	1.303	NA	NA	NA	1.966
1798	NA	NA	NA	NA	1.614	NA	1.979	NA	NA	NA	1.604	1.871	NA	NA	1.298	NA	NA	NA	1.707
1799	NA	NA	NA	NA	1.192	NA	1.218	NA	NA	NA	1.107	1.333	NA	NA	0.8	NA	NA	NA	1.44
1800	NA	NA	NA	NA	1.24	NA	1.625	NA	NA	NA	1.432	1.48	NA	NA	0.789	NA	NA	NA	1.715
1801	NA	NA	NA	NA	0.937	NA	1.293	NA	NA	NA	1.261	1.186	NA	NA	0.618	NA	NA	NA	1.482
1802	NA	NA	NA	NA	1.164	1.87	2.157	NA	NA	NA	1.913	1.511	NA	0.611	0.885	NA	NA	NA	1.903
1803	NA	NA	NA	NA	0.979	1.87	2.385	0.892	NA	NA	1.771	1.35	NA	0.8	0.706	NA	NA	NA	1.695
1804	NA	NA	NA	NA	0.848	1.418	1.77	0.762	NA	NA	1.504	1.115	NA	0.383	0.452	NA	NA	NA	1.315
1805	NA	NA	NA	NA	0.958	1.716	1.967	0.863	NA	NA	1.944	1.381	NA	0.809	0.676	NA	NA	NA	1.589
1806	NA	NA	NA	NA	0.858	1.346	1.446	1.031	NA	NA	1.939	1.257	NA	0.957	0.652	NA	NA	NA	1.296
1807	NA	NA	NA	NA	0.932	1.116	1.388	0.725	NA	NA	1.913	1.536	NA	0.512	0.528	NA	NA	NA	1.529
1808	NA	NA	NA	NA	0.885	0.877	1.336	0.587	NA	NA	1.823	1.229	NA	0.62	0.812	NA	NA	NA	1.226
1809	NA	NA	NA	NA	0.968	0.82	1.159	0.561	NA	NA	1.883	1.063	NA	0.657	0.791	NA	NA	NA	1.449
1810	NA	NA	NA	NA	1.027	0.908	1.614	0.713	NA	NA	1.932	1.383	NA	0.736	0.909	NA	NA	NA	1.31
1811	NA	NA	NA	NA	0.911	0.997	1.108	0.558	NA	NA	1.586	1.148	NA	0.8	0.964	NA	NA	NA	1.213
1812	NA	NA	NA	0.953	0.951	0.972	1.171	0.699	NA	NA	1.461	0.976	NA	0.669	0.739	NA	NA	NA	1.015
1813	NA	NA	NA	1.415	0.958	0.996	1.215	0.806	NA	NA	1.541	1.061	NA	0.688	0.816	NA	NA	NA	1.194
1814	NA	NA	NA	1.848	1.444	1.015	1.381	1.178	NA	NA	1.968	1.383	NA	0.675	0.842	NA	1.776	NA	1.51
1815	NA	NA	NA	1.269	1.734	1.054	1.393	1.267	NA	NA	1.92	1.211	NA	0.789	0.913	NA	1.605	NA	1.42
1816	NA	NA	NA	1.361	1.402	1.068	1.317	0.945	NA	NA	1.459	1.09	NA	0.693	1.017	NA	1.729	NA	1.006
1817	NA	NA	NA	1.472	1.753	1.589	1.573	1.027	NA	NA	1.376	1.216	NA	0.765	1.025	NA	1.506	NA	1.153
1818	NA	NA	NA	1.189	1.542	1.266	1.491	0.858	NA	NA	1.135	1.121	NA	0.748	1.01	NA	1.283	NA	1.122
1819	NA	NA	NA	1.05	1.326	1.046	1.132	0.954	NA	NA	1.064	0.974	NA	0.793	0.812	NA	1.01	NA	1.174
1820	NA	NA	NA	1.296	1.419	1.819	1.375	1.265	NA	NA	1.466	1.513	NA	0.996	1.16	NA	1.143	NA	1.312
1821	NA	NA	NA	0.725	0.75	1.056	1.02	1.067	NA	NA	0.988	0.952	NA	0.529	0.687	NA	0.63	NA	0.91
1822	NA	NA	NA	0.862	0.935	1.403	1.174	1.306	NA	NA	1.446	1.458	NA	0.59	1.025	NA	0.915	NA	1.039
1823	NA	NA	NA	1.01	1.185	1.517	1.812	1.096	NA	NA	2.068	1.25	NA	0.899	1.14	NA	0.89	NA	1.173
1824	NA	NA	NA	1.248	1.331	1.567	1.747	1.034	NA	NA	1.857	1.553	NA	1.188	1.465	NA	0.755	NA	1.55
1825	NA	NA	NA	1.314	1.171	1.434	1.743	0.916	NA	NA	1.477	1.052	1.085	0.952	1.167	NA	0.668	NA	1.376
1826	NA	NA	NA	0.945	0.988	1.218	1.334	0.825	NA	NA	0.952	0.895	0.976	0.708	1.096	NA	0.671	NA	0.978
1827	NA	NA	NA	1.279	1.25	1.503	1.376	0.798	NA	NA	0.886	1.158	0.998	0.928	1.121	NA	0.753	NA	1.532
1828	NA	NA	NA	1.358	1.476	1.656	1.334	0.978	NA	NA	0.901	1.019	1.12	1.01	1.145	NA	0.691	NA	2.178
1829	NA	NA	NA	1.375	1.324	1.393	1.085	0.7	NA	NA	1.072	0.955	1.142	1.142	0.998	NA	0.692	NA	1.785
1830	NA	NA	NA	1.27	1.345	1.408	1.396	0.769	NA	NA	1.381	1.176	0.954	1.104	1.116	NA	0.694	1.661	1.748
1831	NA	NA	NA	1.408	1.267	1.576	1.527	0.565	NA	NA	1.236	0.93	0.837	1.109	1.447	NA	0.731	1.57	1.813
1832	NA	NA	NA	1.371	1.372	1.629	1.53	0.856	NA	NA	1.424	1.12	1.274	0.775	1.02	1.315	0.58	1.467	1.771
1833	NA	NA	NA	1.535	1.3	1.987	1.902	1.175	NA	NA	1.388	1.153	1.614	1.088	1.183	1.516	0.705	1.49	1.861
1834	NA	NA	NA	1.42	1.258	1.477	1.789	0.814	NA	NA	1.307	1.166	1.213	0.971	1.328	1.206	0.774	1.634	1.813
1835	NA	NA	NA	1.156	1.149	1.537	1.701	0.944	NA	NA	1.461	1.23	1.619	0.935	1.268	1.29	0.809	1.48	1.43
1836	NA	NA	NA	1.103	1.134	1.298	1.906	0.783	NA	NA	1.017	0.894	1.647	0.927	1.166	1.355	0.76	1.306	1.342
1837	NA	NA	NA	1.098	0.943	1.306	1.766	0.683	NA	NA	1.048	1.014	1.319	0.991	0.973	1.065	0.617	1.188	1.263
1838	NA	NA	NA	0.818	0.632	1.25	1.789	0.769	NA	NA	0.979	0.801	1.142	0.609	0.687	1.129	0.552	0.939	1.12
1839	NA	NA	NA	1.02	0.797	1.187	1.861	0.611	NA	NA	1.271	0.77	1.089	0.722	0.87	1.199	0.611	1.112	1.027
1840	NA	NA	NA	1.372	0.895	1.674	2.482	1.09	NA	NA	1.617	1.044	1.64	1.033	1.114	1.524	0.76	1.824	1.558
1841	NA	NA	NA	1.05	0.769	1.381	1.984	1.041	NA	NA	1.191	0.857	1.593	0.878	1.107	1.151	0.638	1.473	1.286
1842	NA	NA	NA	1.247	0.854	1.646	2.004	0.849	NA	NA	1.261	1.099	1.444	0.872	1.048	1.499	0.696	1.448	1.247
1843	NA	NA	NA	1.147	0.809	1.565	1.873	0.921	NA	NA	1.244	1	1.899	0.952	0.947	1.661	0.919	1.376	1.395
1844	NA	NA	NA	0.907	0.649	1.656	1.991	1	NA	NA	1.083	0.844	1.416	0.964	0.974	1.428	0.773	1.104	1.173
1845	NA	NA	NA	0.849	0.754	1.721	1.78	0.857	NA	NA	0.877	0.592	1.564	1.053	1.125	1.777	0.767	1.073	1.16
1846	NA	NA	NA	0.9	0.975	1.256	1.349	1.01	NA	NA	0.899	0.638	2.041	0.979	1.055	1.364	0.756	1.14	1.777
1847	NA	NA	NA	0.967	1.421	2.033	2.343	1.317	NA	NA	1.06	0.819	1.775	0.961	1.084	1.864	0.816	0.9	1.271
1848	NA	NA	NA	0.978	0.972	2.206	1.836	1.15	NA	NA	0.929	0.87	1.706	0.895	1.062	1.565	1.04	0.76	1.141
1849	NA	1.57	NA	1.227	0.951	1.938	1.907	1.486	NA	NA	1.267	0.978	2.067	0.967	1.231	1.638	1.059	0.903	1.119
1850	1.462	1.126	NA	0.786	0.839	1.275	1.159	0.956	NA	NA	0.769	0.638	1.277	0.686	0.828	0.982	0.881	0.676	0.854
1851	1.264	1.395	NA	0.889	0.977	1.304	1.166	1.111	NA	NA	0.707	0.646	1.047	0.809	0.78	1.024	0.898	0.822	1.037
