# Dean - Navajo Mountain - PIED - ITRDB UT022
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3087
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3087.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut022-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ut022-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut022.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut022.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Dean - Navajo Mountain - PIED - ITRDB UT022
#--------------------
# Investigators
#   Investigators: Dean, J.S.; Bowden, D.O.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Navajo Mountain
#   Location: Utah
#   Northernmost_Latitude: 37.02
#   Southernmost_Latitude: 37.02
#   Easternmost_Longitude: -110.85
#   Westernmost_Longitude: -110.85
#   Elevation_m: 2286
#--------------------
# Data_Collection
#   Collection_Name: UT022
#   First_Year: 1469
#   Last_Year: 1971
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 133011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133092_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133102_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133102; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133112_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133112; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 133132_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 133132; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	133011_raw	133012_raw	133021_raw	133022_raw	133031_raw	133032_raw	133041_raw	133042_raw	133051_raw	133052_raw	133061_raw	133062_raw	133071_raw	133072_raw	133081_raw	133082_raw	133091_raw	133092_raw	133101_raw	133102_raw	133111_raw	133112_raw	133121_raw	133122_raw	133131_raw	133132_raw
1469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA
1470	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA
1471	NA	NA	NA	NA	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
1472	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
1473	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	0.74	NA	NA	NA	NA	NA	NA	NA	NA
1474	NA	NA	NA	1.2	1.12	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	0.72	NA	NA	NA	NA	NA	NA	NA	NA
1475	NA	NA	NA	1.25	1.12	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	0.71	NA	NA	NA	NA	NA	NA	NA	NA
1476	NA	NA	NA	1.52	1.09	1.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05	0.95	NA	NA	NA	NA	NA	NA	NA	NA
1477	NA	NA	NA	1.84	1.87	1.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16	1.19	NA	NA	NA	NA	NA	NA	NA	NA
1478	NA	NA	NA	1.64	1.49	1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91	0.81	NA	NA	NA	NA	NA	NA	NA	NA
1479	NA	NA	NA	0.89	0.84	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55	0.49	NA	NA	NA	NA	NA	NA	NA	NA
1480	NA	NA	NA	1.24	1.1	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.1	NA	NA	NA	NA	NA	NA	NA	NA
1481	NA	NA	NA	1.09	1.02	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	0.97	NA	NA	NA	NA	NA	NA	NA	NA
1482	NA	NA	NA	1.79	1.57	1.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.28	1.21	NA	NA	NA	NA	NA	NA	NA	NA
1483	NA	NA	NA	0.97	1.24	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96	1.01	NA	NA	NA	NA	NA	NA	NA	NA
1484	NA	NA	NA	1.85	2.04	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.27	1.38	NA	NA	NA	NA	NA	NA	NA	NA
1485	NA	NA	NA	1.39	1.7	1.42	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0.95	NA	NA	NA	NA	NA	NA	NA	NA
1486	NA	NA	NA	1.29	1.72	1.19	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.94	NA	NA	NA	NA	NA	NA	NA	NA
1487	NA	NA	NA	0.84	0.87	0.61	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.74	NA	NA	NA	NA	NA	NA	NA	NA
1488	NA	NA	NA	1	1.09	0.97	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	0.77	NA	NA	NA	NA	NA	NA	NA	NA
1489	NA	NA	NA	1.11	1.18	0.85	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9	0.85	NA	NA	NA	NA	NA	NA	NA	NA
1490	NA	NA	NA	1.29	1.43	1.26	0.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.22	1.47	NA	NA	NA	NA	NA	NA	NA	NA
1491	NA	NA	1.92	1.58	1.67	1.83	0.42	0.72	NA	NA	NA	NA	NA	NA	NA	NA	1.37	1.68	NA	NA	NA	NA	NA	NA	NA	NA
1492	NA	NA	1.72	1.49	1.23	1.34	0.52	0.48	NA	NA	NA	NA	NA	NA	NA	NA	1.31	1.27	NA	NA	NA	NA	NA	NA	NA	NA
1493	NA	NA	1.51	1.2	1.1	1.06	0.48	0.45	NA	NA	NA	NA	NA	NA	NA	NA	1.28	1.14	NA	NA	NA	NA	NA	NA	NA	NA
1494	NA	NA	1.38	0.89	0.71	0.81	0.75	0.31	NA	NA	NA	NA	NA	NA	NA	NA	1.12	1.06	NA	NA	NA	NA	NA	NA	NA	NA
1495	NA	NA	0.51	0.27	0.25	0.19	0.17	0.11	NA	NA	NA	NA	NA	NA	NA	NA	0.77	0.65	NA	NA	NA	NA	NA	NA	NA	NA
1496	NA	NA	1.43	0.63	0.57	0.87	0.55	0.5	NA	NA	NA	NA	NA	NA	NA	NA	1.45	1.24	NA	NA	NA	NA	NA	NA	NA	NA
1497	NA	NA	1.45	0.75	0.7	1.18	0.71	0.65	NA	NA	NA	NA	NA	NA	NA	NA	1.57	1.33	NA	NA	NA	NA	NA	NA	NA	NA
1498	NA	NA	1.39	0.87	0.72	1.42	0.78	0.63	NA	NA	NA	NA	NA	NA	NA	NA	1.68	1.35	NA	NA	NA	NA	NA	NA	NA	NA
1499	NA	NA	0.85	0.49	0.47	0.94	0.42	0.41	NA	NA	NA	NA	NA	NA	NA	NA	1.01	0.97	NA	NA	NA	NA	NA	NA	NA	NA
1500	NA	NA	0.58	0.17	0.32	0.44	0.14	0.29	NA	NA	NA	NA	NA	NA	NA	NA	0.55	0.61	NA	NA	NA	NA	NA	NA	NA	NA
1501	NA	NA	1.34	0.93	0.73	1.05	0.82	0.72	NA	NA	NA	NA	NA	NA	NA	NA	1.21	1.46	NA	NA	NA	NA	NA	NA	NA	NA
1502	NA	NA	1.47	0.92	0.95	1.33	0.85	0.67	NA	NA	NA	NA	NA	NA	NA	NA	1.19	1.21	NA	NA	NA	NA	NA	NA	NA	NA
1503	NA	NA	1.78	1.14	1.15	1.38	1.11	0.99	NA	NA	NA	NA	NA	NA	NA	NA	1.29	1.25	NA	NA	NA	NA	NA	NA	NA	NA
1504	NA	NA	1.91	1.56	1.2	1.48	0.89	0.91	NA	NA	NA	NA	NA	NA	NA	NA	1.18	1.23	NA	NA	NA	NA	NA	NA	NA	NA
1505	NA	NA	1.12	0.97	0.69	0.95	0.53	0.56	NA	NA	NA	NA	NA	NA	NA	NA	0.76	0.77	NA	NA	NA	NA	NA	NA	NA	NA
1506	NA	NA	1.12	1.02	0.6	0.84	0.6	0.46	NA	NA	NA	NA	NA	NA	NA	NA	0.64	0.72	NA	NA	NA	NA	NA	NA	NA	NA
1507	NA	NA	1.2	1.09	0.77	0.77	0.55	0.64	NA	NA	NA	NA	NA	NA	NA	NA	0.83	0.87	NA	NA	NA	NA	NA	NA	NA	NA
1508	NA	NA	0.71	0.64	0.71	0.72	0.4	0.6	NA	NA	NA	NA	NA	NA	NA	NA	1.04	1.03	NA	NA	NA	NA	NA	NA	NA	NA
1509	NA	NA	1.35	1.37	1.1	1.46	0.69	1.22	NA	NA	NA	NA	NA	NA	NA	NA	1.47	1.77	NA	NA	NA	NA	NA	NA	NA	NA
1510	NA	NA	0.59	0.72	0.5	0.74	0.21	0.5	NA	NA	NA	NA	NA	NA	NA	NA	0.98	1	NA	NA	NA	NA	NA	NA	NA	NA
1511	NA	NA	1.02	0.71	0.54	0.69	0.3	0.91	NA	NA	NA	NA	NA	NA	NA	NA	0.89	1.19	NA	NA	NA	NA	NA	NA	NA	NA
1512	NA	NA	1.09	0.84	0.43	0.94	0.35	0.74	NA	NA	NA	NA	NA	NA	NA	NA	1.04	1.02	NA	NA	NA	NA	NA	NA	NA	NA
1513	NA	NA	1.22	0.97	0.67	0.96	0.54	0.76	NA	NA	NA	NA	NA	NA	NA	NA	0.86	0.96	NA	NA	NA	NA	NA	NA	NA	NA
