# Kaiser - Rimrock  Slope White Pass - PIPO - ITRDB WA5
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3661
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3661.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa5-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa5-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa5.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa5.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Kaiser - Rimrock  Slope White Pass - PIPO - ITRDB WA5
#--------------------
# Investigators
#   Investigators: Kaiser, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rimrock  Slope  White Pass
#   Location: Washington
#   Northernmost_Latitude: 46.33
#   Southernmost_Latitude: 46.33
#   Easternmost_Longitude: -121.17
#   Westernmost_Longitude: -121.17
#   Elevation_m: 820
#--------------------
# Data_Collection
#   Collection_Name: WA5
#   First_Year: 1921
#   Last_Year: 1986
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RIMS0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMS0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMS0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMS0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMS0030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMS0030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMS0040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMS0040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RIMSCH00_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RIMSCH00; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RIMS0010_raw	RIMS0020_raw	RIMS0030_raw	RIMS0040_raw	RIMSCH00_raw
1921	NA	NA	NA	NA	1.23
1922	NA	NA	NA	NA	0.72
1923	NA	NA	NA	NA	0.68
1924	NA	NA	NA	NA	0.65
1925	NA	NA	NA	NA	0.69
1926	NA	NA	NA	NA	0.48
1927	NA	NA	NA	NA	0.69
1928	NA	NA	NA	NA	0.69
1929	NA	NA	0.51	NA	0.45
1930	0.66	NA	0.81	1.8	1.09
1931	0.37	0.72	1.59	1.78	1.12
1932	0.4	0.57	1.74	1.54	1.06
1933	0.34	0.8	1.4	1.91	1.11
1934	0.58	0.79	2.03	1.92	1.33
1935	0.87	1.14	1.72	1.81	1.39
1936	0.82	1.04	2.07	2.1	1.51
1937	0.97	1.21	2.15	2.33	1.67
1938	1.31	1.31	1.85	1.95	1.61
1939	1	1.11	1.77	1.46	1.34
1940	1.29	1.12	1.65	1.77	1.46
1941	1.85	1.79	1.61	1.64	1.72
1942	1.89	1.86	1.96	1.73	1.86
1943	2.04	2.07	1.75	1.85	1.93
1944	1.66	1.63	1.06	1.18	1.38
1945	1.45	1.25	1.26	1.32	1.32
1946	1.52	1.34	1.15	1.24	1.31
1947	1.88	1.6	1.34	1.44	1.57
1948	2.54	2.58	2.22	2.68	2.51
1949	2.2	2.36	1.26	2.19	2
1950	2.17	2.58	1.46	2.79	2.25
1951	1.99	2.04	1.32	2.46	1.95
1952	1.87	2.09	1.28	2.03	1.82
1953	2.46	2.36	1.86	2.3	2.25
1954	2.06	2.02	1.41	1.82	1.83
1955	1.81	1.86	1.31	1.35	1.58
1956	1.85	2.2	1.15	1.66	1.72
1957	2.31	2.3	1.38	1.78	1.94
1958	2.02	2.23	1.63	1.83	1.93
1959	1.77	2.1	1.32	1.8	1.75
1960	1.56	1.57	1.18	1.44	1.44
1961	1.72	1.82	1.35	1.23	1.53
1962	1.6	1.77	1.27	1.26	1.48
1963	1.98	2.05	1.42	1.45	1.73
1964	1.6	1.63	1.44	1.25	1.48
1965	1.92	2.22	1.34	0.95	1.61
1966	1.35	1.32	1.24	0.93	1.21
1967	0.95	1.61	1.7	1.21	1.37
1968	0.82	1.25	1.2	0.96	1.06
1969	0.84	1.13	1.3	0.99	1.07
1970	0.96	1.3	1.14	0.82	1.06
1971	1.03	1.32	1.16	1.04	1.14
1972	1.03	1.3	1.28	1	1.15
1973	0.62	0.84	0.78	0.61	0.71
1974	1.47	1.59	1.27	0.94	1.32
1975	1.1	1.36	1.23	0.87	1.14
1976	1.27	1.57	1.3	1.18	1.33
1977	0.27	0.31	0.44	0.27	0.32
1978	1.64	1.99	1.52	1.28	1.61
1979	0.92	1	0.82	0.69	0.86
1980	1.28	1.66	1.34	0.99	1.32
1981	1.33	1.44	1.58	0.88	1.31
1982	1.4	1.39	1.17	0.83	1.2
1983	1.71	1.9	1.4	0.89	1.48
1984	1.54	1.92	1.58	0.88	1.48
1985	1	1.23	0.96	0.56	0.94
1986	1.36	1.74	1.34	0.64	1.27
