# de Graauw - Pitsenbarger Barn - QUAL - ITRDB WV026
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28242
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28242.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wv026-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wv026-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wv026.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wv026.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-10-30
#--------------------
# File_Last_Modified_Date
#   Date: 2019-10-30
#--------------------
# Title
#   Study_Name: de Graauw - Pitsenbarger Barn - QUAL - ITRDB WV026
#--------------------
# Investigators
#   Investigators: de Graauw, K.K.; Hessl, A.E.(https://orcid.org/0000-0002-2279-6260)
#--------------------
# Description_Notes_and_Keywords
#   Description: Chronology derived from log building (Pitsenbarger Barn; PB). NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: Kristen K. de Graauw and Amy E. Hessl
#   Journal_Name: Journal of Biogeography
#   Published_Title: Do historic log buildings provide evidence of reforestation following depopulation of Indigenous Peoples?
#   Published_Date_or_Year: 2020
#   Volume: 47
#   Pages: 630-642
#   Issue: 
#   Report_Number: 
#   DOI: 10.1111/jbi.13769
#   Full_Citation: None
#   Abstract: None
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pitsenbarger Barn
#   Location: West Virginia
#   Northernmost_Latitude: 38.58
#   Southernmost_Latitude: 38.58
#   Easternmost_Longitude: -79.3
#   Westernmost_Longitude: -79.3
#   Elevation_m: 824
#--------------------
# Data_Collection
#   Collection_Name: WV026
#   First_Year: 1714
#   Last_Year: 1840
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PBN402A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN402A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBW108A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBW108A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBW302A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBW302A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBN306A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN306A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBE105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBE105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBS104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBS104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBN307A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN307A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBE303A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBE303A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBW303A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBW303A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBN105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBW104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBW104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBN108A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN108A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBW102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBW102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBS106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBS106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBS105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBS105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBN304A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN304A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBN103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PBN102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PBN102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PBN402A_raw	PBW108A_raw	PBW302A_raw	PBN306A_raw	PBE105A_raw	PBS104A_raw	PBN307A_raw	PBE303A_raw	PBW303A_raw	PBN105A_raw	PBW104A_raw	PBN108A_raw	PBW102A_raw	PBS106A_raw	PBS105A_raw	PBN304A_raw	PBN103A_raw	PBN102A_raw
1714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.129	NA	NA	NA	NA	NA
1715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.851	NA	NA	NA	NA	NA
1716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.942	NA	NA	NA	NA	NA
1717	NA	1.165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.839	NA	NA	NA	NA	NA
1718	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.649	NA	NA	NA	NA	NA
1719	NA	0.555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.742	NA	NA	NA	NA	NA
1720	NA	0.607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.763	NA	NA	NA	NA	NA
1721	NA	0.218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.639	NA	NA	NA	NA	NA
1722	NA	0.479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.797	NA	NA	NA	NA	NA
1723	NA	0.416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.577	NA	NA	NA	NA	NA
1724	NA	0.597	NA	NA	NA	NA	NA	NA	NA	NA	0.539	NA	0.776	NA	NA	NA	NA	NA
1725	NA	0.283	NA	NA	NA	NA	NA	NA	NA	NA	0.662	NA	1.167	NA	NA	NA	NA	NA
1726	NA	0.324	NA	NA	NA	NA	NA	NA	NA	NA	0.515	NA	0.786	NA	NA	NA	NA	NA
1727	NA	0.687	NA	NA	NA	1.466	NA	NA	NA	NA	0.919	NA	0.897	NA	NA	NA	NA	NA
1728	NA	0.678	NA	NA	NA	1.261	NA	NA	NA	NA	1.087	NA	0.87	NA	NA	NA	NA	NA
1729	NA	0.686	NA	NA	NA	1.741	NA	NA	NA	NA	0.901	NA	0.797	NA	NA	NA	NA	NA
1730	NA	0.394	NA	NA	0.754	1.305	NA	NA	NA	NA	0.846	0.877	0.7	NA	NA	NA	NA	NA
1731	NA	0.889	NA	NA	0.833	1.278	NA	NA	NA	NA	0.89	0.838	0.948	NA	NA	NA	NA	NA
1732	NA	0.772	NA	NA	0.661	1.656	NA	NA	NA	NA	0.803	1.148	1.034	NA	NA	NA	NA	NA
1733	NA	0.855	NA	NA	0.612	1.676	NA	NA	NA	NA	0.976	1.033	0.82	NA	NA	NA	NA	NA
1734	NA	0.954	NA	NA	0.635	1.293	NA	NA	NA	NA	0.781	1.249	0.619	NA	NA	NA	NA	NA
1735	NA	0.927	NA	NA	0.791	1.395	NA	NA	NA	NA	0.848	1.304	0.877	NA	NA	NA	NA	NA
1736	NA	0.992	NA	NA	0.741	1.563	NA	NA	NA	NA	0.668	1.739	0.852	NA	NA	NA	2.376	NA
1737	NA	0.589	NA	NA	0.422	1.289	NA	NA	NA	NA	0.701	0.621	0.408	NA	NA	NA	1.038	1.664
1738	NA	1.004	NA	NA	0.287	1.247	NA	NA	NA	NA	0.681	0.717	0.708	NA	NA	NA	1.109	1.873
1739	NA	1.071	NA	NA	0.594	1.348	NA	NA	NA	NA	0.822	1.386	0.98	NA	NA	NA	1.507	2.229
1740	NA	1.236	NA	NA	0.716	1.544	NA	NA	NA	NA	0.671	1.235	0.93	NA	NA	NA	1.34	1.531
1741	NA	0.639	NA	NA	0.265	1.85	NA	NA	NA	NA	0.532	0.971	0.396	NA	NA	NA	0.876	0.939
1742	NA	1.331	NA	NA	0.656	1.727	NA	NA	NA	NA	1.078	1.284	0.987	NA	NA	NA	1.084	1.807
1743	NA	1.354	NA	NA	0.536	1.248	NA	NA	NA	NA	0.644	1.49	0.994	NA	NA	NA	0.801	1.406
1744	NA	1.34	NA	NA	0.876	1.702	NA	NA	NA	NA	1.069	2.614	0.998	NA	NA	NA	0.895	1.933
1745	NA	1.146	NA	NA	0.889	1.49	NA	NA	NA	NA	1.106	1.466	1.107	NA	NA	NA	0.786	1.686
1746	NA	0.867	NA	NA	0.614	1.024	NA	NA	NA	NA	0.602	0.576	0.827	NA	NA	NA	0.66	1.049
1747	NA	1.213	NA	NA	0.738	1.507	NA	NA	NA	NA	0.586	1.441	0.809	NA	NA	NA	0.898	1.607
1748	NA	0.775	NA	NA	0.495	1.332	NA	NA	NA	NA	0.523	0.808	0.738	NA	2.114	NA	0.482	1.156
1749	NA	1.198	NA	NA	0.628	1.513	NA	NA	NA	NA	0.606	1.221	0.795	NA	2.064	NA	0.857	1.222
1750	NA	1.159	NA	NA	0.615	1.616	NA	NA	NA	NA	0.707	1.383	1.061	NA	1.778	NA	1.081	1.189
1751	NA	0.882	NA	NA	0.479	1.212	NA	NA	NA	NA	0.522	1.128	0.916	NA	1.538	NA	0.745	1.269
1752	NA	0.696	NA	NA	0.548	1.02	NA	NA	NA	NA	0.444	0.891	0.603	NA	0.846	NA	0.522	0.819
1753	NA	1.131	NA	NA	0.513	1.307	NA	NA	NA	NA	0.636	1.222	0.876	NA	0.833	NA	0.678	1.119
1754	NA	0.989	NA	NA	0.819	1.216	NA	NA	NA	NA	0.792	1.56	0.816	NA	0.857	NA	1.284	1.199
1755	NA	0.703	NA	NA	0.369	1.372	NA	NA	NA	NA	0.497	0.777	0.704	NA	0.598	NA	0.722	0.597
1756	NA	1.149	NA	NA	0.503	1.583	NA	NA	NA	NA	0.872	1.343	0.66	NA	1.106	0.909	1.004	1.189
1757	NA	0.82	0.98	NA	0.459	1.207	NA	NA	NA	0.59	0.788	1.345	0.807	NA	0.909	0.958	0.813	1.033
1758	NA	0.8	0.942	NA	0.627	1.055	NA	NA	0.882	0.5	0.673	0.785	0.749	NA	0.768	0.877	0.704	0.777
1759	NA	0.918	0.604	NA	0.486	0.835	NA	NA	0.81	0.546	0.622	0.948	0.622	NA	0.639	0.832	0.638	0.97
1760	NA	0.836	0.786	NA	0.669	1.05	NA	NA	1.056	0.505	0.846	1.312	0.769	NA	0.717	0.926	1.104	1.288
1761	NA	0.786	0.927	NA	0.604	0.843	NA	NA	0.975	0.418	0.617	1.107	0.799	NA	0.72	0.845	0.702	0.974
1762	NA	0.839	0.639	NA	0.59	0.66	NA	NA	1.13	0.52	0.57	1.024	0.637	NA	0.723	0.732	0.684	0.898
1763	NA	0.73	0.836	NA	0.73	0.799	NA	NA	1.043	0.555	0.744	0.948	0.924	NA	0.842	0.753	0.896	0.73
1764	NA	0.636	0.549	NA	0.739	0.67	NA	NA	0.732	0.514	0.584	0.923	0.53	NA	0.691	0.77	0.715	0.837
1765	NA	0.706	0.616	NA	0.577	0.647	NA	NA	0.741	0.584	0.557	0.847	0.646	NA	0.705	0.775	0.909	0.645
1766	NA	0.705	0.809	NA	0.585	0.715	NA	NA	0.822	0.569	0.679	1.208	0.81	NA	0.715	0.804	0.905	0.805
1767	NA	0.683	0.654	NA	0.448	0.507	NA	NA	0.863	0.664	0.732	0.917	0.74	NA	0.782	0.749	0.856	0.689
